,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.007637,0.004575,0.007874,0.008441,0.005897,0.008308,0.010024,0.008665,0.010447,0.009899,0.008631,0.008452
lij,0.007637,0.000000,0.005961,0.007809,0.009008,0.004536,0.005800,0.008308,0.007547,0.009166,0.008788,0.007677,0.007408
lmo,0.004575,0.005961,0.000000,0.005152,0.006309,0.002949,0.005648,0.007144,0.006907,0.007173,0.007611,0.006324,0.006286
sc,0.007874,0.007809,0.005152,0.000000,0.006175,0.005419,0.005822,0.007441,0.007522,0.008303,0.008582,0.007621,0.007307
scn,0.008441,0.009008,0.006309,0.006175,0.000000,0.008263,0.006459,0.010511,0.009213,0.010307,0.010822,0.009850,0.009784
vec,0.005897,0.004536,0.002949,0.005419,0.008263,0.000000,0.004582,0.006280,0.006785,0.008071,0.007769,0.005509,0.005909
ita,0.008308,0.005800,0.005648,0.005822,0.006459,0.004582,0.000000,0.003235,0.003375,0.004892,0.004481,0.003848,0.003347
spa,0.010024,0.008308,0.007144,0.007441,0.010511,0.006280,0.003235,0.000000,0.003764,0.004107,0.004643,0.004436,0.003499
fra,0.008665,0.007547,0.006907,0.007522,0.009213,0.006785,0.003375,0.003764,0.000000,0.004559,0.004324,0.004857,0.003542
cat,0.010447,0.009166,0.007173,0.008303,0.010307,0.008071,0.004892,0.004107,0.004559,0.000000,0.006129,0.006483,0.005146
deu,0.009899,0.008788,0.007611,0.008582,0.010822,0.007769,0.004481,0.004643,0.004324,0.006129,0.000000,0.004698,0.003218
slv,0.008631,0.007677,0.006324,0.007621,0.009850,0.005509,0.003848,0.004436,0.004857,0.006483,0.004698,0.000000,0.003734
eng,0.008452,0.007408,0.006286,0.007307,0.009784,0.005909,0.003347,0.003499,0.003542,0.005146,0.003218,0.003734,0.000000
