Silhouette report (xlmr (OLDI, native + 13 var, no-iso))
============================================================
  n_varieties           = 13
  linkage_method        = average
  silhouette (family)            = -0.0420
  silhouette (romance vs rest)   = +0.0592
  silhouette (romance, no dial.) = +0.1265

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  fur                   italo_romance        +0.1713
  lmo                   italo_romance        +0.1167
  cat                   romance              +0.1142
  eng                   english              +0.0000
  slv                   slavic               +0.0000
  deu                   germanic             +0.0000
  ita                   italian              +0.0000
  sc                    italo_romance        -0.1024
  vec                   italo_romance        -0.1535
  scn                   italo_romance        -0.1545
  lij                   italo_romance        -0.1702
  spa                   romance              -0.1780
  fra                   romance              -0.1890
