,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.992363,0.995425,0.992126,0.991559,0.994103,0.991692,0.989976,0.991335,0.989553,0.990101,0.991369,0.991548
lij,0.992363,1.000000,0.994039,0.992191,0.990992,0.995464,0.994200,0.991692,0.992453,0.990834,0.991212,0.992323,0.992592
lmo,0.995425,0.994039,1.000000,0.994848,0.993691,0.997051,0.994352,0.992856,0.993093,0.992827,0.992389,0.993676,0.993714
sc,0.992126,0.992191,0.994848,1.000000,0.993825,0.994581,0.994178,0.992559,0.992478,0.991697,0.991418,0.992379,0.992693
scn,0.991559,0.990992,0.993691,0.993825,1.000000,0.991737,0.993541,0.989489,0.990787,0.989693,0.989178,0.990150,0.990216
vec,0.994103,0.995464,0.997051,0.994581,0.991737,1.000000,0.995418,0.993720,0.993215,0.991929,0.992231,0.994491,0.994091
ita,0.991692,0.994200,0.994352,0.994178,0.993541,0.995418,1.000000,0.996765,0.996625,0.995108,0.995519,0.996152,0.996653
spa,0.989976,0.991692,0.992856,0.992559,0.989489,0.993720,0.996765,1.000000,0.996236,0.995893,0.995357,0.995564,0.996501
fra,0.991335,0.992453,0.993093,0.992478,0.990787,0.993215,0.996625,0.996236,1.000000,0.995441,0.995676,0.995143,0.996458
cat,0.989553,0.990834,0.992827,0.991697,0.989693,0.991929,0.995108,0.995893,0.995441,1.000000,0.993871,0.993517,0.994854
deu,0.990101,0.991212,0.992389,0.991418,0.989178,0.992231,0.995519,0.995357,0.995676,0.993871,1.000000,0.995302,0.996782
slv,0.991369,0.992323,0.993676,0.992379,0.990150,0.994491,0.996152,0.995564,0.995143,0.993517,0.995302,1.000000,0.996266
eng,0.991548,0.992592,0.993714,0.992693,0.990216,0.994091,0.996653,0.996501,0.996458,0.994854,0.996782,0.996266,1.000000
