,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,1.190430,1.020543,1.357073,1.376723,1.166653,1.294004,1.019410,0.881771,1.002482,0.857890,0.960550,0.859797
lij,1.190430,0.000000,1.234250,1.279052,1.311664,0.859244,0.960422,1.072461,1.012765,1.087565,1.036915,1.055247,1.032307
lmo,1.020543,1.234250,0.000000,1.190721,1.298212,0.827730,1.287787,0.996165,1.113480,0.857482,0.954383,0.997847,0.980752
sc,1.357073,1.279052,1.190721,0.000000,0.973128,1.142642,1.032922,0.898758,1.051870,0.967733,1.026862,1.095352,1.056328
scn,1.376723,1.311664,1.298212,0.973128,0.000000,1.527042,0.724213,1.016032,0.902253,0.894298,0.951982,1.098696,1.067887
vec,1.166653,0.859244,0.827730,1.142642,1.527042,0.000000,0.991809,0.894544,1.182141,1.173358,1.135331,0.876900,0.999812
ita,1.294004,0.960422,1.287787,1.032922,0.724213,0.991809,0.000000,0.992871,1.038831,1.169174,1.199296,1.063000,1.139040
spa,1.019410,1.072461,0.996165,0.898758,1.016032,0.894544,0.992871,0.000000,1.194411,1.013647,1.368158,1.174630,1.240935
fra,0.881771,1.012765,1.113480,1.051870,0.902253,1.182141,1.038831,1.194411,0.000000,1.064352,1.166865,1.242662,1.164833
cat,1.002482,1.087565,0.857482,0.967733,0.894298,1.173358,1.169174,1.013647,1.064352,0.000000,1.335564,1.334408,1.313341
deu,0.857890,1.036915,0.954383,1.026862,0.951982,1.135331,1.199296,1.368158,1.166865,1.335564,0.000000,1.076876,0.950506
slv,0.960550,1.055247,0.997847,1.095352,1.098696,0.876900,1.063000,1.174630,1.242662,1.334408,1.076876,0.000000,1.033460
eng,0.859797,1.032307,0.980752,1.056328,1.067887,0.999812,1.139040,1.240935,1.164833,1.313341,0.950506,1.033460,0.000000
