code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,deu,0.8578899502754211,eng,0.859797477722168,fra,0.8817707300186157
lij,vec,0.8592435121536255,ita,0.9604218006134033,fra,1.0127652883529663
lmo,vec,0.8277298212051392,cat,0.8574824333190918,deu,0.9543827176094055
sc,spa,0.8987575769424438,cat,0.967732846736908,scn,0.9731276035308838
scn,ita,0.7242127656936646,cat,0.8942979574203491,fra,0.9022533893585205
vec,lmo,0.8277298212051392,lij,0.8592435121536255,slv,0.8769004940986633
ita,scn,0.7242127656936646,lij,0.9604218006134033,vec,0.9918087124824524
spa,vec,0.8945440053939819,sc,0.8987575769424438,ita,0.9928706884384155
fra,fur,0.8817707300186157,scn,0.9022533893585205,lij,1.0127652883529663
cat,lmo,0.8574824333190918,scn,0.8942979574203491,sc,0.967732846736908
deu,fur,0.8578899502754211,eng,0.9505062103271484,scn,0.9519819617271423
slv,vec,0.8769004940986633,fur,0.9605502486228943,lmo,0.9978469014167786
eng,fur,0.859797477722168,deu,0.9505062103271484,lmo,0.9807522296905518
