source,target,distance,similarity,target_family,target_display
cat,lmo,0.857482,0.142518,italo_romance,Lombard
cat,scn,0.894298,0.105702,italo_romance,Sicilian
cat,sc,0.967733,0.032267,italo_romance,Sardinian
cat,fur,1.002482,-0.002482,italo_romance,Friulian
cat,spa,1.013647,-0.013647,romance,Spanish
cat,fra,1.064352,-0.064352,romance,French
cat,lij,1.087565,-0.087565,italo_romance,Ligurian
cat,ita,1.169174,-0.169174,italian,Italian
cat,vec,1.173358,-0.173358,italo_romance,Venetian
cat,eng,1.313341,-0.313341,english,English
cat,slv,1.334408,-0.334408,slavic,Slovenian
cat,deu,1.335564,-0.335564,germanic,German
deu,fur,0.857890,0.142110,italo_romance,Friulian
deu,eng,0.950506,0.049494,english,English
deu,scn,0.951982,0.048018,italo_romance,Sicilian
deu,lmo,0.954383,0.045617,italo_romance,Lombard
deu,sc,1.026862,-0.026862,italo_romance,Sardinian
deu,lij,1.036915,-0.036915,italo_romance,Ligurian
deu,slv,1.076876,-0.076876,slavic,Slovenian
deu,vec,1.135331,-0.135331,italo_romance,Venetian
deu,fra,1.166865,-0.166865,romance,French
deu,ita,1.199296,-0.199296,italian,Italian
deu,cat,1.335564,-0.335564,romance,Catalan
deu,spa,1.368158,-0.368158,romance,Spanish
eng,fur,0.859797,0.140203,italo_romance,Friulian
eng,deu,0.950506,0.049494,germanic,German
eng,lmo,0.980752,0.019248,italo_romance,Lombard
eng,vec,0.999812,0.000188,italo_romance,Venetian
eng,lij,1.032307,-0.032307,italo_romance,Ligurian
eng,slv,1.033460,-0.033460,slavic,Slovenian
eng,sc,1.056328,-0.056328,italo_romance,Sardinian
eng,scn,1.067887,-0.067887,italo_romance,Sicilian
eng,ita,1.139040,-0.139040,italian,Italian
eng,fra,1.164833,-0.164833,romance,French
eng,spa,1.240935,-0.240935,romance,Spanish
eng,cat,1.313341,-0.313341,romance,Catalan
fra,fur,0.881771,0.118229,italo_romance,Friulian
fra,scn,0.902253,0.097747,italo_romance,Sicilian
fra,lij,1.012765,-0.012765,italo_romance,Ligurian
fra,ita,1.038831,-0.038831,italian,Italian
