variety_A,variety_B,mean_similarity,family_A,family_B
spa,cat,0.696921,romance,romance
vec,ita,0.694556,italo_romance,italian
ita,spa,0.661165,italian,romance
ita,eng,0.627365,italian,english
spa,eng,0.622381,romance,english
ita,cat,0.621511,italian,romance
vec,spa,0.619195,italo_romance,romance
lij,ita,0.616795,italo_romance,italian
lij,vec,0.609098,italo_romance,italo_romance
fra,eng,0.601515,romance,english
deu,eng,0.593465,germanic,english
vec,cat,0.587185,italo_romance,romance
cat,eng,0.586960,romance,english
vec,eng,0.584489,italo_romance,english
fra,cat,0.579982,romance,romance
spa,fra,0.578555,romance,romance
sc,vec,0.569606,italo_romance,italo_romance
ita,fra,0.569312,italian,romance
sc,spa,0.568440,italo_romance,romance
scn,ita,0.565256,italo_romance,italian
sc,ita,0.562298,italo_romance,italian
lmo,vec,0.559176,italo_romance,italo_romance
lmo,ita,0.555262,italo_romance,italian
lij,spa,0.552665,italo_romance,romance
scn,vec,0.542792,italo_romance,italo_romance
lij,sc,0.540429,italo_romance,italo_romance
fur,vec,0.538273,italo_romance,italo_romance
sc,cat,0.536746,italo_romance,romance
vec,fra,0.532940,italo_romance,romance
lmo,cat,0.532790,italo_romance,romance
lij,cat,0.531536,italo_romance,romance
sc,eng,0.528246,italo_romance,english
fur,ita,0.527359,italo_romance,italian
fra,deu,0.526324,romance,germanic
lij,eng,0.526001,italo_romance,english
ita,deu,0.522261,italian,germanic
fur,cat,0.519665,italo_romance,romance
lij,lmo,0.518374,italo_romance,italo_romance
fur,fra,0.517570,italo_romance,romance
lmo,spa,0.513653,italo_romance,romance
fur,lmo,0.508834,italo_romance,italo_romance
lmo,sc,0.508354,italo_romance,italo_romance
lij,scn,0.507758,italo_romance,italo_romance
spa,deu,0.507373,romance,germanic
fur,spa,0.507306,italo_romance,romance
sc,scn,0.505615,italo_romance,italo_romance
fur,sc,0.500332,italo_romance,italo_romance
lmo,scn,0.499380,italo_romance,italo_romance
sc,fra,0.498825,italo_romance,romance
fur,lij,0.497042,italo_romance,italo_romance
lij,fra,0.497029,italo_romance,romance
vec,deu,0.492834,italo_romance,germanic
cat,deu,0.490313,romance,germanic
scn,spa,0.488884,italo_romance,romance
lmo,eng,0.488030,italo_romance,english
scn,cat,0.483887,italo_romance,romance
fur,eng,0.482277,italo_romance,english
fur,scn,0.480173,italo_romance,italo_romance
scn,eng,0.477074,italo_romance,english
lmo,fra,0.471463,italo_romance,romance
slv,eng,0.461352,slavic,english
sc,deu,0.460306,italo_romance,germanic
lij,deu,0.456120,italo_romance,germanic
ita,slv,0.453173,italian,slavic
scn,fra,0.453031,italo_romance,romance
spa,slv,0.449877,romance,slavic
vec,slv,0.443978,italo_romance,slavic
deu,slv,0.442623,germanic,slavic
lmo,deu,0.435874,italo_romance,germanic
cat,slv,0.434703,romance,slavic
fur,deu,0.434003,italo_romance,germanic
scn,deu,0.427513,italo_romance,germanic
fra,slv,0.424405,romance,slavic
lij,slv,0.406431,italo_romance,slavic
sc,slv,0.402334,italo_romance,slavic
lmo,slv,0.376127,italo_romance,slavic
fur,slv,0.375534,italo_romance,slavic
scn,slv,0.373142,italo_romance,slavic
