dialect,reference,ref_family,mean_similarity
fur,ita,italian,0.518695
fur,cat,romance,0.502427
fur,fra,romance,0.498680
fur,eng,english,0.475427
fur,spa,romance,0.470003
fur,deu,germanic,0.417676
fur,slv,slavic,0.343267
lij,ita,italian,0.582558
lij,eng,english,0.514870
lij,cat,romance,0.513147
lij,spa,romance,0.500612
lij,fra,romance,0.490948
lij,deu,germanic,0.432206
lij,slv,slavic,0.355841
lmo,ita,italian,0.512871
lmo,cat,romance,0.493018
lmo,eng,english,0.466166
lmo,fra,romance,0.458662
lmo,spa,romance,0.456433
lmo,deu,germanic,0.408152
lmo,slv,slavic,0.331585
sc,ita,italian,0.555078
sc,cat,romance,0.537589
sc,spa,romance,0.532859
sc,eng,english,0.526560
sc,fra,romance,0.501568
sc,deu,germanic,0.447383
sc,slv,slavic,0.362774
scn,ita,italian,0.534190
scn,cat,romance,0.467502
scn,eng,english,0.456603
scn,spa,romance,0.446466
scn,fra,romance,0.442911
scn,deu,germanic,0.399321
scn,slv,slavic,0.330870
vec,ita,italian,0.658823
vec,eng,english,0.575332
vec,cat,romance,0.568054
vec,spa,romance,0.565353
vec,fra,romance,0.529545
vec,deu,germanic,0.470887
vec,slv,slavic,0.392832
