# Global clustering metrics
metric,value,clusterer
silhouette_global,0.124424,family_labels
davies_bouldin,0.801878,family_labels
calinski_harabasz,1.906819,family_labels
cophenetic_correlation,0.812274,hierarchical
adjusted_rand_index,0.205788,hierarchical_cut
normalized_mutual_info,0.670398,hierarchical_cut
v_measure,0.670398,hierarchical_cut
adjusted_rand_index,0.343434,kmeans
normalized_mutual_info,0.763975,kmeans
v_measure,0.763975,kmeans

# Per-variety silhouette scores
variety,family,silhouette
cat,romance,0.535760
lmo,italo_romance,0.359364
spa,romance,0.297475
lij,italo_romance,0.243622
fra,romance,0.180545
sc,italo_romance,0.118323
scn,italo_romance,0.047058
fur,italo_romance,0.028352
ita,italian,0.000000
slv,slavic,0.000000
deu,germanic,0.000000
eng,english,0.000000
vec,italo_romance,-0.192980
