,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,-0.040799,0.544392,0.107966,0.017290,-0.307471,-0.613837,-0.602613,0.081814,-0.364553,0.036971,-0.204174,-0.166818
lij,-0.040799,1.000000,0.308334,0.002047,0.151404,0.386613,-0.108547,-0.288383,-0.341005,-0.249646,-0.487825,-0.367971,-0.548117
lmo,0.544392,0.308334,1.000000,-0.000508,0.143906,0.084556,-0.604901,-0.550586,-0.239336,-0.124421,-0.223571,-0.357786,-0.466331
sc,0.107966,0.002047,-0.000508,1.000000,0.179971,-0.398766,-0.402964,-0.248548,-0.408230,-0.387791,-0.158994,-0.295348,-0.263291
scn,0.017290,0.151404,0.143906,0.179971,1.000000,-0.031499,0.047386,-0.611361,-0.678229,-0.620751,-0.358418,-0.176924,-0.491833
vec,-0.307471,0.386613,0.084556,-0.398766,-0.031499,1.000000,0.147565,0.161568,-0.036170,0.160174,-0.381128,0.149956,-0.299501
ita,-0.613837,-0.108547,-0.604901,-0.402964,0.047386,0.147565,1.000000,0.473392,0.107228,0.276904,-0.103559,0.089570,0.157901
spa,-0.602613,-0.288383,-0.550586,-0.248548,-0.611361,0.161568,0.473392,1.000000,0.502901,0.757188,0.149613,0.210001,0.447117
fra,0.081814,-0.341005,-0.239336,-0.408230,-0.678229,-0.036170,0.107228,0.502901,1.000000,0.593199,0.314761,0.126174,0.448475
cat,-0.364553,-0.249646,-0.124421,-0.387791,-0.620751,0.160174,0.276904,0.757188,0.593199,1.000000,0.124467,0.046037,0.300348
deu,0.036971,-0.487825,-0.223571,-0.158994,-0.358418,-0.381128,-0.103559,0.149613,0.314761,0.124467,1.000000,0.271028,0.515807
slv,-0.204174,-0.367971,-0.357786,-0.295348,-0.176924,0.149956,0.089570,0.210001,0.126174,0.046037,0.271028,1.000000,0.358210
eng,-0.166818,-0.548117,-0.466331,-0.263291,-0.491833,-0.299501,0.157901,0.447117,0.448475,0.300348,0.515807,0.358210,1.000000
