dialect_code,dialect_name,rank,language_code,language_name,cosine_similarity
nap,Neapolitan,1,ca,Catalan,0.676095724105835
nap,Neapolitan,2,sl,Slovenian,0.5891686081886292
nap,Neapolitan,3,es,Spanish,0.5284732580184937
nap,Neapolitan,4,fr,French,0.4889622926712036
nap,Neapolitan,5,ita,Italian,0.47784265875816345
nap,Neapolitan,6,de,German,0.3880448043346405
nap,Neapolitan,7,el,Greek,0.3832338750362396
nap,Neapolitan,8,ar,Arabic,0.3647666573524475
nap,Neapolitan,9,en,English,0.2993437945842743
scn,Sicilian,1,ca,Catalan,0.777601957321167
scn,Sicilian,2,sl,Slovenian,0.7498741149902344
scn,Sicilian,3,es,Spanish,0.6740372776985168
scn,Sicilian,4,fr,French,0.6718997359275818
scn,Sicilian,5,ita,Italian,0.6417065858840942
scn,Sicilian,6,de,German,0.5520124435424805
scn,Sicilian,7,ar,Arabic,0.5172527432441711
scn,Sicilian,8,en,English,0.47720572352409363
scn,Sicilian,9,el,Greek,0.40181249380111694
vec,Venetian,1,ca,Catalan,0.8451414108276367
vec,Venetian,2,sl,Slovenian,0.8065017461776733
vec,Venetian,3,es,Spanish,0.6986122131347656
vec,Venetian,4,fr,French,0.6919093132019043
vec,Venetian,5,ita,Italian,0.6781896352767944
vec,Venetian,6,de,German,0.5991721749305725
vec,Venetian,7,ar,Arabic,0.5969612002372742
vec,Venetian,8,en,English,0.5045019388198853
vec,Venetian,9,el,Greek,0.47619178891181946
lmo,Lombard,1,ca,Catalan,0.8214914798736572
lmo,Lombard,2,sl,Slovenian,0.8177538514137268
lmo,Lombard,3,fr,French,0.7287460565567017
lmo,Lombard,4,es,Spanish,0.686406135559082
lmo,Lombard,5,ita,Italian,0.6822152733802795
lmo,Lombard,6,de,German,0.6620724201202393
lmo,Lombard,7,ar,Arabic,0.5627583265304565
lmo,Lombard,8,en,English,0.5100846290588379
lmo,Lombard,9,el,Greek,0.47382229566574097
sc,Sardinian,1,ca,Catalan,0.7856846451759338
sc,Sardinian,2,sl,Slovenian,0.7492610812187195
sc,Sardinian,3,es,Spanish,0.7187311053276062
sc,Sardinian,4,fr,French,0.7106403112411499
sc,Sardinian,5,ita,Italian,0.657374382019043
sc,Sardinian,6,de,German,0.5812572240829468
sc,Sardinian,7,ar,Arabic,0.5340921878814697
sc,Sardinian,8,en,English,0.4907284379005432
sc,Sardinian,9,el,Greek,0.40528956055641174
