source,target,distance,similarity,target_family,target_display
arabo,francese,0.006149,0.993851,romance,French
arabo,catalano,0.007108,0.992892,romance,Catalan
arabo,italiano,0.007209,0.992791,italian,Italian
arabo,sloveno,0.007251,0.992749,slavic,Slovenian
arabo,tedesco,0.007312,0.992688,germanic,German
arabo,spagnolo,0.008236,0.991764,romance,Spanish
arabo,greco,0.009817,0.990183,greek,Greek
arabo,inglese,0.013139,0.986861,english,English
arabo,ligure,0.289988,0.710012,italo_romance,Ligurian
arabo,friulano,0.299451,0.700549,italo_romance,Friulian
arabo,veneto,0.322931,0.677069,italo_romance,Venetian
arabo,siciliano,0.333746,0.666254,italo_romance,Sicilian
arabo,sardo,0.354939,0.645061,italo_romance,Sardinian
arabo,lombardo,0.356868,0.643132,italo_romance,Lombard
arabo,ladino,0.439977,0.560023,italo_romance,Ladin
catalano,francese,0.003515,0.996485,romance,French
catalano,sloveno,0.004624,0.995376,slavic,Slovenian
catalano,tedesco,0.004785,0.995215,germanic,German
catalano,italiano,0.005699,0.994301,italian,Italian
catalano,spagnolo,0.005924,0.994076,romance,Spanish
catalano,arabo,0.007108,0.992892,semitic,Arabic
catalano,inglese,0.008720,0.991280,english,English
catalano,greco,0.009620,0.990380,greek,Greek
catalano,ligure,0.285102,0.714898,italo_romance,Ligurian
catalano,friulano,0.290292,0.709708,italo_romance,Friulian
catalano,veneto,0.324772,0.675228,italo_romance,Venetian
catalano,siciliano,0.327946,0.672054,italo_romance,Sicilian
catalano,lombardo,0.349437,0.650563,italo_romance,Lombard
catalano,sardo,0.353063,0.646937,italo_romance,Sardinian
catalano,ladino,0.438972,0.561028,italo_romance,Ladin
francese,tedesco,0.003177,0.996823,germanic,German
francese,sloveno,0.003434,0.996566,slavic,Slovenian
francese,catalano,0.003515,0.996485,romance,Catalan
francese,italiano,0.003568,0.996432,italian,Italian
francese,spagnolo,0.005272,0.994728,romance,Spanish
francese,arabo,0.006149,0.993851,semitic,Arabic
francese,greco,0.007718,0.992282,greek,Greek
francese,inglese,0.009037,0.990963,english,English
francese,ligure,0.285091,0.714909,italo_romance,Ligurian
francese,friulano,0.293934,0.706066,italo_romance,Friulian
francese,veneto,0.316353,0.683647,italo_romance,Venetian
francese,siciliano,0.329075,0.670925,italo_romance,Sicilian
francese,lombardo,0.347506,0.652494,italo_romance,Lombard
francese,sardo,0.349747,0.650253,italo_romance,Sardinian
francese,ladino,0.435670,0.564330,italo_romance,Ladin
friulano,lombardo,0.034761,0.965239,italo_romance,Lombard
friulano,ligure,0.043054,0.956946,italo_romance,Ligurian
friulano,siciliano,0.062624,0.937376,italo_romance,Sicilian
friulano,sardo,0.064696,0.935304,italo_romance,Sardinian
friulano,ladino,0.090645,0.909355,italo_romance,Ladin
friulano,veneto,0.157176,0.842824,italo_romance,Venetian
friulano,greco,0.283973,0.716027,greek,Greek
friulano,tedesco,0.288064,0.711936,germanic,German
friulano,catalano,0.290292,0.709708,romance,Catalan
friulano,sloveno,0.292583,0.707417,slavic,Slovenian
friulano,francese,0.293934,0.706066,romance,French
friulano,arabo,0.299451,0.700549,semitic,Arabic
friulano,italiano,0.302645,0.697355,italian,Italian
friulano,spagnolo,0.305494,0.694506,romance,Spanish
friulano,inglese,0.338149,0.661851,english,English
greco,francese,0.007718,0.992282,romance,French
greco,italiano,0.008291,0.991709,italian,Italian
greco,tedesco,0.008757,0.991243,germanic,German
greco,spagnolo,0.009357,0.990643,romance,Spanish
greco,catalano,0.009620,0.990380,romance,Catalan
greco,sloveno,0.009788,0.990212,slavic,Slovenian
greco,arabo,0.009817,0.990183,semitic,Arabic
greco,inglese,0.016721,0.983279,english,English
greco,ligure,0.271736,0.728264,italo_romance,Ligurian
greco,friulano,0.283973,0.716027,italo_romance,Friulian
greco,veneto,0.300417,0.699583,italo_romance,Venetian
greco,siciliano,0.320216,0.679784,italo_romance,Sicilian
greco,lombardo,0.337781,0.662219,italo_romance,Lombard
greco,sardo,0.338329,0.661671,italo_romance,Sardinian
greco,ladino,0.419645,0.580355,italo_romance,Ladin
inglese,catalano,0.008720,0.991280,romance,Catalan
inglese,francese,0.009037,0.990963,romance,French
inglese,italiano,0.010070,0.989930,italian,Italian
inglese,sloveno,0.010365,0.989635,slavic,Slovenian
inglese,tedesco,0.010453,0.989547,germanic,German
inglese,spagnolo,0.010799,0.989201,romance,Spanish
inglese,arabo,0.013139,0.986861,semitic,Arabic
inglese,greco,0.016721,0.983279,greek,Greek
inglese,ligure,0.329984,0.670016,italo_romance,Ligurian
inglese,friulano,0.338149,0.661851,italo_romance,Friulian
inglese,veneto,0.354072,0.645928,italo_romance,Venetian
inglese,siciliano,0.370450,0.629550,italo_romance,Sicilian
inglese,sardo,0.398593,0.601407,italo_romance,Sardinian
inglese,lombardo,0.400019,0.599981,italo_romance,Lombard
inglese,ladino,0.484238,0.515762,italo_romance,Ladin
italiano,spagnolo,0.003427,0.996573,romance,Spanish
italiano,francese,0.003568,0.996432,romance,French
italiano,tedesco,0.004538,0.995462,germanic,German
italiano,sloveno,0.004818,0.995182,slavic,Slovenian
italiano,catalano,0.005699,0.994301,romance,Catalan
italiano,arabo,0.007209,0.992791,semitic,Arabic
italiano,greco,0.008291,0.991709,greek,Greek
italiano,inglese,0.010070,0.989930,english,English
italiano,ligure,0.293623,0.706377,italo_romance,Ligurian
italiano,friulano,0.302645,0.697355,italo_romance,Friulian
italiano,veneto,0.325552,0.674448,italo_romance,Venetian
italiano,siciliano,0.342176,0.657824,italo_romance,Sicilian
italiano,sardo,0.358580,0.641420,italo_romance,Sardinian
italiano,lombardo,0.359958,0.640042,italo_romance,Lombard
italiano,ladino,0.444949,0.555051,italo_romance,Ladin
ladino,ligure,0.062005,0.937995,italo_romance,Ligurian
ladino,lombardo,0.065361,0.934639,italo_romance,Lombard
ladino,sardo,0.068555,0.931445,italo_romance,Sardinian
ladino,friulano,0.090645,0.909355,italo_romance,Friulian
ladino,siciliano,0.100892,0.899108,italo_romance,Sicilian
ladino,veneto,0.134580,0.865420,italo_romance,Venetian
ladino,greco,0.419645,0.580355,greek,Greek
ladino,tedesco,0.424920,0.575080,germanic,German
ladino,francese,0.435670,0.564330,romance,French
ladino,catalano,0.438972,0.561028,romance,Catalan
ladino,arabo,0.439977,0.560023,semitic,Arabic
ladino,sloveno,0.440035,0.559965,slavic,Slovenian
ladino,italiano,0.444949,0.555051,italian,Italian
ladino,spagnolo,0.452196,0.547804,romance,Spanish
ladino,inglese,0.484238,0.515762,english,English
ligure,lombardo,0.038750,0.961250,italo_romance,Lombard
ligure,friulano,0.043054,0.956946,italo_romance,Friulian
ligure,sardo,0.047923,0.952077,italo_romance,Sardinian
ligure,ladino,0.062005,0.937995,italo_romance,Ladin
ligure,siciliano,0.071289,0.928711,italo_romance,Sicilian
ligure,veneto,0.103131,0.896869,italo_romance,Venetian
ligure,greco,0.271736,0.728264,greek,Greek
ligure,tedesco,0.279499,0.720501,germanic,German
ligure,francese,0.285091,0.714909,romance,French
ligure,catalano,0.285102,0.714898,romance,Catalan
ligure,sloveno,0.285793,0.714207,slavic,Slovenian
ligure,arabo,0.289988,0.710012,semitic,Arabic
ligure,italiano,0.293623,0.706377,italian,Italian
ligure,spagnolo,0.298085,0.701915,romance,Spanish
ligure,inglese,0.329984,0.670016,english,English
lombardo,friulano,0.034761,0.965239,italo_romance,Friulian
lombardo,ligure,0.038750,0.961250,italo_romance,Ligurian
lombardo,siciliano,0.059833,0.940167,italo_romance,Sicilian
lombardo,sardo,0.061830,0.938170,italo_romance,Sardinian
lombardo,ladino,0.065361,0.934639,italo_romance,Ladin
lombardo,veneto,0.139225,0.860775,italo_romance,Venetian
lombardo,greco,0.337781,0.662219,greek,Greek
lombardo,tedesco,0.344564,0.655436,germanic,German
lombardo,francese,0.347506,0.652494,romance,French
lombardo,catalano,0.349437,0.650563,romance,Catalan
lombardo,sloveno,0.350816,0.649184,slavic,Slovenian
lombardo,arabo,0.356868,0.643132,semitic,Arabic
lombardo,italiano,0.359958,0.640042,italian,Italian
lombardo,spagnolo,0.365706,0.634294,romance,Spanish
lombardo,inglese,0.400019,0.599981,english,English
sardo,ligure,0.047923,0.952077,italo_romance,Ligurian
sardo,lombardo,0.061830,0.938170,italo_romance,Lombard
sardo,friulano,0.064696,0.935304,italo_romance,Friulian
sardo,ladino,0.068555,0.931445,italo_romance,Ladin
sardo,siciliano,0.075622,0.924378,italo_romance,Sicilian
sardo,veneto,0.156256,0.843744,italo_romance,Venetian
sardo,greco,0.338329,0.661671,greek,Greek
sardo,tedesco,0.344361,0.655639,germanic,German
sardo,francese,0.349747,0.650253,romance,French
sardo,sloveno,0.349763,0.650237,slavic,Slovenian
sardo,catalano,0.353063,0.646937,romance,Catalan
sardo,arabo,0.354939,0.645061,semitic,Arabic
sardo,italiano,0.358580,0.641420,italian,Italian
sardo,spagnolo,0.359103,0.640897,romance,Spanish
sardo,inglese,0.398593,0.601407,english,English
siciliano,lombardo,0.059833,0.940167,italo_romance,Lombard
siciliano,friulano,0.062624,0.937376,italo_romance,Friulian
siciliano,ligure,0.071289,0.928711,italo_romance,Ligurian
siciliano,sardo,0.075622,0.924378,italo_romance,Sardinian
siciliano,ladino,0.100892,0.899108,italo_romance,Ladin
siciliano,veneto,0.175267,0.824733,italo_romance,Venetian
siciliano,greco,0.320216,0.679784,greek,Greek
siciliano,tedesco,0.325913,0.674087,germanic,German
siciliano,catalano,0.327946,0.672054,romance,Catalan
siciliano,sloveno,0.328912,0.671088,slavic,Slovenian
siciliano,francese,0.329075,0.670925,romance,French
siciliano,arabo,0.333746,0.666254,semitic,Arabic
siciliano,italiano,0.342176,0.657824,italian,Italian
siciliano,spagnolo,0.345623,0.654377,romance,Spanish
siciliano,inglese,0.370450,0.629550,english,English
sloveno,francese,0.003434,0.996566,romance,French
sloveno,tedesco,0.003995,0.996005,germanic,German
sloveno,catalano,0.004624,0.995376,romance,Catalan
sloveno,italiano,0.004818,0.995182,italian,Italian
sloveno,spagnolo,0.006087,0.993913,romance,Spanish
sloveno,arabo,0.007251,0.992749,semitic,Arabic
sloveno,greco,0.009788,0.990212,greek,Greek
sloveno,inglese,0.010365,0.989635,english,English
sloveno,ligure,0.285793,0.714207,italo_romance,Ligurian
sloveno,friulano,0.292583,0.707417,italo_romance,Friulian
sloveno,veneto,0.322757,0.677243,italo_romance,Venetian
sloveno,siciliano,0.328912,0.671088,italo_romance,Sicilian
sloveno,sardo,0.349763,0.650237,italo_romance,Sardinian
sloveno,lombardo,0.350816,0.649184,italo_romance,Lombard
sloveno,ladino,0.440035,0.559965,italo_romance,Ladin
