,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,1.000000,0.824733,0.860775,0.843744,0.896869,0.842824,0.865420,0.674448,0.674034,0.683647,0.675228,0.689752,0.645928,0.699583,0.677069,0.677243
siciliano,0.824733,1.000000,0.940167,0.924378,0.928711,0.937376,0.899108,0.657824,0.654377,0.670925,0.672054,0.674087,0.629550,0.679784,0.666254,0.671088
lombardo,0.860775,0.940167,1.000000,0.938170,0.961250,0.965239,0.934639,0.640042,0.634294,0.652494,0.650563,0.655436,0.599981,0.662219,0.643132,0.649184
sardo,0.843744,0.924378,0.938170,1.000000,0.952077,0.935304,0.931445,0.641420,0.640897,0.650253,0.646937,0.655639,0.601407,0.661671,0.645061,0.650237
ligure,0.896869,0.928711,0.961250,0.952077,1.000000,0.956946,0.937995,0.706377,0.701915,0.714909,0.714898,0.720501,0.670016,0.728264,0.710012,0.714207
friulano,0.842824,0.937376,0.965239,0.935304,0.956946,1.000000,0.909355,0.697355,0.694506,0.706066,0.709708,0.711936,0.661851,0.716027,0.700549,0.707417
ladino,0.865420,0.899108,0.934639,0.931445,0.937995,0.909355,1.000000,0.555051,0.547804,0.564330,0.561028,0.575080,0.515762,0.580355,0.560023,0.559965
italiano,0.674448,0.657824,0.640042,0.641420,0.706377,0.697355,0.555051,1.000000,0.996573,0.996432,0.994301,0.995462,0.989930,0.991709,0.992791,0.995182
spagnolo,0.674034,0.654377,0.634294,0.640897,0.701915,0.694506,0.547804,0.996573,1.000000,0.994728,0.994076,0.993599,0.989201,0.990643,0.991764,0.993913
francese,0.683647,0.670925,0.652494,0.650253,0.714909,0.706066,0.564330,0.996432,0.994728,1.000000,0.996485,0.996823,0.990963,0.992282,0.993851,0.996566
catalano,0.675228,0.672054,0.650563,0.646937,0.714898,0.709708,0.561028,0.994301,0.994076,0.996485,1.000000,0.995215,0.991280,0.990380,0.992892,0.995376
tedesco,0.689752,0.674087,0.655436,0.655639,0.720501,0.711936,0.575080,0.995462,0.993599,0.996823,0.995215,1.000000,0.989547,0.991243,0.992688,0.996005
inglese,0.645928,0.629550,0.599981,0.601407,0.670016,0.661851,0.515762,0.989930,0.989201,0.990963,0.991280,0.989547,1.000000,0.983279,0.986861,0.989635
greco,0.699583,0.679784,0.662219,0.661671,0.728264,0.716027,0.580355,0.991709,0.990643,0.992282,0.990380,0.991243,0.983279,1.000000,0.990183,0.990212
arabo,0.677069,0.666254,0.643132,0.645061,0.710012,0.700549,0.560023,0.992791,0.991764,0.993851,0.992892,0.992688,0.986861,0.990183,1.000000,0.992749
sloveno,0.677243,0.671088,0.649184,0.650237,0.714207,0.707417,0.559965,0.995182,0.993913,0.996566,0.995376,0.996005,0.989635,0.990212,0.992749,1.000000
