,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,0.000000,0.046660,0.052250,0.072811,0.030823,0.050366,0.095359,0.049976,0.052832,0.060244,0.051687,0.071140,0.047625,0.059168,0.044063,0.060129
siciliano,0.046660,0.000000,0.072014,0.094508,0.056037,0.048370,0.096598,0.094490,0.099396,0.108622,0.093974,0.124343,0.056133,0.106717,0.078465,0.103215
lombardo,0.052250,0.072014,0.000000,0.071926,0.033415,0.049352,0.051497,0.150046,0.153089,0.168955,0.154580,0.184796,0.107213,0.167146,0.137323,0.167326
sardo,0.072811,0.094508,0.071926,0.000000,0.066881,0.092207,0.108635,0.130671,0.132192,0.149713,0.139189,0.163852,0.111032,0.148030,0.123016,0.148983
ligure,0.030823,0.056037,0.033415,0.066881,0.000000,0.040425,0.068591,0.102772,0.105693,0.122410,0.109623,0.137761,0.074286,0.119840,0.094363,0.122381
friulano,0.050366,0.048370,0.049352,0.092207,0.040425,0.000000,0.060179,0.131649,0.135053,0.152619,0.138437,0.170993,0.085559,0.150313,0.114434,0.152099
ladino,0.095359,0.096598,0.051497,0.108635,0.068591,0.060179,0.000000,0.222227,0.228312,0.242375,0.223289,0.264131,0.152537,0.238000,0.201963,0.239211
italiano,0.049976,0.094490,0.150046,0.130671,0.102772,0.131649,0.222227,0.000000,0.001730,0.005771,0.004097,0.010144,0.048504,0.005609,0.008895,0.005991
spagnolo,0.052832,0.099396,0.153089,0.132192,0.105693,0.135053,0.228312,0.001730,0.000000,0.006546,0.004970,0.010592,0.053862,0.006638,0.011473,0.007397
francese,0.060244,0.108622,0.168955,0.149713,0.122410,0.152619,0.242375,0.005771,0.006546,0.000000,0.003581,0.003403,0.063137,0.002787,0.015825,0.003423
catalano,0.051687,0.093974,0.154580,0.139189,0.109623,0.138437,0.223289,0.004097,0.004970,0.003581,0.000000,0.008105,0.050335,0.004456,0.010329,0.003612
tedesco,0.071140,0.124343,0.184796,0.163852,0.137761,0.170993,0.264131,0.010144,0.010592,0.003403,0.008105,0.000000,0.075243,0.004930,0.023590,0.006607
inglese,0.047625,0.056133,0.107213,0.111032,0.074286,0.085559,0.152537,0.048504,0.053862,0.063137,0.050335,0.075243,0.000000,0.061547,0.034504,0.057655
greco,0.059168,0.106717,0.167146,0.148030,0.119840,0.150313,0.238000,0.005609,0.006638,0.002787,0.004456,0.004930,0.061547,0.000000,0.015808,0.003643
arabo,0.044063,0.078465,0.137323,0.123016,0.094363,0.114434,0.201963,0.008895,0.011473,0.015825,0.010329,0.023590,0.034504,0.015808,0.000000,0.013761
sloveno,0.060129,0.103215,0.167326,0.148983,0.122381,0.152099,0.239211,0.005991,0.007397,0.003423,0.003612,0.006607,0.057655,0.003643,0.013761,0.000000
