,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.118370,0.120705,0.112279,0.098304,0.249650,0.117603,0.107948,0.108056,0.108951,0.171295,0.165778,0.238500
lij,0.118370,0.000000,0.118660,0.162545,0.154885,0.228754,0.126279,0.126844,0.126212,0.140943,0.216154,0.190040,0.267650
lmo,0.120705,0.118660,0.000000,0.170197,0.121958,0.177713,0.116595,0.130712,0.116298,0.116766,0.194231,0.173735,0.231007
sc,0.112279,0.162545,0.170197,0.000000,0.128471,0.318144,0.132211,0.095494,0.112541,0.103345,0.167160,0.173987,0.265748
scn,0.098304,0.154885,0.121958,0.128471,0.000000,0.276033,0.079526,0.096024,0.091966,0.093320,0.109081,0.117478,0.238707
vec,0.249650,0.228754,0.177713,0.318144,0.276033,0.000000,0.271204,0.255419,0.223865,0.254043,0.318569,0.279547,0.317471
ita,0.117603,0.126279,0.116595,0.132211,0.079526,0.271204,0.000000,0.043095,0.058118,0.057138,0.084539,0.094724,0.191094
spa,0.107948,0.126844,0.130712,0.095494,0.096024,0.255419,0.043095,0.000000,0.034932,0.025657,0.098487,0.095767,0.168557
fra,0.108056,0.126212,0.116298,0.112541,0.091966,0.223865,0.058118,0.034932,0.000000,0.026051,0.102303,0.096986,0.186420
cat,0.108951,0.140943,0.116766,0.103345,0.093320,0.254043,0.057138,0.025657,0.026051,0.000000,0.088623,0.085164,0.159924
deu,0.171295,0.216154,0.194231,0.167160,0.109081,0.318569,0.084539,0.098487,0.102303,0.088623,0.000000,0.064576,0.173193
slv,0.165778,0.190040,0.173735,0.173987,0.117478,0.279547,0.094724,0.095767,0.096986,0.085164,0.064576,0.000000,0.159676
eng,0.238500,0.267650,0.231007,0.265748,0.238707,0.317471,0.191094,0.168557,0.186420,0.159924,0.173193,0.159676,0.000000
