source,target,distance,similarity,target_family,target_display
cat,spa,0.025657,0.974343,romance,Spanish
cat,fra,0.026051,0.973949,romance,French
cat,ita,0.057138,0.942862,italian,Italian
cat,slv,0.085164,0.914836,slavic,Slovenian
cat,deu,0.088623,0.911377,germanic,German
cat,scn,0.093320,0.906680,italo_romance,Sicilian
cat,sc,0.103345,0.896655,italo_romance,Sardinian
cat,fur,0.108951,0.891049,italo_romance,Friulian
cat,lmo,0.116766,0.883234,italo_romance,Lombard
cat,lij,0.140943,0.859057,italo_romance,Ligurian
cat,eng,0.159924,0.840076,english,English
cat,vec,0.254043,0.745957,italo_romance,Venetian
deu,slv,0.064576,0.935424,slavic,Slovenian
deu,ita,0.084539,0.915461,italian,Italian
deu,cat,0.088623,0.911377,romance,Catalan
deu,spa,0.098487,0.901513,romance,Spanish
deu,fra,0.102303,0.897697,romance,French
deu,scn,0.109081,0.890919,italo_romance,Sicilian
deu,sc,0.167160,0.832840,italo_romance,Sardinian
deu,fur,0.171295,0.828705,italo_romance,Friulian
deu,eng,0.173193,0.826807,english,English
deu,lmo,0.194231,0.805769,italo_romance,Lombard
deu,lij,0.216154,0.783846,italo_romance,Ligurian
deu,vec,0.318569,0.681431,italo_romance,Venetian
eng,slv,0.159676,0.840324,slavic,Slovenian
eng,cat,0.159924,0.840076,romance,Catalan
eng,spa,0.168557,0.831443,romance,Spanish
eng,deu,0.173193,0.826807,germanic,German
eng,fra,0.186420,0.813580,romance,French
eng,ita,0.191094,0.808906,italian,Italian
eng,lmo,0.231007,0.768993,italo_romance,Lombard
eng,fur,0.238500,0.761500,italo_romance,Friulian
eng,scn,0.238707,0.761293,italo_romance,Sicilian
eng,sc,0.265748,0.734252,italo_romance,Sardinian
eng,lij,0.267650,0.732350,italo_romance,Ligurian
eng,vec,0.317471,0.682529,italo_romance,Venetian
fra,cat,0.026051,0.973949,romance,Catalan
fra,spa,0.034932,0.965068,romance,Spanish
fra,ita,0.058118,0.941882,italian,Italian
fra,scn,0.091966,0.908034,italo_romance,Sicilian
fra,slv,0.096986,0.903014,slavic,Slovenian
fra,deu,0.102303,0.897697,germanic,German
fra,fur,0.108056,0.891944,italo_romance,Friulian
fra,sc,0.112541,0.887459,italo_romance,Sardinian
fra,lmo,0.116298,0.883702,italo_romance,Lombard
fra,lij,0.126212,0.873788,italo_romance,Ligurian
fra,eng,0.186420,0.813580,english,English
fra,vec,0.223865,0.776135,italo_romance,Venetian
fur,scn,0.098304,0.901696,italo_romance,Sicilian
fur,spa,0.107948,0.892052,romance,Spanish
fur,fra,0.108056,0.891944,romance,French
fur,cat,0.108951,0.891049,romance,Catalan
fur,sc,0.112279,0.887721,italo_romance,Sardinian
fur,ita,0.117603,0.882397,italian,Italian
fur,lij,0.118370,0.881630,italo_romance,Ligurian
fur,lmo,0.120705,0.879295,italo_romance,Lombard
fur,slv,0.165778,0.834222,slavic,Slovenian
fur,deu,0.171295,0.828705,germanic,German
fur,eng,0.238500,0.761500,english,English
fur,vec,0.249650,0.750350,italo_romance,Venetian
ita,spa,0.043095,0.956905,romance,Spanish
ita,cat,0.057138,0.942862,romance,Catalan
ita,fra,0.058118,0.941882,romance,French
ita,scn,0.079526,0.920474,italo_romance,Sicilian
ita,deu,0.084539,0.915461,germanic,German
ita,slv,0.094724,0.905276,slavic,Slovenian
ita,lmo,0.116595,0.883405,italo_romance,Lombard
ita,fur,0.117603,0.882397,italo_romance,Friulian
ita,lij,0.126279,0.873721,italo_romance,Ligurian
ita,sc,0.132211,0.867789,italo_romance,Sardinian
ita,eng,0.191094,0.808906,english,English
ita,vec,0.271204,0.728796,italo_romance,Venetian
lij,fur,0.118370,0.881630,italo_romance,Friulian
lij,lmo,0.118660,0.881340,italo_romance,Lombard
lij,fra,0.126212,0.873788,romance,French
lij,ita,0.126279,0.873721,italian,Italian
lij,spa,0.126844,0.873156,romance,Spanish
lij,cat,0.140943,0.859057,romance,Catalan
lij,scn,0.154885,0.845115,italo_romance,Sicilian
lij,sc,0.162545,0.837455,italo_romance,Sardinian
lij,slv,0.190040,0.809960,slavic,Slovenian
lij,deu,0.216154,0.783846,germanic,German
lij,vec,0.228754,0.771246,italo_romance,Venetian
lij,eng,0.267650,0.732350,english,English
lmo,fra,0.116298,0.883702,romance,French
lmo,ita,0.116595,0.883405,italian,Italian
lmo,cat,0.116766,0.883234,romance,Catalan
lmo,lij,0.118660,0.881340,italo_romance,Ligurian
lmo,fur,0.120705,0.879295,italo_romance,Friulian
lmo,scn,0.121958,0.878042,italo_romance,Sicilian
lmo,spa,0.130712,0.869288,romance,Spanish
lmo,sc,0.170197,0.829803,italo_romance,Sardinian
lmo,slv,0.173735,0.826265,slavic,Slovenian
lmo,vec,0.177713,0.822287,italo_romance,Venetian
lmo,deu,0.194231,0.805769,germanic,German
lmo,eng,0.231007,0.768993,english,English
sc,spa,0.095494,0.904506,romance,Spanish
sc,cat,0.103345,0.896655,romance,Catalan
sc,fur,0.112279,0.887721,italo_romance,Friulian
sc,fra,0.112541,0.887459,romance,French
sc,scn,0.128471,0.871529,italo_romance,Sicilian
sc,ita,0.132211,0.867789,italian,Italian
sc,lij,0.162545,0.837455,italo_romance,Ligurian
sc,deu,0.167160,0.832840,germanic,German
sc,lmo,0.170197,0.829803,italo_romance,Lombard
sc,slv,0.173987,0.826013,slavic,Slovenian
sc,eng,0.265748,0.734252,english,English
sc,vec,0.318144,0.681856,italo_romance,Venetian
scn,ita,0.079526,0.920474,italian,Italian
scn,fra,0.091966,0.908034,romance,French
scn,cat,0.093320,0.906680,romance,Catalan
scn,spa,0.096024,0.903976,romance,Spanish
scn,fur,0.098304,0.901696,italo_romance,Friulian
scn,deu,0.109081,0.890919,germanic,German
scn,slv,0.117478,0.882522,slavic,Slovenian
scn,lmo,0.121958,0.878042,italo_romance,Lombard
scn,sc,0.128471,0.871529,italo_romance,Sardinian
scn,lij,0.154885,0.845115,italo_romance,Ligurian
scn,eng,0.238707,0.761293,english,English
scn,vec,0.276033,0.723967,italo_romance,Venetian
slv,deu,0.064576,0.935424,germanic,German
slv,cat,0.085164,0.914836,romance,Catalan
slv,ita,0.094724,0.905276,italian,Italian
slv,spa,0.095767,0.904233,romance,Spanish
slv,fra,0.096986,0.903014,romance,French
slv,scn,0.117478,0.882522,italo_romance,Sicilian
slv,eng,0.159676,0.840324,english,English
slv,fur,0.165778,0.834222,italo_romance,Friulian
slv,lmo,0.173735,0.826265,italo_romance,Lombard
slv,sc,0.173987,0.826013,italo_romance,Sardinian
slv,lij,0.190040,0.809960,italo_romance,Ligurian
slv,vec,0.279547,0.720453,italo_romance,Venetian
spa,cat,0.025657,0.974343,romance,Catalan
spa,fra,0.034932,0.965068,romance,French
spa,ita,0.043095,0.956905,italian,Italian
spa,sc,0.095494,0.904506,italo_romance,Sardinian
spa,slv,0.095767,0.904233,slavic,Slovenian
spa,scn,0.096024,0.903976,italo_romance,Sicilian
spa,deu,0.098487,0.901513,germanic,German
spa,fur,0.107948,0.892052,italo_romance,Friulian
spa,lij,0.126844,0.873156,italo_romance,Ligurian
spa,lmo,0.130712,0.869288,italo_romance,Lombard
spa,eng,0.168557,0.831443,english,English
spa,vec,0.255419,0.744581,italo_romance,Venetian
vec,lmo,0.177713,0.822287,italo_romance,Lombard
vec,fra,0.223865,0.776135,romance,French
vec,lij,0.228754,0.771246,italo_romance,Ligurian
vec,fur,0.249650,0.750350,italo_romance,Friulian
vec,cat,0.254043,0.745957,romance,Catalan
vec,spa,0.255419,0.744581,romance,Spanish
vec,ita,0.271204,0.728796,italian,Italian
vec,scn,0.276033,0.723967,italo_romance,Sicilian
vec,slv,0.279547,0.720453,slavic,Slovenian
vec,eng,0.317471,0.682529,english,English
vec,sc,0.318144,0.681856,italo_romance,Sardinian
vec,deu,0.318569,0.681431,germanic,German
