,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.695997,0.701834,0.699862,0.656089,0.722878,0.725267,0.696110,0.705937,0.720746,0.673696,0.662280,0.672823
lij,0.695997,1.000000,0.693567,0.695796,0.653306,0.729714,0.741566,0.705954,0.716252,0.729162,0.678640,0.666068,0.691005
lmo,0.701834,0.693567,1.000000,0.676445,0.660086,0.716987,0.717049,0.685806,0.694486,0.708230,0.661957,0.651427,0.669398
sc,0.699862,0.695796,0.676445,1.000000,0.655135,0.707980,0.722926,0.701839,0.706644,0.723050,0.676521,0.666115,0.678222
scn,0.656089,0.653306,0.660086,0.655135,1.000000,0.673286,0.695213,0.662665,0.668319,0.680421,0.649408,0.636657,0.638925
vec,0.722878,0.729714,0.716987,0.707980,0.673286,1.000000,0.776936,0.741140,0.745511,0.759403,0.706943,0.701926,0.732516
ita,0.725267,0.741566,0.717049,0.722926,0.695213,0.776936,1.000000,0.819691,0.817826,0.829082,0.774176,0.770002,0.810604
spa,0.696110,0.705954,0.685806,0.701839,0.662665,0.741140,0.819691,1.000000,0.803121,0.837360,0.759640,0.759666,0.801452
fra,0.705937,0.716252,0.694486,0.706644,0.668319,0.745511,0.817826,0.803121,1.000000,0.822433,0.770162,0.759519,0.809953
cat,0.720746,0.729162,0.708230,0.723050,0.680421,0.759403,0.829082,0.837360,0.822433,1.000000,0.776387,0.772644,0.821071
deu,0.673696,0.678640,0.661957,0.676521,0.649408,0.706943,0.774176,0.759640,0.770162,0.776387,1.000000,0.754055,0.781583
slv,0.662280,0.666068,0.651427,0.666115,0.636657,0.701926,0.770002,0.759666,0.759519,0.772644,0.754055,1.000000,0.767161
eng,0.672823,0.691005,0.669398,0.678222,0.638925,0.732516,0.810604,0.801452,0.809953,0.821071,0.781583,0.767161,1.000000
