# Global clustering metrics
metric,value,clusterer
silhouette_global,0.276369,family_labels
davies_bouldin,0.611878,family_labels
calinski_harabasz,5.275309,family_labels
cophenetic_correlation,0.974138,hierarchical
adjusted_rand_index,-0.184211,hierarchical_cut
normalized_mutual_info,0.421484,hierarchical_cut
v_measure,0.421484,hierarchical_cut
adjusted_rand_index,-0.184211,kmeans
normalized_mutual_info,0.421484,kmeans
v_measure,0.421484,kmeans

# Per-variety silhouette scores
variety,family,silhouette
lombardo,italo_romance,0.802752
ladino,italo_romance,0.792667
ligure,italo_romance,0.775424
sardo,italo_romance,0.766065
friulano,italo_romance,0.734155
siciliano,italo_romance,0.716064
veneto,italo_romance,0.519759
italiano,italian,0.000000
tedesco,germanic,0.000000
arabo,semitic,0.000000
greco,greek,0.000000
inglese,english,0.000000
sloveno,slavic,0.000000
catalano,romance,-0.020220
francese,romance,-0.276980
spagnolo,romance,-0.387783
