,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,0.000000,0.665110,0.661742,0.724612,0.733751,0.603446,0.548011,0.714882,0.673749,0.686790,0.737213,0.681345,0.829705,0.768914,0.818834,0.828383,0.894853
lij,0.665110,0.000000,0.681599,0.727011,0.702812,0.543061,0.523450,0.681082,0.723604,0.703056,0.652072,0.681343,0.845564,0.796924,0.823658,0.834437,0.896209
lmo,0.661742,0.681599,0.000000,0.720807,0.732582,0.601726,0.622058,0.684012,0.741347,0.638644,0.731835,0.645922,0.835432,0.811304,0.847194,0.848670,0.885582
sc,0.724612,0.727011,0.720807,0.000000,0.708225,0.683413,0.640722,0.609186,0.735412,0.678261,0.624057,0.643067,0.845400,0.798456,0.851637,0.834644,0.900796
scn,0.733751,0.702812,0.732582,0.708225,0.000000,0.684575,0.585048,0.806270,0.837698,0.787890,0.810641,0.775073,0.913986,0.872883,0.831002,0.815563,0.922078
vec,0.603446,0.543061,0.601726,0.683413,0.684575,0.000000,0.453567,0.595270,0.736597,0.631061,0.611720,0.648423,0.841500,0.778081,0.770414,0.787207,0.893568
ita,0.548011,0.523450,0.622058,0.640722,0.585048,0.453567,0.000000,0.587891,0.687334,0.598327,0.624478,0.625071,0.816024,0.745827,0.752662,0.768948,0.873218
spa,0.714882,0.681082,0.684012,0.609186,0.806270,0.595270,0.587891,0.000000,0.632564,0.425809,0.396564,0.419192,0.826729,0.774442,0.810435,0.817794,0.867307
fra,0.673749,0.723604,0.741347,0.735412,0.837698,0.736597,0.687334,0.632564,0.000000,0.523120,0.679255,0.557396,0.811894,0.725828,0.867119,0.873384,0.884700
cat,0.686790,0.703056,0.638644,0.678261,0.787890,0.631061,0.598327,0.425809,0.523120,0.000000,0.540608,0.352906,0.818668,0.743641,0.827402,0.830906,0.837956
por,0.737213,0.652072,0.731835,0.624057,0.810641,0.611720,0.624478,0.396564,0.679255,0.540608,0.000000,0.531972,0.850440,0.781119,0.807117,0.812838,0.878535
oci,0.681345,0.681343,0.645922,0.643067,0.775073,0.648423,0.625071,0.419192,0.557396,0.352906,0.531972,0.000000,0.834049,0.757824,0.838509,0.840237,0.878451
deu,0.829705,0.845564,0.835432,0.845400,0.913986,0.841500,0.816024,0.826729,0.811894,0.818668,0.850440,0.834049,0.000000,0.790206,0.893857,0.905975,0.881291
eng,0.768914,0.796924,0.811304,0.798456,0.872883,0.778081,0.745827,0.774442,0.725828,0.743641,0.781119,0.757824,0.790206,0.000000,0.864610,0.876859,0.888009
slv,0.818834,0.823658,0.847194,0.851637,0.831002,0.770414,0.752662,0.810435,0.867119,0.827402,0.807117,0.838509,0.893857,0.864610,0.000000,0.338106,0.869862
hrv,0.828383,0.834437,0.848670,0.834644,0.815563,0.787207,0.768948,0.817794,0.873384,0.830906,0.812838,0.840237,0.905975,0.876859,0.338106,0.000000,0.888144
hun,0.894853,0.896209,0.885582,0.900796,0.922078,0.893568,0.873218,0.867307,0.884700,0.837956,0.878535,0.878451,0.881291,0.888009,0.869862,0.888144,0.000000
