code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,ita,0.5480108857154846,vec,0.603446364402771,lmo,0.6617418527603149
lij,ita,0.5234501957893372,vec,0.5430606603622437,por,0.6520719528198242
lmo,vec,0.6017261743545532,ita,0.6220579147338867,cat,0.6386444568634033
sc,spa,0.609186053276062,por,0.6240569353103638,ita,0.6407217979431152
scn,ita,0.585047721862793,vec,0.6845749616622925,lij,0.702811598777771
vec,ita,0.4535667896270752,lij,0.5430606603622437,spa,0.5952701568603516
ita,vec,0.4535667896270752,lij,0.5234501957893372,fur,0.5480108857154846
spa,por,0.3965640068054199,oci,0.41919243335723877,cat,0.42580944299697876
fra,cat,0.5231196284294128,oci,0.5573960542678833,spa,0.6325641870498657
cat,oci,0.35290592908859253,spa,0.42580944299697876,fra,0.5231196284294128
por,spa,0.3965640068054199,oci,0.5319719314575195,cat,0.5406076908111572
oci,cat,0.35290592908859253,spa,0.41919243335723877,por,0.5319719314575195
deu,eng,0.7902060151100159,fra,0.8118944764137268,ita,0.8160237073898315
eng,fra,0.7258279323577881,cat,0.7436406016349792,ita,0.7458269596099854
slv,hrv,0.33810603618621826,ita,0.7526623010635376,vec,0.7704140543937683
hrv,slv,0.33810603618621826,ita,0.7689478397369385,vec,0.7872065901756287
hun,cat,0.8379557132720947,spa,0.867307186126709,slv,0.8698621392250061
