,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.334890,0.338258,0.275388,0.266249,0.396554,0.451989,0.285118,0.326251,0.313210,0.262787,0.318655,0.170295,0.231086,0.181166,0.171617,0.105147
lij,0.334890,1.000000,0.318401,0.272989,0.297188,0.456939,0.476550,0.318918,0.276396,0.296944,0.347928,0.318657,0.154436,0.203076,0.176342,0.165563,0.103791
lmo,0.338258,0.318401,1.000000,0.279193,0.267418,0.398274,0.377942,0.315988,0.258653,0.361356,0.268165,0.354078,0.164568,0.188696,0.152806,0.151330,0.114418
sc,0.275388,0.272989,0.279193,1.000000,0.291775,0.316587,0.359278,0.390814,0.264588,0.321739,0.375943,0.356933,0.154600,0.201544,0.148363,0.165356,0.099204
scn,0.266249,0.297188,0.267418,0.291775,1.000000,0.315425,0.414952,0.193730,0.162302,0.212110,0.189359,0.224927,0.086014,0.127117,0.168998,0.184437,0.077922
vec,0.396554,0.456939,0.398274,0.316587,0.315425,1.000000,0.546433,0.404730,0.263403,0.368939,0.388280,0.351577,0.158500,0.221919,0.229586,0.212793,0.106432
ita,0.451989,0.476550,0.377942,0.359278,0.414952,0.546433,1.000000,0.412109,0.312666,0.401673,0.375522,0.374929,0.183976,0.254173,0.247338,0.231052,0.126782
spa,0.285118,0.318918,0.315988,0.390814,0.193730,0.404730,0.412109,1.000000,0.367436,0.574191,0.603436,0.580808,0.173271,0.225558,0.189565,0.182206,0.132693
fra,0.326251,0.276396,0.258653,0.264588,0.162302,0.263403,0.312666,0.367436,1.000000,0.476880,0.320745,0.442604,0.188106,0.274172,0.132881,0.126616,0.115300
cat,0.313210,0.296944,0.361356,0.321739,0.212110,0.368939,0.401673,0.574191,0.476880,1.000000,0.459392,0.647094,0.181332,0.256359,0.172598,0.169094,0.162044
por,0.262787,0.347928,0.268165,0.375943,0.189359,0.388280,0.375522,0.603436,0.320745,0.459392,1.000000,0.468028,0.149560,0.218881,0.192883,0.187162,0.121465
oci,0.318655,0.318657,0.354078,0.356933,0.224927,0.351577,0.374929,0.580808,0.442604,0.647094,0.468028,1.000000,0.165951,0.242176,0.161491,0.159763,0.121549
deu,0.170295,0.154436,0.164568,0.154600,0.086014,0.158500,0.183976,0.173271,0.188106,0.181332,0.149560,0.165951,1.000000,0.209794,0.106143,0.094025,0.118709
eng,0.231086,0.203076,0.188696,0.201544,0.127117,0.221919,0.254173,0.225558,0.274172,0.256359,0.218881,0.242176,0.209794,1.000000,0.135390,0.123141,0.111991
slv,0.181166,0.176342,0.152806,0.148363,0.168998,0.229586,0.247338,0.189565,0.132881,0.172598,0.192883,0.161491,0.106143,0.135390,1.000000,0.661894,0.130138
hrv,0.171617,0.165563,0.151330,0.165356,0.184437,0.212793,0.231052,0.182206,0.126616,0.169094,0.187162,0.159763,0.094025,0.123141,0.661894,1.000000,0.111856
hun,0.105147,0.103791,0.114418,0.099204,0.077922,0.106432,0.126782,0.132693,0.115300,0.162044,0.121465,0.121549,0.118709,0.111991,0.130138,0.111856,1.000000
