,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,0.000000,0.768779,0.759421,0.920442,0.807365,0.798489,0.581037,0.872128,0.832541,0.871443,0.959759,0.873788,0.978462,0.978673,0.928654,0.943122,0.994220
lij,0.768779,0.000000,0.781838,0.853097,0.920494,0.726493,0.759857,0.810130,0.873154,0.850958,0.785610,0.819164,0.972064,0.964372,0.897255,0.913013,0.987480
lmo,0.759421,0.781838,0.000000,0.833905,0.887728,0.748799,0.728032,0.703421,0.815701,0.690654,0.886022,0.732086,0.976881,0.971412,0.937203,0.957256,0.980770
sc,0.920442,0.853097,0.833905,0.000000,0.940804,0.873337,0.906514,0.827491,0.874514,0.876547,0.892791,0.843291,0.968275,0.960165,0.945111,0.910761,0.990967
scn,0.807365,0.920494,0.887728,0.940804,0.000000,0.943514,0.760287,0.953028,0.959838,0.944690,0.982701,0.958940,0.994641,0.990288,0.942747,0.960748,0.996282
vec,0.798489,0.726493,0.748799,0.873337,0.943514,0.000000,0.774427,0.788012,0.902022,0.822397,0.864595,0.860840,0.980475,0.972618,0.860074,0.899136,0.985034
ita,0.581037,0.759857,0.728032,0.906514,0.760287,0.774427,0.000000,0.858403,0.876821,0.830882,0.961819,0.850153,0.977457,0.969100,0.934427,0.965266,0.990467
spa,0.872128,0.810130,0.703421,0.827491,0.953028,0.788012,0.858403,0.000000,0.739117,0.493382,0.675062,0.461616,0.989587,0.994216,0.962453,0.924676,0.974498
fra,0.832541,0.873154,0.815701,0.874514,0.959838,0.902022,0.876821,0.739117,0.000000,0.699333,0.861218,0.737430,0.974186,0.989014,0.975956,0.976792,0.987818
cat,0.871443,0.850958,0.690654,0.876547,0.944690,0.822397,0.830882,0.493382,0.699333,0.000000,0.762121,0.534039,0.982050,0.987411,0.984789,0.982889,0.919540
por,0.959759,0.785610,0.886022,0.892791,0.982701,0.864595,0.961819,0.675062,0.861218,0.762121,0.000000,0.795010,0.970013,0.978350,0.923925,0.905628,0.987031
oci,0.873788,0.819164,0.732086,0.843291,0.958940,0.860840,0.850153,0.461616,0.737430,0.534039,0.795010,0.000000,0.978698,0.989035,0.978371,0.971126,0.984275
deu,0.978462,0.972064,0.976881,0.968275,0.994641,0.980475,0.977457,0.989587,0.974186,0.982050,0.970013,0.978698,0.000000,0.971334,0.958497,0.992997,0.995529
eng,0.978673,0.964372,0.971412,0.960165,0.990288,0.972618,0.969100,0.994216,0.989014,0.987411,0.978350,0.989035,0.971334,0.000000,0.948825,0.981177,0.971004
slv,0.928654,0.897255,0.937203,0.945111,0.942747,0.860074,0.934427,0.962453,0.975956,0.984789,0.923925,0.978371,0.958497,0.948825,0.000000,0.507411,0.984574
hrv,0.943122,0.913013,0.957256,0.910761,0.960748,0.899136,0.965266,0.924676,0.976792,0.982889,0.905628,0.971126,0.992997,0.981177,0.507411,0.000000,0.994388
hun,0.994220,0.987480,0.980770,0.990967,0.996282,0.985034,0.990467,0.974498,0.987818,0.919540,0.987031,0.984275,0.995529,0.971004,0.984574,0.994388,0.000000
