Silhouette report (TF-IDF word (tfidf_wikiOLDI_native))
============================================================
  n_varieties           = 17
  linkage_method        = average
  silhouette (family)            = +0.0759
  silhouette (romance vs rest)   = +0.1178
  silhouette (romance, no dial.) = +0.1467

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  hrv                   slavic               +0.4548
  slv                   slavic               +0.4476
  spa                   romance              +0.2827
  oci                   romance              +0.2547
  cat                   romance              +0.2511
  por                   romance              +0.1362
  fra                   romance              +0.1335
  ita                   italian              +0.0000
  hun                   uralic               +0.0000
  deu                   germanic             +0.0000
  eng                   english              +0.0000
  sc                    italo_romance        -0.0242
  vec                   italo_romance        -0.0534
  lij                   italo_romance        -0.0621
  lmo                   italo_romance        -0.0926
  scn                   italo_romance        -0.1552
  fur                   italo_romance        -0.2835
