,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.231221,0.240579,0.079558,0.192635,0.201511,0.418963,0.127872,0.167459,0.128557,0.040241,0.126212,0.021538,0.021327,0.071346,0.056878,0.005780
lij,0.231221,1.000000,0.218162,0.146903,0.079506,0.273507,0.240143,0.189870,0.126846,0.149042,0.214390,0.180836,0.027936,0.035628,0.102745,0.086987,0.012520
lmo,0.240579,0.218162,1.000000,0.166095,0.112272,0.251201,0.271968,0.296579,0.184299,0.309346,0.113978,0.267914,0.023119,0.028588,0.062797,0.042744,0.019230
sc,0.079558,0.146903,0.166095,1.000000,0.059196,0.126663,0.093486,0.172509,0.125486,0.123453,0.107209,0.156709,0.031725,0.039835,0.054889,0.089239,0.009033
scn,0.192635,0.079506,0.112272,0.059196,1.000000,0.056486,0.239713,0.046972,0.040162,0.055310,0.017299,0.041060,0.005359,0.009712,0.057253,0.039252,0.003718
vec,0.201511,0.273507,0.251201,0.126663,0.056486,1.000000,0.225573,0.211988,0.097978,0.177603,0.135405,0.139160,0.019525,0.027382,0.139926,0.100864,0.014966
ita,0.418963,0.240143,0.271968,0.093486,0.239713,0.225573,1.000000,0.141597,0.123179,0.169118,0.038181,0.149847,0.022543,0.030900,0.065573,0.034734,0.009533
spa,0.127872,0.189870,0.296579,0.172509,0.046972,0.211988,0.141597,1.000000,0.260883,0.506618,0.324938,0.538384,0.010413,0.005784,0.037547,0.075324,0.025502
fra,0.167459,0.126846,0.184299,0.125486,0.040162,0.097978,0.123179,0.260883,1.000000,0.300667,0.138782,0.262570,0.025814,0.010986,0.024044,0.023208,0.012182
cat,0.128557,0.149042,0.309346,0.123453,0.055310,0.177603,0.169118,0.506618,0.300667,1.000000,0.237879,0.465961,0.017950,0.012589,0.015211,0.017111,0.080460
por,0.040241,0.214390,0.113978,0.107209,0.017299,0.135405,0.038181,0.324938,0.138782,0.237879,1.000000,0.204990,0.029987,0.021650,0.076075,0.094372,0.012969
oci,0.126212,0.180836,0.267914,0.156709,0.041060,0.139160,0.149847,0.538384,0.262570,0.465961,0.204990,1.000000,0.021302,0.010965,0.021629,0.028874,0.015725
deu,0.021538,0.027936,0.023119,0.031725,0.005359,0.019525,0.022543,0.010413,0.025814,0.017950,0.029987,0.021302,1.000000,0.028666,0.041503,0.007003,0.004471
eng,0.021327,0.035628,0.028588,0.039835,0.009712,0.027382,0.030900,0.005784,0.010986,0.012589,0.021650,0.010965,0.028666,1.000000,0.051175,0.018823,0.028996
slv,0.071346,0.102745,0.062797,0.054889,0.057253,0.139926,0.065573,0.037547,0.024044,0.015211,0.076075,0.021629,0.041503,0.051175,1.000000,0.492589,0.015426
hrv,0.056878,0.086987,0.042744,0.089239,0.039252,0.100864,0.034734,0.075324,0.023208,0.017111,0.094372,0.028874,0.007003,0.018823,0.492589,1.000000,0.005612
hun,0.005780,0.012520,0.019230,0.009033,0.003718,0.014966,0.009533,0.025502,0.012182,0.080460,0.012969,0.015725,0.004471,0.028996,0.015426,0.005612,1.000000
