,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,0.000000,0.606221,0.515116,0.674986,0.687985,0.516718,0.505966,0.662596,0.621686,0.610148,0.686418,0.600603,0.799792,0.740734,0.790444,0.794998,0.840612
lij,0.606221,0.000000,0.537089,0.669841,0.632244,0.432933,0.451910,0.595920,0.678864,0.619507,0.582291,0.602381,0.814872,0.769337,0.783405,0.785852,0.835021
lmo,0.515116,0.537089,0.000000,0.612666,0.626229,0.429368,0.483630,0.563120,0.638253,0.498785,0.616138,0.516557,0.759676,0.743563,0.779679,0.779303,0.810465
sc,0.674986,0.669841,0.612666,0.000000,0.676545,0.629686,0.613514,0.579444,0.704140,0.647169,0.593145,0.610197,0.819287,0.786508,0.834681,0.812361,0.842905
scn,0.687985,0.632244,0.626229,0.676545,0.000000,0.616695,0.546587,0.770926,0.813480,0.753372,0.764122,0.744417,0.887989,0.859083,0.809421,0.788043,0.885113
vec,0.516718,0.432933,0.429368,0.629686,0.616695,0.000000,0.364532,0.512734,0.658015,0.545153,0.544352,0.560288,0.802197,0.749117,0.717732,0.735285,0.816953
ita,0.505966,0.451910,0.483630,0.613514,0.546587,0.364532,0.000000,0.564834,0.654567,0.572266,0.600446,0.586631,0.795816,0.742025,0.743802,0.754151,0.813843
spa,0.662596,0.595920,0.563120,0.579444,0.770926,0.512734,0.564834,0.000000,0.593255,0.386334,0.364131,0.343069,0.803346,0.764259,0.791439,0.791432,0.798092
fra,0.621686,0.678864,0.638253,0.704140,0.813480,0.658015,0.654567,0.593255,0.000000,0.480268,0.647300,0.512314,0.774657,0.698733,0.840750,0.848571,0.829020
cat,0.610148,0.619507,0.498785,0.647169,0.753372,0.545153,0.572266,0.386334,0.480268,0.000000,0.503592,0.287743,0.791860,0.725806,0.806189,0.808271,0.775821
por,0.686418,0.582291,0.616138,0.593145,0.764122,0.544352,0.600446,0.364131,0.647300,0.503592,0.000000,0.479518,0.826121,0.770312,0.784585,0.779281,0.811707
oci,0.600603,0.602381,0.516557,0.610197,0.744417,0.560288,0.586631,0.343069,0.512314,0.287743,0.479518,0.000000,0.794918,0.732581,0.810332,0.811943,0.795647
deu,0.799792,0.814872,0.759676,0.819287,0.887989,0.802197,0.795816,0.803346,0.774657,0.791860,0.826121,0.794918,0.000000,0.772107,0.873352,0.879222,0.840233
eng,0.740734,0.769337,0.743563,0.786508,0.859083,0.749117,0.742025,0.764259,0.698733,0.725806,0.770312,0.732581,0.772107,0.000000,0.854785,0.865220,0.848470
slv,0.790444,0.783405,0.779679,0.834681,0.809421,0.717732,0.743802,0.791439,0.840750,0.806189,0.784585,0.810332,0.873352,0.854785,0.000000,0.315042,0.812437
hrv,0.794998,0.785852,0.779303,0.812361,0.788043,0.735285,0.754151,0.791432,0.848571,0.808271,0.779281,0.811943,0.879222,0.865220,0.315042,0.000000,0.831362
hun,0.840612,0.835021,0.810465,0.842905,0.885113,0.816953,0.813843,0.798092,0.829020,0.775821,0.811707,0.795647,0.840233,0.848470,0.812437,0.831362,0.000000
