source,target,distance,similarity,target_family,target_display
cat,oci,0.287743,0.712257,romance,Occitan
cat,spa,0.386334,0.613666,romance,Spanish
cat,fra,0.480268,0.519732,romance,French
cat,lmo,0.498785,0.501215,italo_romance,Lombard
cat,por,0.503592,0.496408,romance,Portuguese
cat,vec,0.545153,0.454847,italo_romance,Venetian
cat,ita,0.572266,0.427734,italian,Italian
cat,fur,0.610148,0.389852,italo_romance,Friulian
cat,lij,0.619507,0.380493,italo_romance,Ligurian
cat,sc,0.647169,0.352831,italo_romance,Sardinian
cat,eng,0.725806,0.274194,english,English
cat,scn,0.753372,0.246628,italo_romance,Sicilian
cat,hun,0.775821,0.224179,uralic,Hungarian
cat,deu,0.791860,0.208140,germanic,German
cat,slv,0.806189,0.193811,slavic,Slovenian
cat,hrv,0.808271,0.191729,slavic,Croatian
deu,lmo,0.759676,0.240324,italo_romance,Lombard
deu,eng,0.772107,0.227893,english,English
deu,fra,0.774657,0.225343,romance,French
deu,cat,0.791860,0.208140,romance,Catalan
deu,oci,0.794918,0.205082,romance,Occitan
deu,ita,0.795816,0.204184,italian,Italian
deu,fur,0.799792,0.200208,italo_romance,Friulian
deu,vec,0.802197,0.197803,italo_romance,Venetian
deu,spa,0.803346,0.196654,romance,Spanish
deu,lij,0.814872,0.185128,italo_romance,Ligurian
deu,sc,0.819287,0.180713,italo_romance,Sardinian
deu,por,0.826121,0.173879,romance,Portuguese
deu,hun,0.840233,0.159767,uralic,Hungarian
deu,slv,0.873352,0.126648,slavic,Slovenian
deu,hrv,0.879222,0.120778,slavic,Croatian
deu,scn,0.887989,0.112011,italo_romance,Sicilian
eng,fra,0.698733,0.301267,romance,French
eng,cat,0.725806,0.274194,romance,Catalan
eng,oci,0.732581,0.267419,romance,Occitan
eng,fur,0.740734,0.259266,italo_romance,Friulian
eng,ita,0.742025,0.257975,italian,Italian
eng,lmo,0.743563,0.256437,italo_romance,Lombard
eng,vec,0.749117,0.250883,italo_romance,Venetian
eng,spa,0.764259,0.235741,romance,Spanish
eng,lij,0.769337,0.230663,italo_romance,Ligurian
eng,por,0.770312,0.229688,romance,Portuguese
eng,deu,0.772107,0.227893,germanic,German
eng,sc,0.786508,0.213492,italo_romance,Sardinian
eng,hun,0.848470,0.151530,uralic,Hungarian
eng,slv,0.854785,0.145215,slavic,Slovenian
eng,scn,0.859083,0.140917,italo_romance,Sicilian
eng,hrv,0.865220,0.134780,slavic,Croatian
fra,cat,0.480268,0.519732,romance,Catalan
fra,oci,0.512314,0.487686,romance,Occitan
fra,spa,0.593255,0.406745,romance,Spanish
fra,fur,0.621686,0.378314,italo_romance,Friulian
fra,lmo,0.638253,0.361747,italo_romance,Lombard
fra,por,0.647300,0.352700,romance,Portuguese
fra,ita,0.654567,0.345433,italian,Italian
fra,vec,0.658015,0.341985,italo_romance,Venetian
fra,lij,0.678864,0.321136,italo_romance,Ligurian
fra,eng,0.698733,0.301267,english,English
fra,sc,0.704140,0.295860,italo_romance,Sardinian
fra,deu,0.774657,0.225343,germanic,German
fra,scn,0.813480,0.186520,italo_romance,Sicilian
fra,hun,0.829020,0.170980,uralic,Hungarian
fra,slv,0.840750,0.159250,slavic,Slovenian
fra,hrv,0.848571,0.151429,slavic,Croatian
fur,ita,0.505966,0.494034,italian,Italian
fur,lmo,0.515116,0.484884,italo_romance,Lombard
fur,vec,0.516718,0.483282,italo_romance,Venetian
fur,oci,0.600603,0.399397,romance,Occitan
fur,lij,0.606221,0.393779,italo_romance,Ligurian
fur,cat,0.610148,0.389852,romance,Catalan
fur,fra,0.621686,0.378314,romance,French
fur,spa,0.662596,0.337404,romance,Spanish
fur,sc,0.674986,0.325014,italo_romance,Sardinian
fur,por,0.686418,0.313582,romance,Portuguese
fur,scn,0.687985,0.312015,italo_romance,Sicilian
fur,eng,0.740734,0.259266,english,English
fur,slv,0.790444,0.209556,slavic,Slovenian
fur,hrv,0.794998,0.205002,slavic,Croatian
fur,deu,0.799792,0.200208,germanic,German
fur,hun,0.840612,0.159388,uralic,Hungarian
hrv,slv,0.315042,0.684958,slavic,Slovenian
hrv,vec,0.735285,0.264715,italo_romance,Venetian
hrv,ita,0.754151,0.245849,italian,Italian
hrv,por,0.779281,0.220719,romance,Portuguese
hrv,lmo,0.779303,0.220697,italo_romance,Lombard
hrv,lij,0.785852,0.214148,italo_romance,Ligurian
hrv,scn,0.788043,0.211957,italo_romance,Sicilian
hrv,spa,0.791432,0.208568,romance,Spanish
hrv,fur,0.794998,0.205002,italo_romance,Friulian
hrv,cat,0.808271,0.191729,romance,Catalan
hrv,oci,0.811943,0.188057,romance,Occitan
hrv,sc,0.812361,0.187639,italo_romance,Sardinian
hrv,hun,0.831362,0.168638,uralic,Hungarian
hrv,fra,0.848571,0.151429,romance,French
hrv,eng,0.865220,0.134780,english,English
hrv,deu,0.879222,0.120778,germanic,German
hun,cat,0.775821,0.224179,romance,Catalan
hun,oci,0.795647,0.204353,romance,Occitan
hun,spa,0.798092,0.201908,romance,Spanish
hun,lmo,0.810465,0.189535,italo_romance,Lombard
hun,por,0.811707,0.188293,romance,Portuguese
hun,slv,0.812437,0.187563,slavic,Slovenian
hun,ita,0.813843,0.186157,italian,Italian
hun,vec,0.816953,0.183047,italo_romance,Venetian
hun,fra,0.829020,0.170980,romance,French
hun,hrv,0.831362,0.168638,slavic,Croatian
hun,lij,0.835021,0.164979,italo_romance,Ligurian
hun,deu,0.840233,0.159767,germanic,German
hun,fur,0.840612,0.159388,italo_romance,Friulian
hun,sc,0.842905,0.157095,italo_romance,Sardinian
hun,eng,0.848470,0.151530,english,English
hun,scn,0.885113,0.114887,italo_romance,Sicilian
ita,vec,0.364532,0.635468,italo_romance,Venetian
ita,lij,0.451910,0.548090,italo_romance,Ligurian
ita,lmo,0.483630,0.516370,italo_romance,Lombard
ita,fur,0.505966,0.494034,italo_romance,Friulian
ita,scn,0.546587,0.453413,italo_romance,Sicilian
ita,spa,0.564834,0.435166,romance,Spanish
ita,cat,0.572266,0.427734,romance,Catalan
ita,oci,0.586631,0.413369,romance,Occitan
ita,por,0.600446,0.399554,romance,Portuguese
ita,sc,0.613514,0.386486,italo_romance,Sardinian
ita,fra,0.654567,0.345433,romance,French
ita,eng,0.742025,0.257975,english,English
ita,slv,0.743802,0.256198,slavic,Slovenian
ita,hrv,0.754151,0.245849,slavic,Croatian
ita,deu,0.795816,0.204184,germanic,German
ita,hun,0.813843,0.186157,uralic,Hungarian
lij,vec,0.432933,0.567067,italo_romance,Venetian
lij,ita,0.451910,0.548090,italian,Italian
lij,lmo,0.537089,0.462911,italo_romance,Lombard
lij,por,0.582291,0.417709,romance,Portuguese
lij,spa,0.595920,0.404080,romance,Spanish
lij,oci,0.602381,0.397619,romance,Occitan
lij,fur,0.606221,0.393779,italo_romance,Friulian
lij,cat,0.619507,0.380493,romance,Catalan
lij,scn,0.632244,0.367756,italo_romance,Sicilian
lij,sc,0.669841,0.330159,italo_romance,Sardinian
lij,fra,0.678864,0.321136,romance,French
lij,eng,0.769337,0.230663,english,English
lij,slv,0.783405,0.216595,slavic,Slovenian
lij,hrv,0.785852,0.214148,slavic,Croatian
lij,deu,0.814872,0.185128,germanic,German
lij,hun,0.835021,0.164979,uralic,Hungarian
lmo,vec,0.429368,0.570632,italo_romance,Venetian
lmo,ita,0.483630,0.516370,italian,Italian
lmo,cat,0.498785,0.501215,romance,Catalan
lmo,fur,0.515116,0.484884,italo_romance,Friulian
lmo,oci,0.516557,0.483443,romance,Occitan
lmo,lij,0.537089,0.462911,italo_romance,Ligurian
lmo,spa,0.563120,0.436880,romance,Spanish
lmo,sc,0.612666,0.387334,italo_romance,Sardinian
lmo,por,0.616138,0.383862,romance,Portuguese
lmo,scn,0.626229,0.373771,italo_romance,Sicilian
lmo,fra,0.638253,0.361747,romance,French
lmo,eng,0.743563,0.256437,english,English
lmo,deu,0.759676,0.240324,germanic,German
lmo,hrv,0.779303,0.220697,slavic,Croatian
lmo,slv,0.779679,0.220321,slavic,Slovenian
lmo,hun,0.810465,0.189535,uralic,Hungarian
oci,cat,0.287743,0.712257,romance,Catalan
oci,spa,0.343069,0.656931,romance,Spanish
oci,por,0.479518,0.520482,romance,Portuguese
oci,fra,0.512314,0.487686,romance,French
oci,lmo,0.516557,0.483443,italo_romance,Lombard
oci,vec,0.560288,0.439712,italo_romance,Venetian
oci,ita,0.586631,0.413369,italian,Italian
oci,fur,0.600603,0.399397,italo_romance,Friulian
oci,lij,0.602381,0.397619,italo_romance,Ligurian
oci,sc,0.610197,0.389803,italo_romance,Sardinian
oci,eng,0.732581,0.267419,english,English
oci,scn,0.744417,0.255583,italo_romance,Sicilian
oci,deu,0.794918,0.205082,germanic,German
oci,hun,0.795647,0.204353,uralic,Hungarian
oci,slv,0.810332,0.189668,slavic,Slovenian
oci,hrv,0.811943,0.188057,slavic,Croatian
por,spa,0.364131,0.635869,romance,Spanish
por,oci,0.479518,0.520482,romance,Occitan
por,cat,0.503592,0.496408,romance,Catalan
por,vec,0.544352,0.455648,italo_romance,Venetian
por,lij,0.582291,0.417709,italo_romance,Ligurian
por,sc,0.593145,0.406855,italo_romance,Sardinian
