# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.048214,family_labels
davies_bouldin,1.147551,family_labels
calinski_harabasz,1.371502,family_labels
cophenetic_correlation,0.905226,hierarchical
adjusted_rand_index,0.521246,hierarchical_cut
normalized_mutual_info,0.777537,hierarchical_cut
v_measure,0.777537,hierarchical_cut
adjusted_rand_index,0.456592,kmeans
normalized_mutual_info,0.780045,kmeans
v_measure,0.780045,kmeans

# Per-variety silhouette scores
variety,family,silhouette
cat,romance,0.051113
ita,italian,0.000000
deu,germanic,0.000000
slv,slavic,0.000000
eng,english,0.000000
lij,italo_romance,-0.019060
fur,italo_romance,-0.064037
spa,romance,-0.075246
sc,italo_romance,-0.083648
fra,romance,-0.094165
lmo,italo_romance,-0.096877
scn,italo_romance,-0.098914
vec,italo_romance,-0.145945
