source,target,distance,similarity,target_family,target_display
cat,spa,0.445447,0.554553,romance,Spanish
cat,ita,0.503685,0.496315,italian,Italian
cat,fra,0.510434,0.489566,romance,French
cat,sc,0.516780,0.483220,italo_romance,Sardinian
cat,vec,0.530080,0.469920,italo_romance,Venetian
cat,lmo,0.533365,0.466635,italo_romance,Lombard
cat,fur,0.546207,0.453793,italo_romance,Friulian
cat,eng,0.551974,0.448026,english,English
cat,lij,0.582333,0.417667,italo_romance,Ligurian
cat,scn,0.590603,0.409397,italo_romance,Sicilian
cat,deu,0.685246,0.314754,germanic,German
cat,slv,0.722410,0.277590,slavic,Slovenian
deu,eng,0.588087,0.411913,english,English
deu,fra,0.592766,0.407234,romance,French
deu,ita,0.594395,0.405605,italian,Italian
deu,spa,0.627745,0.372255,romance,Spanish
deu,lmo,0.655580,0.344420,italo_romance,Lombard
deu,vec,0.668078,0.331922,italo_romance,Venetian
deu,sc,0.680409,0.319591,italo_romance,Sardinian
deu,cat,0.685246,0.314754,romance,Catalan
deu,scn,0.715313,0.284687,italo_romance,Sicilian
deu,fur,0.715929,0.284071,italo_romance,Friulian
deu,lij,0.727092,0.272908,italo_romance,Ligurian
deu,slv,0.746489,0.253511,slavic,Slovenian
eng,ita,0.440852,0.559148,italian,Italian
eng,fra,0.442178,0.557822,romance,French
eng,spa,0.463919,0.536081,romance,Spanish
eng,vec,0.551207,0.448793,italo_romance,Venetian
eng,cat,0.551974,0.448026,romance,Catalan
eng,lmo,0.564652,0.435348,italo_romance,Lombard
eng,sc,0.567706,0.432294,italo_romance,Sardinian
eng,deu,0.588087,0.411913,germanic,German
eng,scn,0.603318,0.396682,italo_romance,Sicilian
eng,fur,0.618951,0.381049,italo_romance,Friulian
eng,lij,0.632446,0.367554,italo_romance,Ligurian
eng,slv,0.702125,0.297875,slavic,Slovenian
fra,ita,0.441532,0.558468,italian,Italian
fra,eng,0.442178,0.557822,english,English
fra,spa,0.464428,0.535572,romance,Spanish
fra,cat,0.510434,0.489566,romance,Catalan
fra,lmo,0.531621,0.468379,italo_romance,Lombard
fra,vec,0.534939,0.465061,italo_romance,Venetian
fra,sc,0.548500,0.451500,italo_romance,Sardinian
fra,fur,0.585693,0.414307,italo_romance,Friulian
fra,lij,0.590207,0.409793,italo_romance,Ligurian
fra,scn,0.590545,0.409455,italo_romance,Sicilian
fra,deu,0.592766,0.407234,germanic,German
fra,slv,0.691910,0.308090,slavic,Slovenian
fur,ita,0.497926,0.502074,italian,Italian
fur,lmo,0.499465,0.500535,italo_romance,Lombard
fur,vec,0.509594,0.490406,italo_romance,Venetian
