,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.438110,0.500535,0.474646,0.436341,0.490406,0.502074,0.432768,0.414307,0.453793,0.284071,0.268619,0.381049
lij,0.438110,1.000000,0.541480,0.495079,0.501037,0.552875,0.515138,0.428057,0.409793,0.417667,0.272908,0.250222,0.367554
lmo,0.500535,0.541480,1.000000,0.529186,0.519012,0.574596,0.578207,0.485766,0.468379,0.466635,0.344420,0.305348,0.435348
sc,0.474646,0.495079,0.529186,1.000000,0.534099,0.520507,0.551632,0.506906,0.451500,0.483220,0.319591,0.279042,0.432294
scn,0.436341,0.501037,0.519012,0.534099,1.000000,0.466416,0.541690,0.429598,0.409455,0.409397,0.284687,0.258270,0.396682
vec,0.490406,0.552875,0.574596,0.520507,0.466416,1.000000,0.590874,0.515634,0.465061,0.469920,0.331922,0.314273,0.448793
ita,0.502074,0.515138,0.578207,0.551632,0.541690,0.590874,1.000000,0.579295,0.558468,0.496315,0.405605,0.338278,0.559148
spa,0.432768,0.428057,0.485766,0.506906,0.429598,0.515634,0.579295,1.000000,0.535572,0.554553,0.372255,0.317226,0.536081
fra,0.414307,0.409793,0.468379,0.451500,0.409455,0.465061,0.558468,0.535572,1.000000,0.489566,0.407234,0.308090,0.557822
cat,0.453793,0.417667,0.466635,0.483220,0.409397,0.469920,0.496315,0.554553,0.489566,1.000000,0.314754,0.277590,0.448026
deu,0.284071,0.272908,0.344420,0.319591,0.284687,0.331922,0.405605,0.372255,0.407234,0.314754,1.000000,0.253511,0.411913
slv,0.268619,0.250222,0.305348,0.279042,0.258270,0.314273,0.338278,0.317226,0.308090,0.277590,0.253511,1.000000,0.297875
eng,0.381049,0.367554,0.435348,0.432294,0.396682,0.448793,0.559148,0.536081,0.557822,0.448026,0.411913,0.297875,1.000000
