# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.002838,family_labels
davies_bouldin,1.337857,family_labels
calinski_harabasz,1.041028,family_labels
cophenetic_correlation,0.885085,hierarchical
adjusted_rand_index,0.521246,hierarchical_cut
normalized_mutual_info,0.777537,hierarchical_cut
v_measure,0.777537,hierarchical_cut
adjusted_rand_index,0.295181,kmeans
normalized_mutual_info,0.676477,kmeans
v_measure,0.676477,kmeans

# Per-variety silhouette scores
variety,family,silhouette
cat,romance,0.025925
spa,romance,0.014015
lmo,italo_romance,0.000529
fur,italo_romance,0.000505
ita,italian,0.000000
deu,germanic,0.000000
slv,slavic,0.000000
eng,english,0.000000
fra,romance,-0.002553
sc,italo_romance,-0.003684
lij,italo_romance,-0.008670
scn,italo_romance,-0.025399
vec,italo_romance,-0.037559
