,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.977751,0.942282,0.984374,0.983197,0.959871,0.969985,0.986809,0.978913,0.973623,0.991193,0.991739,0.988835
lij,0.977751,0.000000,0.944545,0.967412,0.958255,0.917051,0.944740,0.975706,0.982753,0.984568,0.991950,0.992413,0.989383
lmo,0.942282,0.944545,0.000000,0.966216,0.965488,0.892889,0.942783,0.965731,0.975058,0.953816,0.984671,0.988432,0.980717
sc,0.984374,0.967412,0.966216,0.000000,0.966100,0.963289,0.965906,0.962859,0.981570,0.976896,0.989542,0.992193,0.983595
scn,0.983197,0.958255,0.965488,0.966100,0.000000,0.963190,0.942678,0.984739,0.986614,0.987329,0.991157,0.991701,0.984880
vec,0.959871,0.917051,0.892889,0.963289,0.963190,0.000000,0.903980,0.949337,0.975066,0.969104,0.986579,0.987754,0.977590
ita,0.969985,0.944740,0.942783,0.965906,0.942678,0.903980,0.000000,0.961580,0.971941,0.981141,0.981052,0.988826,0.966014
spa,0.986809,0.975706,0.965731,0.962859,0.984739,0.949337,0.961580,0.000000,0.966174,0.930034,0.983253,0.990310,0.969697
fra,0.978913,0.982753,0.975058,0.981570,0.986614,0.975066,0.971941,0.966174,0.000000,0.967898,0.976673,0.988911,0.964568
cat,0.973623,0.984568,0.953816,0.976896,0.987329,0.969104,0.981141,0.930034,0.967898,0.000000,0.990716,0.992912,0.984738
deu,0.991193,0.991950,0.984671,0.989542,0.991157,0.986579,0.981052,0.983253,0.976673,0.990716,0.000000,0.989290,0.968212
slv,0.991739,0.992413,0.988432,0.992193,0.991701,0.987754,0.988826,0.990310,0.988911,0.992912,0.989290,0.000000,0.987300
eng,0.988835,0.989383,0.980717,0.983595,0.984880,0.977590,0.966014,0.969697,0.964568,0.984738,0.968212,0.987300,0.000000
