code,rank,feature,weight
fur,1,ncje ,0.017346331632897474
fur,2,agns ,0.01728677180829983
fur,3,agns,0.01728677180829983
fur,4, agns,0.01719127871709129
fur,5,mpuar,0.016857802356762434
fur,6,impua,0.016713437939499476
fur,7,ngje ,0.016684854763474862
fur,8,vuere,0.016543878716740297
fur,9,ogji,0.016425966352991636
fur,10,ducj,0.01640162164066401
fur,11, ducj,0.016393447682718658
fur,12,ongje,0.016385243838206116
fur,13,ucj ,0.016381130640034013
fur,14,ducj ,0.016381130640034013
fur,15,puart,0.016336739932737116
fur,16,logji,0.016301512145726994
fur,17,ologj,0.016196726616095676
fur,18,igji,0.015796564288854037
fur,19, gnov,0.01576427957395112
fur,20,escj ,0.015747961327664494
fur,21,rigj,0.015737016189011913
fur,22,fevel,0.01563603044151201
fur,23, viod,0.015607152964729563
fur,24,origj,0.015595497099688693
fur,25,ncje,0.015582124246199381
fur,26,rigji,0.015566089745913851
fur,27,igjin,0.015518221285613126
fur,28,jenfr,0.015500004008480157
fur,29,ancje,0.0154423523937936
fur,30,gnuf,0.015289198393091548
lij,1,cioin,0.013497158536259622
lij,2,acioi,0.012506109721376918
lij,3,aexim,0.01191545490386466
lij,4,maexi,0.011883758110925742
lij,5, maex,0.011882475974582352
lij,6,taeto,0.011443564835578096
lij,7,nscid,0.011160864038443328
lij,8,izoa ,0.01115037088903684
lij,9,scci,0.010930488183030553
lij,10, goae,0.010928041819742357
lij,11, outo,0.010920678313672006
lij,12, izoa,0.010908323598004845
lij,13,staet,0.010831386536470436
lij,14,ceize,0.010829326710908378
lij,15, doia,0.010762389593893845
lij,16,uaddr,0.010759647940540275
lij,17,nceiz,0.010745862780570454
lij,18,aeto ,0.010678176805476766
lij,19, guae,0.010566419966448437
lij,20,goaer,0.010557006247583739
lij,21,guaer,0.010544360517965881
lij,22,paegi,0.010469467421543427
lij,23,stetu,0.010428830546813912
lij,24,oaera,0.010408084820359157
lij,25,uaexi,0.010397601605378821
lij,26,uaex,0.010397601605378821
lij,27,quaex,0.010397601605378821
lij,28,efaet,0.010310943193948633
lij,29,maex,0.010248117842425717
lij,30, aego,0.010242439054659927
lmo,1,tegh ,0.011515646554084788
lmo,2,peraa,0.010427321910560108
lmo,3,negh ,0.010354056507913677
lmo,4,quaj ,0.010236959737542834
lmo,5,voeul,0.010214246597807286
lmo,6, poeu,0.010074959273998645
lmo,7,poeu ,0.010070380647151534
lmo,8,oeult,0.009992554394250338
lmo,9,piev ,0.009954194389745505
lmo,10,uij ,0.009935368241326195
lmo,11,quij ,0.009909831401630324
