code,rank,feature,weight
fur,1,je une,0.01072702976002666
fur,2,glesie,0.010560796290439512
fur,3,agns,0.01047117464158495
fur,4,ancje,0.010422546358320546
fur,5,al jere,0.010339168960212777
fur,6,di une,0.010131701274357063
fur,7,une vore,0.010076844552578958
fur,8,di abitants,0.010076844552578958
fur,9,vuere,0.010058058508823763
fur,10,ducj,0.009977715013594792
fur,11,dula che,0.009960047838389658
fur,12,dongje,0.009949848812220474
fur,13,cuant che,0.009881632652167153
fur,14,di udin,0.009751913690752267
fur,15,intal,0.009745420730145947
fur,16,jerin,0.009725027646675119
fur,17,miec,0.009709859198358184
fur,18,di vue,0.009634611029065798
fur,19,un dai,0.009558389452920316
fur,20,soredut,0.009484876402729976
fur,21,dentri,0.009470414223710838
fur,22,la glesie,0.00946312533622561
fur,23,jenfri,0.009437303671613452
fur,24,esempli,0.009380271898759531
fur,25,parce che,0.009368574282432592
fur,26,abitants,0.009305537923740368
fur,27,je stade,0.009262767768337685
fur,28,al veve,0.009250014986869694
fur,29,peraule,0.009245737477387229
fur,30,fas part,0.009215414071305123
lij,1,in sce,0.007552153380535524
lij,2,cumme,0.007078986008356833
lij,3,staeto,0.0067258664410531094
lij,4,ancheu,0.00670869619017786
lij,5,insemme,0.006657511019011095
lij,6,arbenga,0.006580606576782398
lij,7,maeximo,0.006558729024470333
lij,8,scinn,0.006556263785278627
lij,9,in scio,0.006469350032407836
lij,10,stradda,0.006431706190388487
lij,11,izoa,0.006381854709508286
lij,12,votta,0.00631277376692639
lij,13,doia,0.00631277376692639
lij,14,franceize,0.006309499183373191
lij,15,staeta,0.006296856823093193
lij,16,zeneixi,0.006221527304809238
lij,17,in scia,0.006220512906586554
lij,18,se treuva,0.0062087255019617725
lij,19,ciu parte,0.006169146359979214
lij,20,ogni moddo,0.006155541724588015
lij,21,cosci,0.006133806491201295
lij,22,stetu,0.006129695766046939
lij,23,staeti,0.006125650240715734
lij,24,guaera,0.006111340504713128
lij,25,votte,0.006107208289229204
lij,26,goaera,0.006105134779014775
