code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
veneto,italiano,0.5434532761573792,lombardo,0.6887996196746826,ligure,0.7208620309829712
siciliano,italiano,0.6339049935340881,sardo,0.6929273009300232,lombardo,0.7253212332725525
lombardo,veneto,0.6887996196746826,italiano,0.7066605091094971,siciliano,0.7253212332725525
sardo,siciliano,0.6929273009300232,italiano,0.7167093753814697,catalano,0.7408102750778198
ligure,italiano,0.6238763332366943,veneto,0.7208620309829712,siciliano,0.76136714220047
friulano,italiano,0.7040284276008606,veneto,0.7387415170669556,lombardo,0.760727047920227
ladino,italiano,0.7306456565856934,friulano,0.7658567428588867,lombardo,0.7746203541755676
italiano,veneto,0.5434532761573792,ligure,0.6238763332366943,siciliano,0.6339049935340881
spagnolo,catalano,0.6442241668701172,italiano,0.7178173661231995,veneto,0.7481464743614197
francese,inglese,0.736517071723938,catalano,0.7435460686683655,italiano,0.7695936560630798
catalano,spagnolo,0.6442241668701172,italiano,0.724495530128479,sardo,0.7408102750778198
tedesco,inglese,0.7974953055381775,italiano,0.8507758378982544,francese,0.8588601350784302
inglese,francese,0.736517071723938,italiano,0.7444335222244263,catalano,0.7502787709236145
greco,inglese,0.9863506555557251,italiano,0.9880924820899963,veneto,0.9893503785133362
arabo,inglese,0.9974112510681152,italiano,0.9975411891937256,catalano,0.9978319406509399
sloveno,italiano,0.8604874610900879,spagnolo,0.8808983564376831,veneto,0.8809124827384949
