,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,0.000000,0.962048,0.939096,0.974077,0.928323,0.967520,0.969170,0.866135,0.964615,0.984754,0.972691,0.990865,0.984480,0.998161,0.999511,0.989465
siciliano,0.962048,0.000000,0.972807,0.969649,0.974613,0.984177,0.982956,0.936865,0.989155,0.991370,0.985212,0.992404,0.988529,0.998278,0.999551,0.992510
lombardo,0.939096,0.972807,0.000000,0.978681,0.969515,0.964819,0.964601,0.955613,0.979643,0.981291,0.964320,0.989290,0.980133,0.998104,0.999529,0.991841
sardo,0.974077,0.969649,0.978681,0.000000,0.977997,0.987992,0.981404,0.968918,0.967931,0.987439,0.975530,0.991324,0.986804,0.998369,0.999581,0.993770
ligure,0.928323,0.974613,0.969515,0.977997,0.000000,0.975000,0.976881,0.920474,0.978351,0.984837,0.982737,0.989783,0.982041,0.998128,0.999541,0.992404
friulano,0.967520,0.984177,0.964819,0.987992,0.975000,0.000000,0.974242,0.969325,0.989386,0.975124,0.977741,0.990529,0.983405,0.998377,0.999587,0.991876
ladino,0.969170,0.982956,0.964601,0.981404,0.976881,0.974242,0.000000,0.974750,0.981746,0.979395,0.972467,0.988936,0.981461,0.998104,0.999584,0.991230
italiano,0.866135,0.936865,0.955613,0.968918,0.920474,0.969325,0.974750,0.000000,0.970639,0.984329,0.978736,0.990000,0.983924,0.998130,0.999552,0.992210
spagnolo,0.964615,0.989155,0.979643,0.967931,0.978351,0.989386,0.981746,0.970639,0.000000,0.982962,0.933412,0.992839,0.987887,0.998500,0.999603,0.994045
francese,0.984754,0.991370,0.981291,0.987439,0.984837,0.975124,0.979395,0.984329,0.982962,0.000000,0.964096,0.986936,0.968206,0.998280,0.999599,0.993958
catalano,0.972691,0.985212,0.964320,0.975530,0.982737,0.977741,0.972467,0.978736,0.933412,0.964096,0.000000,0.989629,0.978772,0.998332,0.999520,0.992787
tedesco,0.990865,0.992404,0.989290,0.991324,0.989783,0.990529,0.988936,0.990000,0.992839,0.986936,0.989629,0.000000,0.976331,0.998267,0.999586,0.992348
inglese,0.984480,0.988529,0.980133,0.986804,0.982041,0.983405,0.981461,0.983924,0.987887,0.968206,0.978772,0.976331,0.000000,0.997062,0.999410,0.991995
greco,0.998161,0.998278,0.998104,0.998369,0.998128,0.998377,0.998104,0.998130,0.998500,0.998280,0.998332,0.998267,0.997062,0.000000,0.999712,0.998652
arabo,0.999511,0.999551,0.999529,0.999581,0.999541,0.999587,0.999584,0.999552,0.999603,0.999599,0.999520,0.999586,0.999410,0.999712,0.000000,0.999589
sloveno,0.989465,0.992510,0.991841,0.993770,0.992404,0.991876,0.991230,0.992210,0.994045,0.993958,0.992787,0.992348,0.991995,0.998652,0.999589,0.000000
