code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
veneto,italiano,0.8661371133734455,ligure,0.9283221485034377,lombardo,0.9391000803334029
siciliano,italiano,0.9368648208551512,veneto,0.9620495177715905,sardo,0.9696513148152838
lombardo,veneto,0.9391000803334029,italiano,0.9556134357160713,catalano,0.9643214402657376
sardo,spagnolo,0.9679309257815849,italiano,0.9689185965302062,siciliano,0.9696513148152838
ligure,italiano,0.9204679125085256,veneto,0.9283221485034377,lombardo,0.9695138634363678
friulano,lombardo,0.9648187793459696,veneto,0.9675201251512129,italiano,0.9693228663306487
ladino,lombardo,0.9646024308577221,veneto,0.969172332039106,catalano,0.9724683385588988
italiano,veneto,0.8661371133734455,ligure,0.9204679125085256,siciliano,0.9368648208551512
spagnolo,catalano,0.9334108143590438,veneto,0.964615280273313,sardo,0.9679309257815849
francese,catalano,0.964096274304957,inglese,0.968204523585569,friulano,0.9751232302527041
catalano,spagnolo,0.9334108143590438,francese,0.964096274304957,lombardo,0.9643214402657376
tedesco,inglese,0.976329368210654,francese,0.9869351246004974,ladino,0.9889355573437006
inglese,francese,0.968204523585569,tedesco,0.976329368210654,catalano,0.9787713324155156
greco,inglese,0.9970620201840565,lombardo,0.9981040290205153,ladino,0.9981040734525308
arabo,inglese,0.9994095758481077,veneto,0.9995111589319249,catalano,0.9995203803453507
sloveno,veneto,0.9894646239525642,ladino,0.9912301835508797,lombardo,0.9918403204680163
