,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,0.000000,0.733823,0.688800,0.748702,0.720862,0.738742,0.775677,0.543453,0.748146,0.817947,0.764018,0.880104,0.801592,0.989350,0.997885,0.880912
siciliano,0.733823,0.000000,0.725321,0.692927,0.761367,0.807192,0.827386,0.633905,0.842932,0.847554,0.802693,0.902214,0.837959,0.991211,0.998281,0.903751
lombardo,0.688800,0.725321,0.000000,0.750261,0.782332,0.760727,0.774620,0.706661,0.809626,0.822613,0.769424,0.884222,0.822091,0.990928,0.998212,0.904038
sardo,0.748702,0.692927,0.750261,0.000000,0.787206,0.798691,0.802814,0.716709,0.748654,0.840728,0.740810,0.877892,0.819038,0.990197,0.998091,0.898698
ligure,0.720862,0.761367,0.782332,0.787206,0.000000,0.778112,0.801425,0.623876,0.811054,0.820805,0.798532,0.882602,0.810785,0.990241,0.998177,0.907271
friulano,0.738742,0.807192,0.760727,0.798691,0.778112,0.000000,0.765857,0.704028,0.808977,0.818832,0.784424,0.878302,0.801162,0.990008,0.997956,0.893009
ladino,0.775677,0.827386,0.774620,0.802814,0.801425,0.765857,0.000000,0.730646,0.801171,0.815903,0.781278,0.868608,0.806110,0.990036,0.997942,0.893167
italiano,0.543453,0.633905,0.706661,0.716709,0.623876,0.704028,0.730646,0.000000,0.717817,0.769594,0.724496,0.850776,0.744434,0.988092,0.997541,0.860487
spagnolo,0.748146,0.842932,0.809626,0.748654,0.811054,0.808977,0.801171,0.717817,0.000000,0.806298,0.644224,0.879232,0.783679,0.989591,0.998147,0.880898
francese,0.817947,0.847554,0.822613,0.840728,0.820805,0.818832,0.815903,0.769594,0.806298,0.000000,0.743546,0.858860,0.736517,0.989965,0.998191,0.917241
catalano,0.764018,0.802693,0.769424,0.740810,0.798532,0.784424,0.781278,0.724496,0.644224,0.743546,0.000000,0.867983,0.750279,0.989760,0.997832,0.889971
tedesco,0.880104,0.902214,0.884222,0.877892,0.882602,0.878302,0.868608,0.850776,0.879232,0.858860,0.867983,0.000000,0.797495,0.991752,0.998429,0.896079
inglese,0.801592,0.837959,0.822091,0.819038,0.810785,0.801162,0.806110,0.744434,0.783679,0.736517,0.750279,0.797495,0.000000,0.986351,0.997411,0.885377
greco,0.989350,0.991211,0.990928,0.990197,0.990241,0.990008,0.990036,0.988092,0.989591,0.989965,0.989760,0.991752,0.986351,0.000000,0.999442,0.993281
arabo,0.997885,0.998281,0.998212,0.998091,0.998177,0.997956,0.997942,0.997541,0.998147,0.998191,0.997832,0.998429,0.997411,0.999442,0.000000,0.998555
sloveno,0.880912,0.903751,0.904038,0.898698,0.907271,0.893009,0.893167,0.860487,0.880898,0.917241,0.889971,0.896079,0.885377,0.993281,0.998555,0.000000
