Silhouette report (TF-IDF (char))
============================================================
  n_varieties           = 16
  linkage_method        = average
  silhouette (family)   = -0.0573
  silhouette (romance)  = +0.0970

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  catalano              romance              +0.0423
  sloveno               slavic               +0.0000
  greco                 greek                +0.0000
  arabo                 semitic              +0.0000
  inglese               english              +0.0000
  tedesco               germanic             +0.0000
  italiano              italian              +0.0000
  spagnolo              romance              -0.0103
  francese              romance              -0.0496
  lombardo              italo_romance        -0.0540
  sardo                 italo_romance        -0.0612
  ladino                italo_romance        -0.0766
  friulano              italo_romance        -0.0914
  siciliano             italo_romance        -0.1637
  ligure                italo_romance        -0.1917
  veneto                italo_romance        -0.2600
