# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.010754,family_labels
davies_bouldin,1.255117,family_labels
calinski_harabasz,1.032515,family_labels
cophenetic_correlation,0.950047,hierarchical
adjusted_rand_index,0.406780,hierarchical_cut
normalized_mutual_info,0.760826,hierarchical_cut
v_measure,0.760826,hierarchical_cut
adjusted_rand_index,0.379085,kmeans
normalized_mutual_info,0.816575,kmeans
v_measure,0.816575,kmeans

# Per-variety silhouette scores
variety,family,silhouette
catalano,romance,0.027730
spagnolo,romance,0.012829
italiano,italian,0.000000
sloveno,slavic,0.000000
inglese,english,0.000000
tedesco,germanic,0.000000
greco,greek,0.000000
arabo,semitic,0.000000
ladino,italo_romance,-0.000129
francese,romance,-0.005468
friulano,italo_romance,-0.006458
sardo,italo_romance,-0.009590
lombardo,italo_romance,-0.009645
siciliano,italo_romance,-0.038496
ligure,italo_romance,-0.048168
veneto,italo_romance,-0.094669
