source,target,distance,similarity,target_family,target_display
arabo,inglese,0.999410,0.000590,english,English
arabo,veneto,0.999511,0.000489,italo_romance,Venetian
arabo,catalano,0.999520,0.000480,romance,Catalan
arabo,lombardo,0.999529,0.000471,italo_romance,Lombard
arabo,ligure,0.999541,0.000459,italo_romance,Ligurian
arabo,siciliano,0.999551,0.000449,italo_romance,Sicilian
arabo,italiano,0.999552,0.000448,italian,Italian
arabo,sardo,0.999581,0.000419,italo_romance,Sardinian
arabo,ladino,0.999584,0.000416,italo_romance,Ladin
arabo,tedesco,0.999586,0.000414,germanic,German
arabo,friulano,0.999587,0.000413,italo_romance,Friulian
arabo,sloveno,0.999589,0.000411,slavic,Slovenian
arabo,francese,0.999599,0.000401,romance,French
arabo,spagnolo,0.999603,0.000397,romance,Spanish
arabo,greco,0.999712,0.000288,greek,Greek
catalano,spagnolo,0.933412,0.066588,romance,Spanish
catalano,francese,0.964096,0.035904,romance,French
catalano,lombardo,0.964320,0.035680,italo_romance,Lombard
catalano,ladino,0.972467,0.027533,italo_romance,Ladin
catalano,veneto,0.972691,0.027309,italo_romance,Venetian
catalano,sardo,0.975530,0.024470,italo_romance,Sardinian
catalano,friulano,0.977741,0.022259,italo_romance,Friulian
catalano,italiano,0.978736,0.021264,italian,Italian
catalano,inglese,0.978772,0.021228,english,English
catalano,ligure,0.982737,0.017263,italo_romance,Ligurian
catalano,siciliano,0.985212,0.014788,italo_romance,Sicilian
catalano,tedesco,0.989629,0.010371,germanic,German
catalano,sloveno,0.992787,0.007213,slavic,Slovenian
catalano,greco,0.998332,0.001668,greek,Greek
catalano,arabo,0.999520,0.000480,semitic,Arabic
francese,catalano,0.964096,0.035904,romance,Catalan
francese,inglese,0.968206,0.031794,english,English
francese,friulano,0.975124,0.024876,italo_romance,Friulian
francese,ladino,0.979395,0.020605,italo_romance,Ladin
francese,lombardo,0.981291,0.018709,italo_romance,Lombard
francese,spagnolo,0.982962,0.017038,romance,Spanish
francese,italiano,0.984329,0.015671,italian,Italian
francese,veneto,0.984754,0.015246,italo_romance,Venetian
francese,ligure,0.984837,0.015163,italo_romance,Ligurian
francese,tedesco,0.986936,0.013064,germanic,German
francese,sardo,0.987439,0.012561,italo_romance,Sardinian
francese,siciliano,0.991370,0.008630,italo_romance,Sicilian
francese,sloveno,0.993958,0.006042,slavic,Slovenian
francese,greco,0.998280,0.001720,greek,Greek
francese,arabo,0.999599,0.000401,semitic,Arabic
friulano,lombardo,0.964819,0.035181,italo_romance,Lombard
friulano,veneto,0.967520,0.032480,italo_romance,Venetian
friulano,italiano,0.969325,0.030675,italian,Italian
friulano,ladino,0.974242,0.025758,italo_romance,Ladin
friulano,ligure,0.975000,0.025000,italo_romance,Ligurian
friulano,francese,0.975124,0.024876,romance,French
friulano,catalano,0.977741,0.022259,romance,Catalan
friulano,inglese,0.983405,0.016595,english,English
friulano,siciliano,0.984177,0.015823,italo_romance,Sicilian
friulano,sardo,0.987992,0.012008,italo_romance,Sardinian
friulano,spagnolo,0.989386,0.010614,romance,Spanish
friulano,tedesco,0.990529,0.009471,germanic,German
friulano,sloveno,0.991876,0.008124,slavic,Slovenian
friulano,greco,0.998377,0.001623,greek,Greek
friulano,arabo,0.999587,0.000413,semitic,Arabic
greco,inglese,0.997062,0.002938,english,English
greco,lombardo,0.998104,0.001896,italo_romance,Lombard
greco,ladino,0.998104,0.001896,italo_romance,Ladin
greco,ligure,0.998128,0.001872,italo_romance,Ligurian
greco,italiano,0.998130,0.001870,italian,Italian
greco,veneto,0.998161,0.001839,italo_romance,Venetian
greco,tedesco,0.998267,0.001733,germanic,German
greco,siciliano,0.998278,0.001722,italo_romance,Sicilian
greco,francese,0.998280,0.001720,romance,French
greco,catalano,0.998332,0.001668,romance,Catalan
greco,sardo,0.998369,0.001631,italo_romance,Sardinian
greco,friulano,0.998377,0.001623,italo_romance,Friulian
greco,spagnolo,0.998500,0.001500,romance,Spanish
greco,sloveno,0.998652,0.001348,slavic,Slovenian
greco,arabo,0.999712,0.000288,semitic,Arabic
inglese,francese,0.968206,0.031794,romance,French
inglese,tedesco,0.976331,0.023669,germanic,German
inglese,catalano,0.978772,0.021228,romance,Catalan
inglese,lombardo,0.980133,0.019867,italo_romance,Lombard
inglese,ladino,0.981461,0.018539,italo_romance,Ladin
inglese,ligure,0.982041,0.017959,italo_romance,Ligurian
inglese,friulano,0.983405,0.016595,italo_romance,Friulian
inglese,italiano,0.983924,0.016076,italian,Italian
