code,rank,feature,weight
veneto,1,ła ,0.025051608832413478
veneto,2,łe ,0.024203665937634768
veneto,3, ła,0.02401624167106372
veneto,4, ła ,0.02401624167106372
veneto,5, łe,0.021923136596126155
veneto,6, łe ,0.021916838145371178
veneto,7, xe ,0.021398263065814473
veneto,8,ałe,0.02098808687083649
veneto,9,ałi,0.020757332921443866
veneto,10,oło,0.020311413344366123
veneto,11,łi ,0.02018061053647063
veneto,12, dea ,0.020078692400524272
veneto,13,oła,0.020008805415389172
veneto,14,ałe ,0.019851658704517987
veneto,15,ełe,0.01973792137923808
veneto,16,coł,0.019725018195922893
veneto,17,ała,0.019524622470805893
veneto,18,poł,0.019496880476949186
veneto,19,ło ,0.019310136206495365
veneto,20,deł,0.019047304626750115
veneto,21, deł,0.019014840508793478
veneto,22,soł,0.018965487438892814
veneto,23,eła,0.018881416052706275
veneto,24,ołi,0.018881416052706275
veneto,25,ała ,0.018812450443878737
veneto,26, poł,0.018705988543361075
veneto,27,ałi ,0.018595677798866537
veneto,28,oło ,0.018481229449163205
veneto,29,iłi,0.01836232096553819
veneto,30, ał,0.018087597313512345
siciliano,1,zzio,0.0188553690164118
siciliano,2,zzion,0.018837895031319725
siciliano,3, cch,0.018421031634419306
siciliano,4, cchi,0.01837270931777308
siciliano,5,hiù,0.01837270931777308
siciliano,6,chiù,0.018337645240524156
siciliano,7,cchiù,0.018266092259632813
siciliano,8,hiù ,0.018251546623424722
siciliano,9,chiù ,0.018244243724642388
siciliano,10,unnu ,0.0181550004718765
siciliano,11, nt,0.018122470843849648
siciliano,12,azzio,0.017850746471116126
siciliano,13, ntâ ,0.017702424041623657
siciliano,14, ntâ,0.017702424041623657
siciliano,15, ntô,0.01764802557010739
siciliano,16, ntô ,0.01764802557010739
siciliano,17,sunnu,0.017564272742668877
siciliano,18,comu ,0.01704352175189474
siciliano,19, pi ,0.01649036202686719
siciliano,20,àu ,0.016467142562581985
siciliano,21,iḍḍ,0.01642386150377807
siciliano,22,gghia,0.01632003254397848
siciliano,23, nn,0.016289603483327496
siciliano,24,gghi,0.016214521486243184
siciliano,25,iggh,0.016211964513409578
siciliano,26,igghi,0.016211964513409578
siciliano,27,nnu ,0.01613662026255302
siciliano,28,ḍḍi,0.01611568848064428
siciliano,29,unnu,0.01597591278037758
siciliano,30, dû,0.015932587364639594
lombardo,1,‘l ,0.02041341831441097
lombardo,2, ‘l,0.020411163135754844
lombardo,3, ‘l ,0.020404385573941704
lombardo,4,qe ,0.018928295037990022
lombardo,5, qe ,0.018833575719276865
lombardo,6, g’,0.018722072933813456
lombardo,7,g’h,0.018492844498276324
lombardo,8, g’h,0.018483231202257904
lombardo,9,ùn ,0.018230267921456548
lombardo,10,g’ha,0.018198149004683698
lombardo,11, g’ha,0.018187351902396055
lombardo,12, ol ,0.01814369909175735
lombardo,13,iùn ,0.017925454318085926
lombardo,14,’ha ,0.017789975053615785
lombardo,15, ün,0.017719428658669416
lombardo,16,ziùn,0.01770638907230743
lombardo,17,g’ha ,0.017488113465716756
lombardo,18,ziùn ,0.01712095957011492
lombardo,19, ind ,0.016842980513148455
lombardo,20, qe,0.01682902070167843
lombardo,21, üna,0.016730369618943666
lombardo,22, üna ,0.016720756322925245
lombardo,23,aziù,0.016662300558413213
lombardo,24,aziùn,0.016642512802765876
lombardo,25,ienn ,0.016551511345483473
lombardo,26,ént ,0.016467793042123886
lombardo,27, püss,0.0163479856506456
lombardo,28,püs,0.0163479856506456
lombardo,29,püss,0.0163479856506456
lombardo,30, püs,0.0163479856506456
sardo,1, sos ,0.022988893925545744
sardo,2, sas ,0.02177916525961302
sardo,3,tzio,0.02145227946813694
sardo,4,tzion,0.021280267397011856
sardo,5,tzi,0.02090151684716554
sardo,6,prus ,0.020307022335782476
sardo,7,atzio,0.019941532983262376
sardo,8,tzia,0.019818377877110264
sardo,9,sunt ,0.01970510859941177
sardo,10,ntzi,0.019447284573336353
sardo,11, tz,0.018423439981509394
sardo,12,ntzia,0.018411337054397705
sardo,13,ntz,0.018381219285669808
sardo,14,sos ,0.01817354423547607
sardo,15,intz,0.018157815811958047
sardo,16,tadu ,0.018157815811958047
sardo,17,èsser,0.018104288697947477
sardo,18, unu ,0.017908062427628515
sardo,19,itzi,0.017864869026501484
sardo,20, prus,0.01779637020163738
sardo,21, dae ,0.017749188732859113
sardo,22,etzi,0.017714027742835446
sardo,23,atzi,0.017607621722999504
sardo,24,totu,0.01758732977102879
sardo,25,ntza,0.01731567335572934
sardo,26,tzia ,0.017261724078487296
sardo,27,aiat ,0.017261724078487296
sardo,28, sunt,0.017180705694023163
sardo,29, totu,0.017169475410128685
sardo,30,totu ,0.017074140936029325
ligure,1,çio,0.02074857694850625
ligure,2,açi,0.019876319291720422
ligure,3,çion,0.019704723411474598
ligure,4,açio,0.019391984390008526
ligure,5,-o ,0.0192559744556583
ligure,6,ciù ,0.019214977549872895
ligure,7, ciù ,0.01916133461198037
ligure,8,tæ ,0.01889584579158844
ligure,9,çion ,0.01882176735980854
ligure,10,stæ,0.018548970022970616
ligure,11,açion,0.01850325776256398
ligure,12, stæ,0.018472346721634312
ligure,13,a-o,0.01840147365299329
ligure,14,a-o ,0.01840147365299329
ligure,15,stæt,0.018328687738671107
ligure,16,tæt,0.018328687738671107
ligure,17, stæt,0.01832047781209547
ligure,18,-a ,0.018236973965365284
ligure,19,ioin,0.017835334024959636
ligure,20, l'é ,0.017795672151380906
ligure,21,l'é ,0.017795672151380906
ligure,22,itæ,0.017795672151380906
ligure,23, da-,0.01776553822003662
ligure,24, ò ,0.017566448958309274
ligure,25,içi,0.01751151918177729
ligure,26,ioin ,0.017478016157181107
ligure,27,æto,0.01736323463065972
ligure,28,a-a,0.017327825472601945
ligure,29,a-a ,0.017327825472601945
ligure,30,æto ,0.017315918350402117
friulano,1,tât ,0.020874503174423513
friulano,2,plui ,0.020599670768786396
friulano,3,cja,0.020481993017414893
friulano,4,ncj,0.02029599305256726
friulano,5, cj,0.020165005720602033
friulano,6,cje,0.02011242198782259
