# Global clustering metrics
metric,value,clusterer
silhouette_global,0.003494,family_labels
davies_bouldin,1.197760,family_labels
calinski_harabasz,1.699519,family_labels
cophenetic_correlation,0.937901,hierarchical
adjusted_rand_index,0.630807,hierarchical_cut
normalized_mutual_info,0.836804,hierarchical_cut
v_measure,0.836804,hierarchical_cut
adjusted_rand_index,0.606625,kmeans
normalized_mutual_info,0.836658,kmeans
v_measure,0.836658,kmeans

# Per-variety silhouette scores
variety,family,silhouette
slv,slavic,0.374270
hrv,slavic,0.366343
oci,romance,0.071859
glg,romance,0.053823
cat,romance,0.043054
por,romance,0.010397
spa,romance,0.005920
sqi,albanian,0.000000
eng,english,0.000000
deu,germanic,0.000000
hun,uralic,0.000000
ita,italian,0.000000
ron,romance,-0.044182
fra,romance,-0.049140
lij,italo_romance,-0.064307
fur,italo_romance,-0.095922
sc,italo_romance,-0.125668
lmo,italo_romance,-0.141486
scn,italo_romance,-0.146483
vec,italo_romance,-0.188593
