,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,ron,oci,glg,deu,eng,slv,hrv,sqi,hun
fur,0.000000,0.574070,0.509461,0.533680,0.576308,0.517087,0.490120,0.560244,0.580244,0.551732,0.567888,0.596534,0.549471,0.581507,0.735140,0.615566,0.726675,0.723034,0.693597,0.773594
lij,0.574070,0.000000,0.469496,0.516487,0.510606,0.456495,0.472928,0.566916,0.590223,0.576437,0.556871,0.601033,0.568023,0.559179,0.744720,0.631712,0.740459,0.731654,0.724370,0.772614
lmo,0.509461,0.469496,0.000000,0.483506,0.492234,0.438585,0.410933,0.510770,0.536870,0.510669,0.513741,0.547655,0.510752,0.528968,0.678628,0.566136,0.683350,0.678489,0.671910,0.725553
sc,0.533680,0.516487,0.483506,0.000000,0.478444,0.490500,0.437624,0.486350,0.546737,0.504104,0.496069,0.556246,0.514630,0.507709,0.699084,0.563438,0.707745,0.695027,0.685035,0.741409
scn,0.576308,0.510606,0.492234,0.478444,0.000000,0.549116,0.444974,0.570211,0.595699,0.578520,0.580342,0.590335,0.586639,0.593132,0.735575,0.606226,0.733060,0.716350,0.715942,0.768995
vec,0.517087,0.456495,0.438585,0.490500,0.549116,0.000000,0.397879,0.479087,0.539054,0.503837,0.489878,0.539192,0.520249,0.479180,0.690228,0.550644,0.675070,0.666461,0.657888,0.720165
ita,0.490120,0.472928,0.410933,0.437624,0.444974,0.397879,0.000000,0.411623,0.445149,0.434121,0.426568,0.489257,0.465298,0.447701,0.625561,0.445959,0.644697,0.636631,0.628516,0.684647
spa,0.560244,0.566916,0.510770,0.486350,0.570211,0.479087,0.411623,0.000000,0.456946,0.373614,0.361815,0.500419,0.433031,0.329290,0.648346,0.456572,0.654482,0.644679,0.634008,0.695702
fra,0.580244,0.590223,0.536870,0.546737,0.595699,0.539054,0.445149,0.456946,0.000000,0.437220,0.467860,0.514262,0.375607,0.483149,0.625552,0.433441,0.677642,0.674971,0.648959,0.707496
cat,0.551732,0.576437,0.510669,0.504104,0.578520,0.503837,0.434121,0.373614,0.437220,0.000000,0.406869,0.501996,0.371094,0.401785,0.639029,0.460932,0.660452,0.656803,0.634519,0.695599
por,0.567888,0.556871,0.513741,0.496069,0.580342,0.489878,0.426568,0.361815,0.467860,0.406869,0.000000,0.510462,0.435303,0.350487,0.651694,0.464253,0.668163,0.654267,0.647926,0.704985
ron,0.596534,0.601033,0.547655,0.556246,0.590335,0.539192,0.489257,0.500419,0.514262,0.501996,0.510462,0.000000,0.521657,0.522436,0.664658,0.524016,0.644258,0.633673,0.648567,0.695195
oci,0.549471,0.568023,0.510752,0.514630,0.586639,0.520249,0.465298,0.433031,0.375607,0.371094,0.435303,0.521657,0.000000,0.454477,0.663354,0.508298,0.683992,0.682912,0.659518,0.715805
glg,0.581507,0.559179,0.528968,0.507709,0.593132,0.479180,0.447701,0.329290,0.483149,0.401785,0.350487,0.522436,0.454477,0.000000,0.666880,0.488521,0.676733,0.667577,0.656253,0.714227
deu,0.735140,0.744720,0.678628,0.699084,0.735575,0.690228,0.625561,0.648346,0.625552,0.639029,0.651694,0.664658,0.663354,0.666880,0.000000,0.604682,0.734188,0.740872,0.720412,0.733745
eng,0.615566,0.631712,0.566136,0.563438,0.606226,0.550644,0.445959,0.456572,0.433441,0.460932,0.464253,0.524016,0.508298,0.488521,0.604682,0.000000,0.673056,0.664000,0.635386,0.698741
slv,0.726675,0.740459,0.683350,0.707745,0.733060,0.675070,0.644697,0.654482,0.677642,0.660452,0.668163,0.644258,0.683992,0.676733,0.734188,0.673056,0.000000,0.403406,0.677011,0.711271
hrv,0.723034,0.731654,0.678489,0.695027,0.716350,0.666461,0.636631,0.644679,0.674971,0.656803,0.654267,0.633673,0.682912,0.667577,0.740872,0.664000,0.403406,0.000000,0.666186,0.719252
sqi,0.693597,0.724370,0.671910,0.685035,0.715942,0.657888,0.628516,0.634008,0.648959,0.634519,0.647926,0.648567,0.659518,0.656253,0.720412,0.635386,0.677011,0.666186,0.000000,0.724433
hun,0.773594,0.772614,0.725553,0.741409,0.768995,0.720165,0.684647,0.695702,0.707496,0.695599,0.704985,0.695195,0.715805,0.714227,0.733745,0.698741,0.711271,0.719252,0.724433,0.000000
