code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,ita,0.4901198148727417,lmo,0.5094605684280396,vec,0.5170870423316956
lij,vec,0.4564945101737976,lmo,0.4694964289665222,ita,0.4729284644126892
lmo,ita,0.41093331575393677,vec,0.4385848045349121,lij,0.4694964289665222
sc,ita,0.4376237988471985,scn,0.47844433784484863,lmo,0.4835062026977539
scn,ita,0.44497400522232056,sc,0.47844433784484863,lmo,0.4922340512275696
vec,ita,0.39787858724594116,lmo,0.4385848045349121,lij,0.4564945101737976
ita,vec,0.39787858724594116,lmo,0.41093331575393677,spa,0.4116230607032776
spa,glg,0.32929033041000366,por,0.36181503534317017,cat,0.3736141324043274
fra,oci,0.3756072521209717,eng,0.43344050645828247,cat,0.43722015619277954
cat,oci,0.37109363079071045,spa,0.3736141324043274,glg,0.4017847180366516
por,glg,0.35048651695251465,spa,0.36181503534317017,cat,0.40686923265457153
ron,ita,0.4892566204071045,spa,0.5004189610481262,cat,0.5019963383674622
oci,cat,0.37109363079071045,fra,0.3756072521209717,spa,0.43303149938583374
glg,spa,0.32929033041000366,por,0.35048651695251465,cat,0.4017847180366516
deu,eng,0.6046820878982544,fra,0.6255517601966858,ita,0.6255607604980469
eng,fra,0.43344050645828247,ita,0.44595879316329956,spa,0.45657211542129517
slv,hrv,0.40340596437454224,ron,0.6442584991455078,ita,0.644696831703186
hrv,slv,0.40340596437454224,ron,0.6336733102798462,ita,0.636631190776825
sqi,ita,0.6285160779953003,spa,0.6340084075927734,cat,0.6345187425613403
hun,ita,0.6846466064453125,ron,0.6951948404312134,cat,0.695598840713501
