,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,ron,oci,glg,deu,eng,slv,hrv,sqi,hun
fur,1.000000,0.425930,0.490539,0.466320,0.423692,0.482913,0.509880,0.439756,0.419756,0.448268,0.432112,0.403466,0.450529,0.418493,0.264860,0.384434,0.273325,0.276966,0.306403,0.226406
lij,0.425930,1.000000,0.530504,0.483513,0.489394,0.543505,0.527072,0.433084,0.409777,0.423563,0.443129,0.398967,0.431977,0.440821,0.255280,0.368288,0.259541,0.268346,0.275630,0.227386
lmo,0.490539,0.530504,1.000000,0.516494,0.507766,0.561415,0.589067,0.489230,0.463130,0.489331,0.486259,0.452345,0.489248,0.471032,0.321372,0.433864,0.316650,0.321511,0.328090,0.274447
sc,0.466320,0.483513,0.516494,1.000000,0.521556,0.509500,0.562376,0.513650,0.453263,0.495896,0.503931,0.443754,0.485370,0.492291,0.300916,0.436562,0.292255,0.304973,0.314965,0.258591
scn,0.423692,0.489394,0.507766,0.521556,1.000000,0.450884,0.555026,0.429789,0.404301,0.421480,0.419658,0.409665,0.413361,0.406868,0.264425,0.393774,0.266940,0.283650,0.284058,0.231005
vec,0.482913,0.543505,0.561415,0.509500,0.450884,1.000000,0.602121,0.520913,0.460946,0.496163,0.510122,0.460808,0.479751,0.520820,0.309772,0.449356,0.324930,0.333539,0.342112,0.279835
ita,0.509880,0.527072,0.589067,0.562376,0.555026,0.602121,1.000000,0.588377,0.554851,0.565879,0.573432,0.510743,0.534702,0.552299,0.374439,0.554041,0.355303,0.363369,0.371484,0.315353
spa,0.439756,0.433084,0.489230,0.513650,0.429789,0.520913,0.588377,1.000000,0.543054,0.626386,0.638185,0.499581,0.566969,0.670710,0.351654,0.543428,0.345518,0.355321,0.365992,0.304298
fra,0.419756,0.409777,0.463130,0.453263,0.404301,0.460946,0.554851,0.543054,1.000000,0.562780,0.532140,0.485738,0.624393,0.516851,0.374448,0.566559,0.322358,0.325029,0.351041,0.292504
cat,0.448268,0.423563,0.489331,0.495896,0.421480,0.496163,0.565879,0.626386,0.562780,1.000000,0.593131,0.498004,0.628906,0.598215,0.360971,0.539068,0.339548,0.343197,0.365481,0.304401
por,0.432112,0.443129,0.486259,0.503931,0.419658,0.510122,0.573432,0.638185,0.532140,0.593131,1.000000,0.489538,0.564697,0.649513,0.348306,0.535747,0.331837,0.345733,0.352074,0.295015
ron,0.403466,0.398967,0.452345,0.443754,0.409665,0.460808,0.510743,0.499581,0.485738,0.498004,0.489538,1.000000,0.478343,0.477564,0.335342,0.475984,0.355742,0.366327,0.351433,0.304805
oci,0.450529,0.431977,0.489248,0.485370,0.413361,0.479751,0.534702,0.566969,0.624393,0.628906,0.564697,0.478343,1.000000,0.545523,0.336646,0.491702,0.316008,0.317088,0.340482,0.284195
glg,0.418493,0.440821,0.471032,0.492291,0.406868,0.520820,0.552299,0.670710,0.516851,0.598215,0.649513,0.477564,0.545523,1.000000,0.333120,0.511479,0.323267,0.332423,0.343747,0.285773
deu,0.264860,0.255280,0.321372,0.300916,0.264425,0.309772,0.374439,0.351654,0.374448,0.360971,0.348306,0.335342,0.336646,0.333120,1.000000,0.395318,0.265812,0.259128,0.279588,0.266255
eng,0.384434,0.368288,0.433864,0.436562,0.393774,0.449356,0.554041,0.543428,0.566559,0.539068,0.535747,0.475984,0.491702,0.511479,0.395318,1.000000,0.326944,0.336000,0.364614,0.301259
slv,0.273325,0.259541,0.316650,0.292255,0.266940,0.324930,0.355303,0.345518,0.322358,0.339548,0.331837,0.355742,0.316008,0.323267,0.265812,0.326944,1.000000,0.596594,0.322989,0.288729
hrv,0.276966,0.268346,0.321511,0.304973,0.283650,0.333539,0.363369,0.355321,0.325029,0.343197,0.345733,0.366327,0.317088,0.332423,0.259128,0.336000,0.596594,1.000000,0.333814,0.280748
sqi,0.306403,0.275630,0.328090,0.314965,0.284058,0.342112,0.371484,0.365992,0.351041,0.365481,0.352074,0.351433,0.340482,0.343747,0.279588,0.364614,0.322989,0.333814,1.000000,0.275567
hun,0.226406,0.227386,0.274447,0.258591,0.231005,0.279835,0.315353,0.304298,0.292504,0.304401,0.295015,0.304805,0.284195,0.285773,0.266255,0.301259,0.288729,0.280748,0.275567,1.000000
