,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,ron,oci,glg,deu,eng,slv,hrv,sqi,hun
fur,0.000000,0.979106,0.944033,0.986164,0.984479,0.961388,0.970095,0.988541,0.981133,0.975681,0.990608,0.982979,0.973440,0.989384,0.992896,0.990493,0.992761,0.993790,0.991912,0.994786
lij,0.979106,0.000000,0.946496,0.969503,0.959311,0.918931,0.941287,0.978268,0.985377,0.984368,0.976820,0.984340,0.979393,0.972411,0.993275,0.991110,0.992604,0.993306,0.992231,0.994522
lmo,0.944033,0.946496,0.000000,0.969434,0.967451,0.895602,0.941126,0.968053,0.979060,0.954101,0.978298,0.975155,0.957186,0.976351,0.987119,0.983615,0.989283,0.990477,0.988093,0.990941
sc,0.986164,0.969503,0.969434,0.000000,0.967982,0.966773,0.966606,0.968283,0.985227,0.977145,0.971941,0.981389,0.975348,0.971211,0.991664,0.986405,0.992438,0.992408,0.992023,0.993284
scn,0.984479,0.959311,0.967451,0.967982,0.000000,0.965703,0.940255,0.986860,0.989314,0.986410,0.987062,0.985475,0.987104,0.987474,0.993154,0.987662,0.992371,0.991923,0.992162,0.993599
vec,0.961388,0.918931,0.895602,0.966773,0.965703,0.000000,0.899567,0.953339,0.979533,0.966291,0.968745,0.975734,0.971169,0.965792,0.989410,0.981854,0.988626,0.989340,0.987782,0.991018
ita,0.970095,0.941287,0.941126,0.966606,0.940255,0.899567,0.000000,0.966898,0.979056,0.975009,0.975256,0.977415,0.979253,0.976031,0.986868,0.976451,0.989202,0.989521,0.987584,0.989700
spa,0.988541,0.978268,0.968053,0.968283,0.986860,0.953339,0.966898,0.000000,0.973461,0.918395,0.904871,0.979272,0.934540,0.831892,0.987884,0.976724,0.990161,0.990002,0.988612,0.988685
fra,0.981133,0.985377,0.979060,0.985227,0.989314,0.979533,0.979056,0.973461,0.000000,0.960580,0.979007,0.977915,0.890174,0.976806,0.983396,0.971038,0.990064,0.990795,0.987893,0.989184
cat,0.975681,0.984368,0.954101,0.977145,0.986410,0.966291,0.975009,0.918395,0.960580,0.000000,0.955665,0.974093,0.870521,0.944607,0.986642,0.975269,0.990320,0.990452,0.987241,0.988162
por,0.990608,0.976820,0.978298,0.971941,0.987062,0.968745,0.975256,0.904871,0.979007,0.955665,0.000000,0.982061,0.962531,0.819089,0.987751,0.975752,0.990589,0.989932,0.989183,0.989771
ron,0.982979,0.984340,0.975155,0.981389,0.985475,0.975734,0.977415,0.979272,0.977915,0.974093,0.982061,0.000000,0.972411,0.982423,0.986910,0.977445,0.987951,0.988506,0.986303,0.988754
oci,0.973440,0.979393,0.957186,0.975348,0.987104,0.971169,0.979253,0.934540,0.890174,0.870521,0.962531,0.972411,0.000000,0.950971,0.988945,0.981414,0.990987,0.992105,0.988768,0.990386
glg,0.989384,0.972411,0.976351,0.971211,0.987474,0.965792,0.976031,0.831892,0.976806,0.944607,0.819089,0.982423,0.950971,0.000000,0.988849,0.979594,0.990708,0.990636,0.989591,0.990382
deu,0.992896,0.993275,0.987119,0.991664,0.993154,0.989410,0.986868,0.987884,0.983396,0.986642,0.987751,0.986910,0.988945,0.988849,0.000000,0.976919,0.989808,0.991222,0.988204,0.989405
eng,0.990493,0.991110,0.983615,0.986405,0.987662,0.981854,0.976451,0.976724,0.971038,0.975269,0.975752,0.977445,0.981414,0.979594,0.976919,0.000000,0.986724,0.986642,0.983435,0.985031
slv,0.992761,0.992604,0.989283,0.992438,0.992371,0.988626,0.989202,0.990161,0.990064,0.990320,0.990589,0.987951,0.990987,0.990708,0.989808,0.986724,0.000000,0.912260,0.987557,0.991231
hrv,0.993790,0.993306,0.990477,0.992408,0.991923,0.989340,0.989521,0.990002,0.990795,0.990452,0.989932,0.988506,0.992105,0.990636,0.991222,0.986642,0.912260,0.000000,0.986594,0.990949
sqi,0.991912,0.992231,0.988093,0.992023,0.992162,0.987782,0.987584,0.988612,0.987893,0.987241,0.989183,0.986303,0.988768,0.989591,0.988204,0.983435,0.987557,0.986594,0.000000,0.990773
hun,0.994786,0.994522,0.990941,0.993284,0.993599,0.991018,0.989700,0.988685,0.989184,0.988162,0.989771,0.988754,0.990386,0.990382,0.989405,0.985031,0.991231,0.990949,0.990773,0.000000
