code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,lmo,0.9440327882766724,vec,0.9613879919052124,ita,0.9700952768325806
lij,vec,0.9189309477806091,ita,0.9412868618965149,lmo,0.9464960694313049
lmo,vec,0.8956022262573242,ita,0.941125750541687,fur,0.9440327882766724
sc,ita,0.9666063189506531,vec,0.966772735118866,scn,0.9679819941520691
scn,ita,0.9402547478675842,lij,0.9593110680580139,vec,0.9657027721405029
vec,lmo,0.8956022262573242,ita,0.8995667099952698,lij,0.9189309477806091
ita,vec,0.8995667099952698,scn,0.9402547478675842,lmo,0.941125750541687
spa,glg,0.831891655921936,por,0.9048706293106079,cat,0.9183952808380127
fra,oci,0.8901736736297607,cat,0.960579514503479,eng,0.9710384607315063
cat,oci,0.8705214262008667,spa,0.9183952808380127,glg,0.9446070194244385
por,glg,0.8190888166427612,spa,0.9048706293106079,cat,0.9556645750999451
ron,oci,0.9724112153053284,cat,0.9740927219390869,lmo,0.9751551151275635
oci,cat,0.8705214262008667,fra,0.8901736736297607,spa,0.9345396161079407
glg,por,0.8190888166427612,spa,0.831891655921936,cat,0.9446070194244385
deu,eng,0.9769185185432434,fra,0.9833962321281433,cat,0.9866415858268738
eng,fra,0.9710384607315063,cat,0.9752689599990845,por,0.975751519203186
slv,hrv,0.9122602343559265,eng,0.9867240190505981,sqi,0.9875569939613342
hrv,slv,0.9122602343559265,sqi,0.9865942597389221,eng,0.9866417646408081
sqi,eng,0.9834353923797607,ron,0.9863033294677734,hrv,0.9865942597389221
hun,eng,0.9850305318832397,cat,0.9881622791290283,spa,0.9886848330497742
