,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,ron,oci,glg,deu,eng,slv,hrv,sqi,hun
fur,1.000000,0.020894,0.055967,0.013836,0.015521,0.038612,0.029905,0.011459,0.018867,0.024319,0.009392,0.017021,0.026560,0.010616,0.007104,0.009507,0.007239,0.006210,0.008088,0.005214
lij,0.020894,1.000000,0.053504,0.030497,0.040689,0.081069,0.058713,0.021732,0.014623,0.015632,0.023180,0.015660,0.020607,0.027589,0.006725,0.008890,0.007396,0.006694,0.007769,0.005478
lmo,0.055967,0.053504,1.000000,0.030566,0.032549,0.104398,0.058874,0.031947,0.020940,0.045899,0.021702,0.024845,0.042814,0.023649,0.012881,0.016385,0.010717,0.009523,0.011907,0.009059
sc,0.013836,0.030497,0.030566,1.000000,0.032018,0.033227,0.033394,0.031717,0.014773,0.022855,0.028059,0.018611,0.024652,0.028789,0.008336,0.013595,0.007562,0.007592,0.007977,0.006716
scn,0.015521,0.040689,0.032549,0.032018,1.000000,0.034297,0.059745,0.013140,0.010686,0.013590,0.012938,0.014525,0.012896,0.012526,0.006846,0.012338,0.007629,0.008077,0.007838,0.006401
vec,0.038612,0.081069,0.104398,0.033227,0.034297,1.000000,0.100433,0.046661,0.020467,0.033709,0.031255,0.024266,0.028831,0.034208,0.010590,0.018146,0.011374,0.010660,0.012218,0.008982
ita,0.029905,0.058713,0.058874,0.033394,0.059745,0.100433,1.000000,0.033102,0.020944,0.024991,0.024744,0.022585,0.020747,0.023969,0.013132,0.023549,0.010798,0.010479,0.012416,0.010300
spa,0.011459,0.021732,0.031947,0.031717,0.013140,0.046661,0.033102,1.000000,0.026539,0.081605,0.095129,0.020728,0.065460,0.168108,0.012116,0.023276,0.009839,0.009998,0.011388,0.011315
fra,0.018867,0.014623,0.020940,0.014773,0.010686,0.020467,0.020944,0.026539,1.000000,0.039420,0.020993,0.022085,0.109826,0.023194,0.016604,0.028962,0.009936,0.009205,0.012107,0.010816
cat,0.024319,0.015632,0.045899,0.022855,0.013590,0.033709,0.024991,0.081605,0.039420,1.000000,0.044335,0.025907,0.129479,0.055393,0.013358,0.024731,0.009680,0.009548,0.012759,0.011838
por,0.009392,0.023180,0.021702,0.028059,0.012938,0.031255,0.024744,0.095129,0.020993,0.044335,1.000000,0.017939,0.037469,0.180911,0.012249,0.024248,0.009411,0.010068,0.010817,0.010229
ron,0.017021,0.015660,0.024845,0.018611,0.014525,0.024266,0.022585,0.020728,0.022085,0.025907,0.017939,1.000000,0.027589,0.017577,0.013090,0.022555,0.012049,0.011494,0.013697,0.011246
oci,0.026560,0.020607,0.042814,0.024652,0.012896,0.028831,0.020747,0.065460,0.109826,0.129479,0.037469,0.027589,1.000000,0.049029,0.011055,0.018586,0.009013,0.007895,0.011232,0.009614
glg,0.010616,0.027589,0.023649,0.028789,0.012526,0.034208,0.023969,0.168108,0.023194,0.055393,0.180911,0.017577,0.049029,1.000000,0.011151,0.020406,0.009292,0.009364,0.010409,0.009618
deu,0.007104,0.006725,0.012881,0.008336,0.006846,0.010590,0.013132,0.012116,0.016604,0.013358,0.012249,0.013090,0.011055,0.011151,1.000000,0.023081,0.010192,0.008778,0.011796,0.010595
eng,0.009507,0.008890,0.016385,0.013595,0.012338,0.018146,0.023549,0.023276,0.028962,0.024731,0.024248,0.022555,0.018586,0.020406,0.023081,1.000000,0.013276,0.013358,0.016565,0.014969
slv,0.007239,0.007396,0.010717,0.007562,0.007629,0.011374,0.010798,0.009839,0.009936,0.009680,0.009411,0.012049,0.009013,0.009292,0.010192,0.013276,1.000000,0.087740,0.012443,0.008769
hrv,0.006210,0.006694,0.009523,0.007592,0.008077,0.010660,0.010479,0.009998,0.009205,0.009548,0.010068,0.011494,0.007895,0.009364,0.008778,0.013358,0.087740,1.000000,0.013406,0.009051
sqi,0.008088,0.007769,0.011907,0.007977,0.007838,0.012218,0.012416,0.011388,0.012107,0.012759,0.010817,0.013697,0.011232,0.010409,0.011796,0.016565,0.012443,0.013406,1.000000,0.009227
hun,0.005214,0.005478,0.009059,0.006716,0.006401,0.008982,0.010300,0.011315,0.010816,0.011838,0.010229,0.011246,0.009614,0.009618,0.010595,0.014969,0.008769,0.009051,0.009227,1.000000
