code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
nap,ita,0.5395892450088113,scn,0.574854675898091,vec,0.6360479812774074
scn,nap,0.574854675898091,ita,0.6002813919549617,sc,0.6015799569210245
vec,ita,0.5527375427930656,lmo,0.5966135608072309,sc,0.6289562126522331
lmo,vec,0.5966135608072309,ita,0.61228548920221,nap,0.6451158968770572
sc,scn,0.6015799569210245,ita,0.6166578209217373,vec,0.6289562126522331
ita,nap,0.5395892450088113,vec,0.5527375427930656,en,0.5944024613900063
es,ita,0.6136209474632418,ca,0.6278804437567833,en,0.651978813013508
fr,en,0.6462654856021467,ita,0.6511789280123705,es,0.7066635369140822
ca,es,0.6278804437567833,ita,0.6772883814921146,sc,0.6801828613430712
de,en,0.7051752658350209,ita,0.7273211832586982,fr,0.7576862123962429
el,en,0.9804763987002709,ita,0.9808904180576259,sc,0.9838196974692156
ar,en,0.9895772347188335,ita,0.9912071079047742,es,0.99234385748912
sl,ita,0.7765374185865884,en,0.8071162501552516,es,0.8139535917109908
en,ita,0.5944024613900063,fr,0.6462654856021467,es,0.651978813013508
