code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
nap,ita,0.9218090407275492,scn,0.9462428065560515,vec,0.9475955340707873
scn,ita,0.9462289990918962,nap,0.9462428065560515,sc,0.9638681359642725
vec,ita,0.9112512619865938,lmo,0.9146956639366264,nap,0.9475955340707873
lmo,vec,0.9146956639366264,ita,0.9505693570280609,ca,0.9603589319112922
sc,ita,0.9636216310939513,vec,0.9637417499797121,scn,0.9638681359642725
ita,vec,0.9112512619865938,nap,0.9218090407275492,scn,0.9462289990918962
es,ca,0.9444666539062401,vec,0.957799880263745,ita,0.9659345902778236
fr,en,0.9621744145252181,ca,0.9729029223781754,ita,0.9750128852277032
ca,es,0.9444666539062401,lmo,0.9603589319112922,vec,0.9716147374410363
de,en,0.9681145448390689,fr,0.9782179384383932,ita,0.9823178902435009
el,en,0.9973967656191677,de,0.9982062921443507,fr,0.9984310018368945
ar,en,0.9983320523788229,fr,0.9993887312505362,de,0.9993957039756204
sl,en,0.9870095650271568,de,0.9887657862930422,vec,0.9892641672018054
en,fr,0.9621744145252181,ita,0.9657548981081877,de,0.9681145448390689
