source,target,distance,similarity,target_family,target_display
cat,lmo,0.103265,0.896735,italo_romance,Lombard
cat,spa,0.140830,0.859170,romance,Spanish
cat,lij,0.207985,0.792015,italo_romance,Ligurian
cat,fur,0.223345,0.776655,italo_romance,Friulian
cat,vec,0.227691,0.772309,italo_romance,Venetian
cat,fra,0.232976,0.767024,romance,French
cat,sc,0.279897,0.720103,italo_romance,Sardinian
cat,scn,0.335736,0.664264,italo_romance,Sicilian
cat,ita,0.339133,0.660867,italian,Italian
cat,eng,0.431453,0.568547,english,English
cat,slv,0.533822,0.466178,slavic,Slovenian
cat,deu,0.545130,0.454870,germanic,German
deu,lij,0.406900,0.593100,italo_romance,Ligurian
deu,eng,0.416351,0.583649,english,English
deu,lmo,0.423877,0.576123,italo_romance,Lombard
deu,vec,0.434581,0.565419,italo_romance,Venetian
deu,fur,0.435827,0.564173,italo_romance,Friulian
deu,sc,0.436495,0.563505,italo_romance,Sardinian
deu,fra,0.448380,0.551620,romance,French
deu,scn,0.472980,0.527020,italo_romance,Sicilian
deu,ita,0.482554,0.517446,italian,Italian
deu,spa,0.500039,0.499961,romance,Spanish
deu,cat,0.545130,0.454870,romance,Catalan
deu,slv,0.550166,0.449834,slavic,Slovenian
eng,lij,0.321241,0.678759,italo_romance,Ligurian
eng,fur,0.323158,0.676842,italo_romance,Friulian
eng,lmo,0.331155,0.668845,italo_romance,Lombard
eng,fra,0.342115,0.657885,romance,French
eng,sc,0.356277,0.643723,italo_romance,Sardinian
eng,vec,0.356752,0.643248,italo_romance,Venetian
eng,ita,0.385689,0.614311,italian,Italian
eng,spa,0.399344,0.600656,romance,Spanish
eng,scn,0.399389,0.600611,italo_romance,Sicilian
eng,deu,0.416351,0.583649,germanic,German
eng,cat,0.431453,0.568547,romance,Catalan
eng,slv,0.494288,0.505712,slavic,Slovenian
fra,lmo,0.201784,0.798216,italo_romance,Lombard
fra,fur,0.215303,0.784697,italo_romance,Friulian
fra,cat,0.232976,0.767024,romance,Catalan
fra,lij,0.244338,0.755662,italo_romance,Ligurian
fra,spa,0.266923,0.733077,romance,Spanish
fra,vec,0.268693,0.731307,italo_romance,Venetian
fra,sc,0.280589,0.719411,italo_romance,Sardinian
fra,ita,0.330187,0.669813,italian,Italian
fra,eng,0.342115,0.657885,english,English
fra,scn,0.350614,0.649386,italo_romance,Sicilian
fra,deu,0.448380,0.551620,germanic,German
fra,slv,0.475045,0.524955,slavic,Slovenian
fur,lmo,0.111442,0.888558,italo_romance,Lombard
fur,vec,0.141131,0.858869,italo_romance,Venetian
fur,lij,0.163880,0.836120,italo_romance,Ligurian
fur,ita,0.175916,0.824084,italian,Italian
fur,fra,0.215303,0.784697,romance,French
fur,cat,0.223345,0.776655,romance,Catalan
fur,sc,0.243731,0.756269,italo_romance,Sardinian
fur,spa,0.246701,0.753299,romance,Spanish
fur,scn,0.258145,0.741855,italo_romance,Sicilian
fur,eng,0.323158,0.676842,english,English
