variety_A,variety_B,mean_similarity,family_A,family_B
lij,vec,0.868440,italo_romance,italo_romance
vec,ita,0.858560,italo_romance,italian
lmo,cat,0.847417,italo_romance,romance
lmo,vec,0.845631,italo_romance,italo_romance
lij,ita,0.836019,italo_romance,italian
spa,cat,0.832699,romance,romance
fur,lmo,0.832419,italo_romance,italo_romance
lij,lmo,0.831562,italo_romance,italo_romance
fur,vec,0.803869,italo_romance,italo_romance
lmo,spa,0.794381,italo_romance,romance
fur,lij,0.786487,italo_romance,italo_romance
scn,ita,0.783550,italo_romance,italian
fur,ita,0.777857,italo_romance,italian
lmo,ita,0.774548,italo_romance,italian
scn,vec,0.770240,italo_romance,italo_romance
lij,spa,0.767501,italo_romance,romance
lij,scn,0.765929,italo_romance,italo_romance
lij,cat,0.754824,italo_romance,romance
sc,spa,0.753060,italo_romance,romance
vec,spa,0.752090,italo_romance,romance
lmo,fra,0.748968,italo_romance,romance
lij,sc,0.748460,italo_romance,italo_romance
fur,cat,0.745749,italo_romance,romance
fur,fra,0.745675,italo_romance,romance
fra,cat,0.744225,romance,romance
sc,vec,0.736107,italo_romance,italo_romance
vec,cat,0.735059,italo_romance,romance
lmo,scn,0.733337,italo_romance,italo_romance
lmo,sc,0.733219,italo_romance,italo_romance
sc,ita,0.719258,italo_romance,italian
fur,sc,0.715722,italo_romance,italo_romance
fur,spa,0.715348,italo_romance,romance
lij,fra,0.714418,italo_romance,romance
sc,scn,0.705974,italo_romance,italo_romance
spa,fra,0.704630,romance,romance
fur,scn,0.700141,italo_romance,italo_romance
sc,cat,0.696910,italo_romance,romance
vec,fra,0.688230,italo_romance,romance
sc,fra,0.686696,italo_romance,romance
ita,spa,0.677702,italian,romance
fur,eng,0.644261,italo_romance,english
scn,spa,0.644004,italo_romance,romance
lij,eng,0.642977,italo_romance,english
ita,cat,0.641064,italian,romance
ita,fra,0.639078,italian,romance
scn,cat,0.639016,italo_romance,romance
fra,eng,0.638890,romance,english
lmo,eng,0.631438,italo_romance,english
scn,fra,0.616980,italo_romance,romance
sc,eng,0.616042,italo_romance,english
vec,eng,0.608333,italo_romance,english
ita,eng,0.587089,italian,english
lij,slv,0.584325,italo_romance,slavic
vec,slv,0.581701,italo_romance,slavic
spa,eng,0.580639,romance,english
scn,eng,0.572124,italo_romance,english
deu,eng,0.562733,germanic,english
cat,eng,0.556566,romance,english
lij,deu,0.556474,italo_romance,germanic
fur,slv,0.544681,italo_romance,slavic
lmo,deu,0.539814,italo_romance,germanic
lmo,slv,0.536585,italo_romance,slavic
sc,deu,0.533275,italo_romance,germanic
fur,deu,0.532713,italo_romance,germanic
vec,deu,0.528125,italo_romance,germanic
fra,deu,0.528045,romance,germanic
sc,slv,0.522204,italo_romance,slavic
scn,slv,0.519915,italo_romance,slavic
fra,slv,0.498708,romance,slavic
scn,deu,0.496181,italo_romance,germanic
ita,slv,0.494296,italian,slavic
spa,slv,0.493035,romance,slavic
ita,deu,0.490691,italian,germanic
slv,eng,0.482978,slavic,english
spa,deu,0.477967,romance,germanic
cat,slv,0.447166,romance,slavic
cat,deu,0.440458,romance,germanic
deu,slv,0.427957,germanic,slavic
