dialect,reference,ref_family,mean_similarity
fur,ita,italian,0.779355
fur,cat,romance,0.746406
fur,fra,romance,0.744128
fur,spa,romance,0.715045
fur,eng,english,0.651757
fur,slv,slavic,0.549690
fur,deu,germanic,0.536041
lij,ita,italian,0.840389
lij,spa,romance,0.770837
lij,cat,romance,0.754726
lij,fra,romance,0.718654
lij,eng,english,0.638705
lij,slv,slavic,0.584771
lij,deu,germanic,0.554953
lmo,cat,romance,0.848976
lmo,spa,romance,0.799998
lmo,ita,italian,0.789599
lmo,fra,romance,0.746259
lmo,eng,english,0.625464
lmo,deu,germanic,0.530834
lmo,slv,slavic,0.529306
sc,spa,romance,0.766448
sc,ita,italian,0.730362
sc,cat,romance,0.703915
sc,fra,romance,0.696517
sc,eng,english,0.619806
sc,deu,germanic,0.530305
sc,slv,slavic,0.524709
scn,ita,italian,0.795957
scn,spa,romance,0.651330
scn,cat,romance,0.641647
scn,fra,romance,0.624168
scn,eng,english,0.572374
scn,slv,slavic,0.527464
scn,deu,germanic,0.499053
vec,ita,italian,0.869861
vec,spa,romance,0.758552
vec,cat,romance,0.740296
vec,fra,romance,0.694766
vec,eng,english,0.611151
vec,slv,slavic,0.577980
vec,deu,germanic,0.528878
