# Global clustering metrics
metric,value,clusterer
silhouette_global,0.070699,family_labels
davies_bouldin,0.964728,family_labels
calinski_harabasz,2.471170,family_labels
cophenetic_correlation,0.907131,hierarchical
adjusted_rand_index,0.653846,hierarchical_cut
normalized_mutual_info,0.889922,hierarchical_cut
v_measure,0.889922,hierarchical_cut
adjusted_rand_index,0.548309,kmeans
normalized_mutual_info,0.848585,kmeans
v_measure,0.848585,kmeans

# Per-variety silhouette scores
variety,family,silhouette
hrv,slavic,0.521631
slv,slavic,0.510938
spa,iberian_rom,0.287527
por,iberian_rom,0.275583
lmo,north_dialects,0.256221
fur,north_dialects,0.137305
fra,gallo_romance,0.122620
lij,north_dialects,0.027042
eng,english,0.000000
deu,germanic,0.000000
hun,uralic,0.000000
ita,tuscan,0.000000
cat,iberian_rom,-0.105716
sc,south_dialects,-0.110197
vec,north_dialects,-0.196473
oci,gallo_romance,-0.231463
scn,south_dialects,-0.293127
