,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,0.000000,0.201404,0.158822,0.293410,0.332634,0.205874,0.219893,0.304645,0.275878,0.272951,0.391306,0.278165,0.465941,0.361295,0.448787,0.430881,0.419352
lij,0.201404,0.000000,0.175312,0.280380,0.283967,0.155525,0.186152,0.273021,0.331590,0.306644,0.275168,0.307310,0.424138,0.401479,0.377925,0.388418,0.428649
lmo,0.158822,0.175312,0.000000,0.260567,0.273528,0.132305,0.216289,0.218288,0.262353,0.188074,0.285995,0.182236,0.434493,0.364158,0.383117,0.388281,0.409539
sc,0.293410,0.280380,0.260567,0.000000,0.320334,0.298615,0.296581,0.257416,0.343306,0.293328,0.301957,0.305272,0.455989,0.431879,0.418062,0.424640,0.462867
scn,0.332634,0.283967,0.273528,0.320334,0.000000,0.264015,0.225324,0.388472,0.433867,0.386200,0.424070,0.412713,0.499535,0.455640,0.475713,0.484870,0.503590
vec,0.205874,0.155525,0.132305,0.298615,0.264015,0.000000,0.137701,0.267815,0.351876,0.283713,0.284478,0.317469,0.446338,0.392113,0.364845,0.378836,0.451462
ita,0.219893,0.186152,0.216289,0.296581,0.225324,0.137701,0.000000,0.324017,0.375500,0.343709,0.347878,0.374694,0.478878,0.409828,0.460787,0.480449,0.501256
spa,0.304645,0.273021,0.218288,0.257416,0.388472,0.267815,0.324017,0.000000,0.304990,0.180374,0.161675,0.178580,0.478804,0.404294,0.447031,0.456084,0.450545
fra,0.275878,0.331590,0.262353,0.343306,0.433867,0.351876,0.375500,0.304990,0.000000,0.267376,0.384870,0.258336,0.496597,0.401349,0.498493,0.509905,0.511250
cat,0.272951,0.306644,0.188074,0.293328,0.386200,0.283713,0.343709,0.180374,0.267376,0.000000,0.282167,0.128980,0.504788,0.407082,0.478503,0.488860,0.465718
por,0.391306,0.275168,0.285995,0.301957,0.424070,0.284478,0.347878,0.161675,0.384870,0.282167,0.000000,0.323122,0.512455,0.423191,0.452928,0.469586,0.463766
oci,0.278165,0.307310,0.182236,0.305272,0.412713,0.317469,0.374694,0.178580,0.258336,0.128980,0.323122,0.000000,0.576291,0.478747,0.547847,0.556254,0.535413
deu,0.465941,0.424138,0.434493,0.455989,0.499535,0.446338,0.478878,0.478804,0.496597,0.504788,0.512455,0.576291,0.000000,0.451021,0.534544,0.558822,0.537090
eng,0.361295,0.401479,0.364158,0.431879,0.455640,0.392113,0.409828,0.404294,0.401349,0.407082,0.423191,0.478747,0.451021,0.000000,0.489938,0.516955,0.503561
slv,0.448787,0.377925,0.383117,0.418062,0.475713,0.364845,0.460787,0.447031,0.498493,0.478503,0.452928,0.547847,0.534544,0.489938,0.000000,0.189401,0.560896
hrv,0.430881,0.388418,0.388281,0.424640,0.484870,0.378836,0.480449,0.456084,0.509905,0.488860,0.469586,0.556254,0.558822,0.516955,0.189401,0.000000,0.584433
hun,0.419352,0.428649,0.409539,0.462867,0.503590,0.451462,0.501256,0.450545,0.511250,0.465718,0.463766,0.535413,0.537090,0.503561,0.560896,0.584433,0.000000
