code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,lmo,0.1602911353111267,vec,0.19626694917678833,lij,0.20541489124298096
lij,vec,0.1555180549621582,lmo,0.17695355415344238,ita,0.184278666973114
lmo,vec,0.13384419679641724,fur,0.1602911353111267,lij,0.17695355415344238
vec,ita,0.1300719976425171,lmo,0.13384419679641724,lij,0.1555180549621582
scn,ita,0.23052054643630981,lmo,0.2648118734359741,lij,0.2783716917037964
sc,lmo,0.24992221593856812,spa,0.27118027210235596,fur,0.2978230118751526
ita,vec,0.1300719976425171,lij,0.184278666973114,lmo,0.21112406253814697
spa,por,0.15897387266159058,cat,0.1778961420059204,oci,0.1800052523612976
cat,oci,0.12494176626205444,spa,0.1778961420059204,lmo,0.17822450399398804
por,spa,0.15897387266159058,lij,0.2711023688316345,cat,0.2733690142631531
fra,lmo,0.25897592306137085,oci,0.26835960149765015,cat,0.27861762046813965
oci,cat,0.12494176626205444,spa,0.1800052523612976,lmo,0.18710064888000488
deu,lij,0.4272719621658325,lmo,0.4313531517982483,vec,0.43174535036087036
eng,lmo,0.36234402656555176,fur,0.3677428960800171,vec,0.3885080814361572
slv,hrv,0.18912899494171143,vec,0.35933250188827515,lij,0.37209582328796387
hrv,slv,0.18912899494171143,vec,0.37742531299591064,lij,0.38532257080078125
hun,lmo,0.4083358645439148,fur,0.4234384298324585,lij,0.4253479838371277
