source,target,distance,similarity,target_family,target_display
cat,oci,0.128980,0.871020,romance,Occitan
cat,spa,0.180374,0.819626,romance,Spanish
cat,lmo,0.188074,0.811926,italo_romance,Lombard
cat,fra,0.267376,0.732624,romance,French
cat,fur,0.272951,0.727049,italo_romance,Friulian
cat,por,0.282167,0.717833,romance,Portuguese
cat,vec,0.283713,0.716287,italo_romance,Venetian
cat,sc,0.293328,0.706672,italo_romance,Sardinian
cat,lij,0.306644,0.693356,italo_romance,Ligurian
cat,ita,0.343709,0.656291,italian,Italian
cat,scn,0.386200,0.613800,italo_romance,Sicilian
cat,eng,0.407082,0.592918,english,English
cat,hun,0.465718,0.534282,uralic,Hungarian
cat,slv,0.478503,0.521497,slavic,Slovenian
cat,hrv,0.488860,0.511140,slavic,Croatian
cat,deu,0.504788,0.495212,germanic,German
deu,lij,0.424138,0.575862,italo_romance,Ligurian
deu,lmo,0.434493,0.565507,italo_romance,Lombard
deu,vec,0.446338,0.553662,italo_romance,Venetian
deu,eng,0.451021,0.548979,english,English
deu,sc,0.455989,0.544011,italo_romance,Sardinian
deu,fur,0.465941,0.534059,italo_romance,Friulian
deu,spa,0.478804,0.521196,romance,Spanish
deu,ita,0.478878,0.521122,italian,Italian
deu,fra,0.496597,0.503403,romance,French
deu,scn,0.499535,0.500465,italo_romance,Sicilian
deu,cat,0.504788,0.495212,romance,Catalan
deu,por,0.512455,0.487545,romance,Portuguese
deu,slv,0.534544,0.465456,slavic,Slovenian
deu,hun,0.537090,0.462910,uralic,Hungarian
deu,hrv,0.558822,0.441178,slavic,Croatian
deu,oci,0.576291,0.423709,romance,Occitan
eng,fur,0.361295,0.638705,italo_romance,Friulian
eng,lmo,0.364158,0.635842,italo_romance,Lombard
eng,vec,0.392113,0.607887,italo_romance,Venetian
eng,fra,0.401349,0.598651,romance,French
eng,lij,0.401479,0.598521,italo_romance,Ligurian
eng,spa,0.404294,0.595706,romance,Spanish
eng,cat,0.407082,0.592918,romance,Catalan
eng,ita,0.409828,0.590172,italian,Italian
eng,por,0.423191,0.576809,romance,Portuguese
eng,sc,0.431879,0.568121,italo_romance,Sardinian
eng,deu,0.451021,0.548979,germanic,German
eng,scn,0.455640,0.544360,italo_romance,Sicilian
eng,oci,0.478747,0.521253,romance,Occitan
eng,slv,0.489938,0.510062,slavic,Slovenian
eng,hun,0.503561,0.496439,uralic,Hungarian
eng,hrv,0.516955,0.483045,slavic,Croatian
fra,oci,0.258336,0.741664,romance,Occitan
fra,lmo,0.262353,0.737647,italo_romance,Lombard
fra,cat,0.267376,0.732624,romance,Catalan
fra,fur,0.275878,0.724122,italo_romance,Friulian
fra,spa,0.304990,0.695010,romance,Spanish
fra,lij,0.331590,0.668410,italo_romance,Ligurian
fra,sc,0.343306,0.656694,italo_romance,Sardinian
fra,vec,0.351876,0.648124,italo_romance,Venetian
fra,ita,0.375500,0.624500,italian,Italian
fra,por,0.384870,0.615130,romance,Portuguese
fra,eng,0.401349,0.598651,english,English
fra,scn,0.433867,0.566133,italo_romance,Sicilian
fra,deu,0.496597,0.503403,germanic,German
fra,slv,0.498493,0.501507,slavic,Slovenian
