,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.798596,0.841178,0.706590,0.667366,0.794126,0.780107,0.695355,0.724122,0.727049,0.608694,0.721835,0.534059,0.638705,0.551213,0.569119,0.580648
lij,0.798596,1.000000,0.824688,0.719620,0.716033,0.844475,0.813848,0.726979,0.668410,0.693356,0.724832,0.692690,0.575862,0.598521,0.622075,0.611582,0.571351
lmo,0.841178,0.824688,1.000000,0.739433,0.726472,0.867695,0.783711,0.781712,0.737647,0.811926,0.714005,0.817764,0.565507,0.635842,0.616883,0.611719,0.590461
sc,0.706590,0.719620,0.739433,1.000000,0.679666,0.701385,0.703419,0.742584,0.656694,0.706672,0.698043,0.694728,0.544011,0.568121,0.581938,0.575360,0.537133
scn,0.667366,0.716033,0.726472,0.679666,1.000000,0.735985,0.774676,0.611528,0.566133,0.613800,0.575930,0.587287,0.500465,0.544360,0.524287,0.515130,0.496410
vec,0.794126,0.844475,0.867695,0.701385,0.735985,1.000000,0.862299,0.732185,0.648124,0.716287,0.715522,0.682531,0.553662,0.607887,0.635155,0.621164,0.548538
ita,0.780107,0.813848,0.783711,0.703419,0.774676,0.862299,1.000000,0.675983,0.624500,0.656291,0.652122,0.625306,0.521122,0.590172,0.539213,0.519551,0.498744
spa,0.695355,0.726979,0.781712,0.742584,0.611528,0.732185,0.675983,1.000000,0.695010,0.819626,0.838325,0.821420,0.521196,0.595706,0.552969,0.543916,0.549455
fra,0.724122,0.668410,0.737647,0.656694,0.566133,0.648124,0.624500,0.695010,1.000000,0.732624,0.615130,0.741664,0.503403,0.598651,0.501507,0.490095,0.488750
cat,0.727049,0.693356,0.811926,0.706672,0.613800,0.716287,0.656291,0.819626,0.732624,1.000000,0.717833,0.871020,0.495212,0.592918,0.521497,0.511140,0.534282
por,0.608694,0.724832,0.714005,0.698043,0.575930,0.715522,0.652122,0.838325,0.615130,0.717833,1.000000,0.676878,0.487545,0.576809,0.547072,0.530414,0.536234
oci,0.721835,0.692690,0.817764,0.694728,0.587287,0.682531,0.625306,0.821420,0.741664,0.871020,0.676878,1.000000,0.423709,0.521253,0.452153,0.443746,0.464587
deu,0.534059,0.575862,0.565507,0.544011,0.500465,0.553662,0.521122,0.521196,0.503403,0.495212,0.487545,0.423709,1.000000,0.548979,0.465456,0.441178,0.462910
eng,0.638705,0.598521,0.635842,0.568121,0.544360,0.607887,0.590172,0.595706,0.598651,0.592918,0.576809,0.521253,0.548979,1.000000,0.510062,0.483045,0.496439
slv,0.551213,0.622075,0.616883,0.581938,0.524287,0.635155,0.539213,0.552969,0.501507,0.521497,0.547072,0.452153,0.465456,0.510062,1.000000,0.810599,0.439104
hrv,0.569119,0.611582,0.611719,0.575360,0.515130,0.621164,0.519551,0.543916,0.490095,0.511140,0.530414,0.443746,0.441178,0.483045,0.810599,1.000000,0.415567
hun,0.580648,0.571351,0.590461,0.537133,0.496410,0.548538,0.498744,0.549455,0.488750,0.534282,0.536234,0.464587,0.462910,0.496439,0.439104,0.415567,1.000000
