,fur,lij,lmo,vec,scn,sc,ita,spa,cat,por,fra,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.744561,0.768506,0.751710,0.640238,0.666595,0.741327,0.661403,0.695391,0.601742,0.685137,0.685267,0.513542,0.601600,0.520965,0.533974,0.544078
lij,0.744561,1.000000,0.746834,0.789454,0.676084,0.662301,0.769546,0.686449,0.658983,0.691526,0.631825,0.661662,0.535354,0.571837,0.576044,0.570670,0.538801
lmo,0.768506,0.746834,1.000000,0.785916,0.671255,0.686131,0.723045,0.709900,0.747853,0.661302,0.677502,0.744790,0.517723,0.584492,0.555506,0.552032,0.537437
vec,0.751710,0.789454,0.785916,1.000000,0.679877,0.650516,0.823356,0.687921,0.679092,0.679216,0.609613,0.648662,0.526549,0.577111,0.584304,0.574965,0.503608
scn,0.640238,0.676084,0.671255,0.679877,1.000000,0.641459,0.731148,0.583129,0.589830,0.571326,0.538327,0.567525,0.476171,0.514103,0.489087,0.489136,0.469792
sc,0.666595,0.662301,0.686131,0.650516,0.641459,1.000000,0.651959,0.697749,0.666077,0.666174,0.613233,0.665838,0.499651,0.547324,0.534740,0.536725,0.505610
ita,0.741327,0.769546,0.723045,0.823356,0.731148,0.651959,1.000000,0.651515,0.629424,0.633512,0.601770,0.608697,0.496257,0.564945,0.506023,0.497071,0.475291
spa,0.661403,0.686449,0.709900,0.687921,0.583129,0.697749,0.651515,1.000000,0.789528,0.807758,0.678630,0.788252,0.496778,0.570363,0.513929,0.513987,0.520459
cat,0.695391,0.658983,0.747853,0.679092,0.589830,0.666077,0.629424,0.789528,1.000000,0.700094,0.695006,0.842336,0.479077,0.577934,0.489448,0.492940,0.511630
por,0.601742,0.691526,0.661302,0.679216,0.571326,0.666174,0.633512,0.807758,0.700094,1.000000,0.569836,0.667951,0.481308,0.569449,0.514454,0.511473,0.515262
fra,0.685137,0.631825,0.677502,0.609613,0.538327,0.613233,0.601770,0.678630,0.695006,0.569836,1.000000,0.711372,0.471975,0.573365,0.465691,0.462206,0.461261
oci,0.685267,0.661662,0.744790,0.648662,0.567525,0.665838,0.608697,0.788252,0.842336,0.667951,0.711372,1.000000,0.409668,0.511537,0.435558,0.427382,0.447425
deu,0.513542,0.535354,0.517723,0.526549,0.476171,0.499651,0.496257,0.496778,0.479077,0.481308,0.471975,0.409668,1.000000,0.525867,0.445791,0.419186,0.444362
eng,0.601600,0.571837,0.584492,0.577111,0.514103,0.547324,0.564945,0.570363,0.577934,0.569449,0.573365,0.511537,0.525867,1.000000,0.488275,0.462690,0.479498
slv,0.520965,0.576044,0.555506,0.584304,0.489087,0.534740,0.506023,0.513929,0.489448,0.514454,0.465691,0.435558,0.445791,0.488275,1.000000,0.779733,0.415293
hrv,0.533974,0.570670,0.552032,0.574965,0.489136,0.536725,0.497071,0.513987,0.492940,0.511473,0.462206,0.427382,0.419186,0.462690,0.779733,1.000000,0.401973
hun,0.544078,0.538801,0.537437,0.503608,0.469792,0.505610,0.475291,0.520459,0.511630,0.515262,0.461261,0.447425,0.444362,0.479498,0.415293,0.401973,1.000000
