dialect,reference,ref_family,mean_similarity
fur,ita,tuscan,0.741327
fur,cat,iberian_rom,0.695391
fur,oci,gallo_romance,0.685267
fur,fra,gallo_romance,0.685137
fur,spa,iberian_rom,0.661403
fur,por,iberian_rom,0.601742
fur,eng,english,0.601600
fur,hun,uralic,0.544078
fur,hrv,slavic,0.533974
fur,slv,slavic,0.520965
fur,deu,germanic,0.513542
lij,ita,tuscan,0.769546
lij,por,iberian_rom,0.691526
lij,spa,iberian_rom,0.686449
lij,oci,gallo_romance,0.661662
lij,cat,iberian_rom,0.658983
lij,fra,gallo_romance,0.631825
lij,slv,slavic,0.576044
lij,eng,english,0.571837
lij,hrv,slavic,0.570670
lij,hun,uralic,0.538801
lij,deu,germanic,0.535354
lmo,cat,iberian_rom,0.747853
lmo,oci,gallo_romance,0.744790
lmo,ita,tuscan,0.723045
lmo,spa,iberian_rom,0.709900
lmo,fra,gallo_romance,0.677502
lmo,por,iberian_rom,0.661302
lmo,eng,english,0.584492
lmo,slv,slavic,0.555506
lmo,hrv,slavic,0.552032
lmo,hun,uralic,0.537437
lmo,deu,germanic,0.517723
sc,spa,iberian_rom,0.697749
sc,por,iberian_rom,0.666174
sc,cat,iberian_rom,0.666077
sc,oci,gallo_romance,0.665838
sc,ita,tuscan,0.651959
sc,fra,gallo_romance,0.613233
sc,eng,english,0.547324
sc,hrv,slavic,0.536725
sc,slv,slavic,0.534740
sc,hun,uralic,0.505610
sc,deu,germanic,0.499651
scn,ita,tuscan,0.731148
scn,cat,iberian_rom,0.589830
scn,spa,iberian_rom,0.583129
scn,por,iberian_rom,0.571326
scn,oci,gallo_romance,0.567525
scn,fra,gallo_romance,0.538327
scn,eng,english,0.514103
scn,hrv,slavic,0.489136
scn,slv,slavic,0.489087
scn,deu,germanic,0.476171
scn,hun,uralic,0.469792
vec,ita,tuscan,0.823356
vec,spa,iberian_rom,0.687921
vec,por,iberian_rom,0.679216
vec,cat,iberian_rom,0.679092
vec,oci,gallo_romance,0.648662
vec,fra,gallo_romance,0.609613
vec,slv,slavic,0.584304
vec,eng,english,0.577111
vec,hrv,slavic,0.574965
vec,deu,germanic,0.526549
vec,hun,uralic,0.503608
