variety_A,variety_B,mean_similarity,family_A,family_B
cat,oci,0.838847,romance,romance
vec,ita,0.817267,italo_romance,italian
spa,por,0.805713,romance,romance
lmo,vec,0.790826,italo_romance,italo_romance
lij,vec,0.790083,italo_romance,italo_romance
spa,oci,0.789628,romance,romance
spa,cat,0.786979,romance,romance
slv,hrv,0.779204,slavic,slavic
fur,lmo,0.772389,italo_romance,italo_romance
lij,ita,0.766899,italo_romance,italian
lmo,oci,0.751794,italo_romance,romance
lij,lmo,0.750410,italo_romance,italo_romance
fur,lij,0.747690,italo_romance,italo_romance
fur,vec,0.743548,italo_romance,italo_romance
lmo,cat,0.741583,italo_romance,romance
fur,ita,0.738151,italo_romance,italian
scn,ita,0.735644,italo_romance,italian
lmo,ita,0.720583,italo_romance,italian
fra,oci,0.718722,romance,romance
lmo,spa,0.712202,italo_romance,romance
sc,spa,0.709115,italo_romance,romance
fra,cat,0.704586,romance,romance
scn,vec,0.693215,italo_romance,italo_romance
cat,por,0.692424,romance,romance
fur,oci,0.689915,italo_romance,romance
vec,spa,0.688550,italo_romance,romance
fur,cat,0.688453,italo_romance,romance
fur,fra,0.687150,italo_romance,romance
lij,por,0.686914,italo_romance,romance
lij,spa,0.682376,italo_romance,romance
lij,sc,0.678266,italo_romance,italo_romance
lmo,sc,0.677171,italo_romance,italo_romance
lmo,fra,0.676410,italo_romance,romance
vec,por,0.675405,italo_romance,romance
vec,cat,0.674817,italo_romance,romance
sc,cat,0.674518,italo_romance,romance
sc,por,0.671189,italo_romance,romance
lij,scn,0.670717,italo_romance,italo_romance
sc,oci,0.669568,italo_romance,romance
sc,ita,0.668863,italo_romance,italian
fur,sc,0.668674,italo_romance,italo_romance
lmo,scn,0.666217,italo_romance,italo_romance
spa,fra,0.665955,romance,romance
sc,vec,0.661527,italo_romance,italo_romance
por,oci,0.660109,romance,romance
fur,spa,0.658902,italo_romance,romance
lij,oci,0.658068,italo_romance,romance
lmo,por,0.654377,italo_romance,romance
lij,cat,0.652246,italo_romance,romance
vec,oci,0.648349,italo_romance,romance
ita,spa,0.646892,italian,romance
sc,scn,0.645586,italo_romance,italo_romance
fur,scn,0.633017,italo_romance,italo_romance
lij,fra,0.630215,italo_romance,romance
ita,cat,0.629465,italian,romance
sc,fra,0.627294,italo_romance,romance
ita,por,0.626901,italian,romance
vec,fra,0.609504,italo_romance,romance
fur,eng,0.607239,italo_romance,english
ita,oci,0.604280,italian,romance
ita,fra,0.595918,italian,romance
fra,por,0.595127,romance,romance
lmo,eng,0.584917,italo_romance,english
scn,cat,0.582762,italo_romance,romance
fur,por,0.581546,italo_romance,romance
scn,spa,0.581238,italo_romance,romance
fra,eng,0.580883,romance,english
vec,slv,0.580551,italo_romance,slavic
vec,eng,0.574571,italo_romance,english
vec,hrv,0.574285,italo_romance,slavic
spa,eng,0.573875,romance,english
cat,eng,0.572318,romance,english
lij,slv,0.570851,italo_romance,slavic
lij,hrv,0.567847,italo_romance,slavic
lij,eng,0.567722,italo_romance,english
ita,eng,0.564786,italian,english
scn,oci,0.563671,italo_romance,romance
por,eng,0.558440,romance,english
lmo,hrv,0.553416,italo_romance,slavic
lmo,slv,0.551714,italo_romance,slavic
scn,por,0.551418,italo_romance,romance
fur,hun,0.547226,italo_romance,uralic
sc,eng,0.545323,italo_romance,english
sc,slv,0.542202,italo_romance,slavic
sc,hrv,0.541033,italo_romance,slavic
scn,fra,0.538462,italo_romance,romance
lmo,hun,0.538433,italo_romance,uralic
lij,deu,0.537544,italo_romance,germanic
lij,hun,0.535500,italo_romance,uralic
fur,hrv,0.534547,italo_romance,slavic
deu,eng,0.529457,germanic,english
spa,hun,0.520977,romance,uralic
scn,eng,0.519970,italo_romance,english
spa,slv,0.516909,romance,slavic
lmo,deu,0.516035,italo_romance,germanic
sc,deu,0.514213,italo_romance,germanic
spa,hrv,0.513804,romance,slavic
vec,deu,0.513510,italo_romance,germanic
fur,slv,0.513052,italo_romance,slavic
por,slv,0.512912,romance,slavic
por,hun,0.511885,romance,uralic
vec,hun,0.511473,italo_romance,uralic
oci,eng,0.509392,romance,english
sc,hun,0.507984,italo_romance,uralic
cat,hun,0.506080,romance,uralic
por,hrv,0.503572,romance,slavic
fur,deu,0.503416,italo_romance,germanic
ita,slv,0.502100,italian,slavic
spa,deu,0.494223,romance,germanic
ita,deu,0.491147,italian,germanic
ita,hrv,0.490369,italian,slavic
cat,slv,0.488337,romance,slavic
scn,slv,0.485934,italo_romance,slavic
eng,slv,0.485113,english,slavic
cat,hrv,0.484875,romance,slavic
scn,hrv,0.483186,italo_romance,slavic
fra,deu,0.480710,romance,germanic
eng,hun,0.478938,english,uralic
fra,slv,0.474122,romance,slavic
ita,hun,0.472182,italian,uralic
scn,deu,0.470841,italo_romance,germanic
cat,deu,0.468949,romance,germanic
scn,hun,0.468741,italo_romance,uralic
fra,hrv,0.468654,romance,slavic
fra,hun,0.467159,romance,uralic
eng,hrv,0.465109,english,slavic
por,deu,0.464838,romance,germanic
oci,hun,0.446339,romance,uralic
deu,hun,0.443606,germanic,uralic
deu,slv,0.439294,germanic,slavic
oci,slv,0.429767,romance,slavic
oci,hrv,0.426769,romance,slavic
deu,hrv,0.420577,germanic,slavic
slv,hun,0.417363,slavic,uralic
oci,deu,0.407710,romance,germanic
hrv,hun,0.400222,slavic,uralic
