code,is_dialect,n_oldi,n_wiki_avail,n_wiki_used,n_total
fur,True,5167,22545,22545,27712
lij,True,5167,51351,51351,56518
lmo,True,5167,100000,94833,100000
vec,True,5167,99986,94833,100000
scn,True,5167,78570,78570,83737
sc,True,5167,61936,61936,67103
ita,False,0,100000,100000,100000
spa,False,0,100000,100000,100000
cat,False,0,100000,100000,100000
por,False,0,100000,100000,100000
fra,False,0,100000,100000,100000
oci,False,0,100000,100000,100000
deu,False,0,100000,100000,100000
eng,False,0,100000,100000,100000
slv,False,0,100000,100000,100000
hrv,False,0,100000,100000,100000
hun,False,0,100000,100000,100000
