,fur,lij,lmo,vec,scn,sc,ita,spa,cat,por,fra,oci,deu,eng,slv,hrv,hun
fur,0.000000,0.174383,0.118658,0.146083,0.275138,0.265077,0.196859,0.258744,0.205784,0.307344,0.237719,0.232949,0.447331,0.358368,0.429745,0.425567,0.400130
lij,0.174383,0.000000,0.130670,0.094628,0.212675,0.241478,0.145292,0.200949,0.226691,0.223054,0.273115,0.225889,0.415233,0.368679,0.366831,0.362126,0.366116
lmo,0.118658,0.130670,0.000000,0.102189,0.221676,0.221602,0.190563,0.172392,0.122756,0.236445,0.210071,0.129911,0.429126,0.349340,0.382353,0.390161,0.390132
vec,0.146083,0.094628,0.102189,0.000000,0.211162,0.248859,0.093322,0.203798,0.218545,0.222824,0.285155,0.246159,0.423849,0.365809,0.341415,0.360488,0.426520
scn,0.275138,0.212675,0.221676,0.211162,0.000000,0.275256,0.195572,0.331567,0.315074,0.342673,0.365248,0.341432,0.489704,0.428992,0.442602,0.447392,0.483980
sc,0.265077,0.241478,0.221602,0.248859,0.275256,0.000000,0.281575,0.242770,0.273471,0.272816,0.327851,0.282415,0.480283,0.420839,0.422871,0.413632,0.454938
ita,0.196859,0.145292,0.190563,0.093322,0.195572,0.281575,0.000000,0.285102,0.305983,0.298422,0.332892,0.330460,0.471761,0.401499,0.458928,0.472716,0.485703
spa,0.258744,0.200949,0.172392,0.203798,0.331567,0.242770,0.285102,0.000000,0.133617,0.130742,0.253973,0.135635,0.497118,0.405658,0.459034,0.462538,0.439354
cat,0.205784,0.226691,0.122756,0.218545,0.315074,0.273471,0.305983,0.133617,0.000000,0.232539,0.222616,0.080343,0.493657,0.390956,0.486390,0.482037,0.444564
por,0.307344,0.223054,0.236445,0.222824,0.342673,0.272816,0.298422,0.130742,0.232539,0.000000,0.369479,0.262382,0.493635,0.394203,0.459777,0.464149,0.446561
fra,0.237719,0.273115,0.210071,0.285155,0.365248,0.327851,0.332892,0.253973,0.222616,0.369479,0.000000,0.216578,0.489982,0.384413,0.500891,0.512578,0.498670
oci,0.232949,0.225889,0.129911,0.246159,0.341432,0.282415,0.330460,0.135635,0.080343,0.262382,0.216578,0.000000,0.564653,0.465054,0.532996,0.552942,0.508153
deu,0.447331,0.415233,0.429126,0.423849,0.489704,0.480283,0.471761,0.497118,0.493657,0.493635,0.489982,0.564653,0.000000,0.431013,0.550208,0.577982,0.545498
eng,0.358368,0.368679,0.349340,0.365809,0.428992,0.420839,0.401499,0.405658,0.390956,0.394203,0.384413,0.465054,0.431013,0.000000,0.483288,0.503808,0.494078
slv,0.429745,0.366831,0.382353,0.341415,0.442602,0.422871,0.458928,0.459034,0.486390,0.459777,0.500891,0.532996,0.550208,0.483288,0.000000,0.190113,0.567024
hrv,0.425567,0.362126,0.390161,0.360488,0.447392,0.413632,0.472716,0.462538,0.482037,0.464149,0.512578,0.552942,0.577982,0.503808,0.190113,0.000000,0.587908
hun,0.400130,0.366116,0.390132,0.426520,0.483980,0.454938,0.485703,0.439354,0.444564,0.446561,0.498670,0.508153,0.545498,0.494078,0.567024,0.587908,0.000000
