source,target,distance,similarity,target_family,target_display
cat,oci,0.080343,0.919657,gallo_romance,Occitan
cat,lmo,0.122756,0.877244,north_dialects,Lombard
cat,spa,0.133617,0.866383,iberian_rom,Spanish
cat,fur,0.205784,0.794216,north_dialects,Friulian
cat,vec,0.218545,0.781455,north_dialects,Venetian
cat,fra,0.222616,0.777384,gallo_romance,French
cat,lij,0.226691,0.773309,north_dialects,Ligurian
cat,por,0.232539,0.767461,iberian_rom,Portuguese
cat,sc,0.273471,0.726529,south_dialects,Sardinian
cat,ita,0.305983,0.694017,tuscan,Italian
cat,scn,0.315074,0.684926,south_dialects,Sicilian
cat,eng,0.390956,0.609044,english,English
cat,hun,0.444564,0.555436,uralic,Hungarian
cat,hrv,0.482037,0.517963,slavic,Croatian
cat,slv,0.486390,0.513610,slavic,Slovenian
cat,deu,0.493657,0.506343,germanic,German
deu,lij,0.415233,0.584767,north_dialects,Ligurian
deu,vec,0.423849,0.576151,north_dialects,Venetian
deu,lmo,0.429126,0.570874,north_dialects,Lombard
deu,eng,0.431013,0.568987,english,English
deu,fur,0.447331,0.552669,north_dialects,Friulian
deu,ita,0.471761,0.528239,tuscan,Italian
deu,sc,0.480283,0.519717,south_dialects,Sardinian
deu,scn,0.489704,0.510296,south_dialects,Sicilian
deu,fra,0.489982,0.510018,gallo_romance,French
deu,por,0.493635,0.506365,iberian_rom,Portuguese
deu,cat,0.493657,0.506343,iberian_rom,Catalan
deu,spa,0.497118,0.502882,iberian_rom,Spanish
deu,hun,0.545498,0.454502,uralic,Hungarian
deu,slv,0.550208,0.449792,slavic,Slovenian
deu,oci,0.564653,0.435347,gallo_romance,Occitan
deu,hrv,0.577982,0.422018,slavic,Croatian
eng,lmo,0.349340,0.650660,north_dialects,Lombard
eng,fur,0.358368,0.641632,north_dialects,Friulian
eng,vec,0.365809,0.634191,north_dialects,Venetian
eng,lij,0.368679,0.631321,north_dialects,Ligurian
eng,fra,0.384413,0.615587,gallo_romance,French
eng,cat,0.390956,0.609044,iberian_rom,Catalan
eng,por,0.394203,0.605797,iberian_rom,Portuguese
eng,ita,0.401499,0.598501,tuscan,Italian
eng,spa,0.405658,0.594342,iberian_rom,Spanish
eng,sc,0.420839,0.579161,south_dialects,Sardinian
eng,scn,0.428992,0.571008,south_dialects,Sicilian
eng,deu,0.431013,0.568987,germanic,German
eng,oci,0.465054,0.534946,gallo_romance,Occitan
eng,slv,0.483288,0.516712,slavic,Slovenian
eng,hun,0.494078,0.505922,uralic,Hungarian
eng,hrv,0.503808,0.496192,slavic,Croatian
fra,lmo,0.210071,0.789929,north_dialects,Lombard
fra,oci,0.216578,0.783422,gallo_romance,Occitan
fra,cat,0.222616,0.777384,iberian_rom,Catalan
fra,fur,0.237719,0.762281,north_dialects,Friulian
fra,spa,0.253973,0.746027,iberian_rom,Spanish
fra,lij,0.273115,0.726885,north_dialects,Ligurian
fra,vec,0.285155,0.714845,north_dialects,Venetian
fra,sc,0.327851,0.672149,south_dialects,Sardinian
fra,ita,0.332892,0.667108,tuscan,Italian
fra,scn,0.365248,0.634752,south_dialects,Sicilian
fra,por,0.369479,0.630521,iberian_rom,Portuguese
fra,eng,0.384413,0.615587,english,English
fra,deu,0.489982,0.510018,germanic,German
fra,hun,0.498670,0.501330,uralic,Hungarian
fra,slv,0.500891,0.499109,slavic,Slovenian
fra,hrv,0.512578,0.487422,slavic,Croatian
fur,lmo,0.118658,0.881342,north_dialects,Lombard
fur,vec,0.146083,0.853917,north_dialects,Venetian
fur,lij,0.174383,0.825617,north_dialects,Ligurian
fur,ita,0.196859,0.803141,tuscan,Italian
fur,cat,0.205784,0.794216,iberian_rom,Catalan
fur,oci,0.232949,0.767051,gallo_romance,Occitan
fur,fra,0.237719,0.762281,gallo_romance,French
fur,spa,0.258744,0.741256,iberian_rom,Spanish
fur,sc,0.265077,0.734923,south_dialects,Sardinian
fur,scn,0.275138,0.724862,south_dialects,Sicilian
fur,por,0.307344,0.692656,iberian_rom,Portuguese
fur,eng,0.358368,0.641632,english,English
fur,hun,0.400130,0.599870,uralic,Hungarian
fur,hrv,0.425567,0.574433,slavic,Croatian
fur,slv,0.429745,0.570255,slavic,Slovenian
fur,deu,0.447331,0.552669,germanic,German
hrv,slv,0.190113,0.809887,slavic,Slovenian
hrv,vec,0.360488,0.639512,north_dialects,Venetian
hrv,lij,0.362126,0.637874,north_dialects,Ligurian
hrv,lmo,0.390161,0.609839,north_dialects,Lombard
hrv,sc,0.413632,0.586368,south_dialects,Sardinian
hrv,fur,0.425567,0.574433,north_dialects,Friulian
hrv,scn,0.447392,0.552608,south_dialects,Sicilian
hrv,spa,0.462538,0.537462,iberian_rom,Spanish
hrv,por,0.464149,0.535851,iberian_rom,Portuguese
hrv,ita,0.472716,0.527284,tuscan,Italian
hrv,cat,0.482037,0.517963,iberian_rom,Catalan
hrv,eng,0.503808,0.496192,english,English
hrv,fra,0.512578,0.487422,gallo_romance,French
hrv,oci,0.552942,0.447058,gallo_romance,Occitan
hrv,deu,0.577982,0.422018,germanic,German
hrv,hun,0.587908,0.412092,uralic,Hungarian
hun,lij,0.366116,0.633884,north_dialects,Ligurian
hun,lmo,0.390132,0.609868,north_dialects,Lombard
hun,fur,0.400130,0.599870,north_dialects,Friulian
hun,vec,0.426520,0.573480,north_dialects,Venetian
hun,spa,0.439354,0.560646,iberian_rom,Spanish
hun,cat,0.444564,0.555436,iberian_rom,Catalan
hun,por,0.446561,0.553439,iberian_rom,Portuguese
hun,sc,0.454938,0.545062,south_dialects,Sardinian
hun,scn,0.483980,0.516020,south_dialects,Sicilian
hun,ita,0.485703,0.514297,tuscan,Italian
hun,eng,0.494078,0.505922,english,English
hun,fra,0.498670,0.501330,gallo_romance,French
hun,oci,0.508153,0.491847,gallo_romance,Occitan
hun,deu,0.545498,0.454502,germanic,German
hun,slv,0.567024,0.432976,slavic,Slovenian
hun,hrv,0.587908,0.412092,slavic,Croatian
ita,vec,0.093322,0.906678,north_dialects,Venetian
ita,lij,0.145292,0.854708,north_dialects,Ligurian
ita,lmo,0.190563,0.809437,north_dialects,Lombard
ita,scn,0.195572,0.804428,south_dialects,Sicilian
ita,fur,0.196859,0.803141,north_dialects,Friulian
ita,sc,0.281575,0.718425,south_dialects,Sardinian
ita,spa,0.285102,0.714898,iberian_rom,Spanish
ita,por,0.298422,0.701578,iberian_rom,Portuguese
ita,cat,0.305983,0.694017,iberian_rom,Catalan
ita,oci,0.330460,0.669540,gallo_romance,Occitan
ita,fra,0.332892,0.667108,gallo_romance,French
ita,eng,0.401499,0.598501,english,English
ita,slv,0.458928,0.541072,slavic,Slovenian
ita,deu,0.471761,0.528239,germanic,German
ita,hrv,0.472716,0.527284,slavic,Croatian
ita,hun,0.485703,0.514297,uralic,Hungarian
lij,vec,0.094628,0.905372,north_dialects,Venetian
lij,lmo,0.130670,0.869330,north_dialects,Lombard
lij,ita,0.145292,0.854708,tuscan,Italian
lij,fur,0.174383,0.825617,north_dialects,Friulian
lij,spa,0.200949,0.799051,iberian_rom,Spanish
lij,scn,0.212675,0.787325,south_dialects,Sicilian
lij,por,0.223054,0.776946,iberian_rom,Portuguese
lij,oci,0.225889,0.774111,gallo_romance,Occitan
lij,cat,0.226691,0.773309,iberian_rom,Catalan
lij,sc,0.241478,0.758522,south_dialects,Sardinian
lij,fra,0.273115,0.726885,gallo_romance,French
lij,hrv,0.362126,0.637874,slavic,Croatian
lij,hun,0.366116,0.633884,uralic,Hungarian
lij,slv,0.366831,0.633169,slavic,Slovenian
lij,eng,0.368679,0.631321,english,English
lij,deu,0.415233,0.584767,germanic,German
lmo,vec,0.102189,0.897811,north_dialects,Venetian
lmo,fur,0.118658,0.881342,north_dialects,Friulian
lmo,cat,0.122756,0.877244,iberian_rom,Catalan
lmo,oci,0.129911,0.870089,gallo_romance,Occitan
lmo,lij,0.130670,0.869330,north_dialects,Ligurian
lmo,spa,0.172392,0.827608,iberian_rom,Spanish
lmo,ita,0.190563,0.809437,tuscan,Italian
lmo,fra,0.210071,0.789929,gallo_romance,French
lmo,sc,0.221602,0.778398,south_dialects,Sardinian
lmo,scn,0.221676,0.778324,south_dialects,Sicilian
lmo,por,0.236445,0.763555,iberian_rom,Portuguese
lmo,eng,0.349340,0.650660,english,English
lmo,slv,0.382353,0.617647,slavic,Slovenian
lmo,hun,0.390132,0.609868,uralic,Hungarian
lmo,hrv,0.390161,0.609839,slavic,Croatian
lmo,deu,0.429126,0.570874,germanic,German
oci,cat,0.080343,0.919657,iberian_rom,Catalan
oci,lmo,0.129911,0.870089,north_dialects,Lombard
oci,spa,0.135635,0.864365,iberian_rom,Spanish
oci,fra,0.216578,0.783422,gallo_romance,French
oci,lij,0.225889,0.774111,north_dialects,Ligurian
oci,fur,0.232949,0.767051,north_dialects,Friulian
oci,vec,0.246159,0.753841,north_dialects,Venetian
oci,por,0.262382,0.737618,iberian_rom,Portuguese
oci,sc,0.282415,0.717585,south_dialects,Sardinian
oci,ita,0.330460,0.669540,tuscan,Italian
oci,scn,0.341432,0.658568,south_dialects,Sicilian
oci,eng,0.465054,0.534946,english,English
oci,hun,0.508153,0.491847,uralic,Hungarian
oci,slv,0.532996,0.467004,slavic,Slovenian
oci,hrv,0.552942,0.447058,slavic,Croatian
oci,deu,0.564653,0.435347,germanic,German
por,spa,0.130742,0.869258,iberian_rom,Spanish
por,vec,0.222824,0.777176,north_dialects,Venetian
por,lij,0.223054,0.776946,north_dialects,Ligurian
por,cat,0.232539,0.767461,iberian_rom,Catalan
por,lmo,0.236445,0.763555,north_dialects,Lombard
por,oci,0.262382,0.737618,gallo_romance,Occitan
por,sc,0.272816,0.727184,south_dialects,Sardinian
por,ita,0.298422,0.701578,tuscan,Italian
por,fur,0.307344,0.692656,north_dialects,Friulian
por,scn,0.342673,0.657327,south_dialects,Sicilian
por,fra,0.369479,0.630521,gallo_romance,French
por,eng,0.394203,0.605797,english,English
por,hun,0.446561,0.553439,uralic,Hungarian
por,slv,0.459777,0.540223,slavic,Slovenian
por,hrv,0.464149,0.535851,slavic,Croatian
por,deu,0.493635,0.506365,germanic,German
sc,lmo,0.221602,0.778398,north_dialects,Lombard
sc,lij,0.241478,0.758522,north_dialects,Ligurian
sc,spa,0.242770,0.757230,iberian_rom,Spanish
sc,vec,0.248859,0.751141,north_dialects,Venetian
sc,fur,0.265077,0.734923,north_dialects,Friulian
sc,por,0.272816,0.727184,iberian_rom,Portuguese
sc,cat,0.273471,0.726529,iberian_rom,Catalan
sc,scn,0.275256,0.724744,south_dialects,Sicilian
sc,ita,0.281575,0.718425,tuscan,Italian
sc,oci,0.282415,0.717585,gallo_romance,Occitan
sc,fra,0.327851,0.672149,gallo_romance,French
sc,hrv,0.413632,0.586368,slavic,Croatian
sc,eng,0.420839,0.579161,english,English
sc,slv,0.422871,0.577129,slavic,Slovenian
sc,hun,0.454938,0.545062,uralic,Hungarian
sc,deu,0.480283,0.519717,germanic,German
scn,ita,0.195572,0.804428,tuscan,Italian
scn,vec,0.211162,0.788838,north_dialects,Venetian
scn,lij,0.212675,0.787325,north_dialects,Ligurian
scn,lmo,0.221676,0.778324,north_dialects,Lombard
scn,fur,0.275138,0.724862,north_dialects,Friulian
scn,sc,0.275256,0.724744,south_dialects,Sardinian
scn,cat,0.315074,0.684926,iberian_rom,Catalan
scn,spa,0.331567,0.668433,iberian_rom,Spanish
scn,oci,0.341432,0.658568,gallo_romance,Occitan
scn,por,0.342673,0.657327,iberian_rom,Portuguese
scn,fra,0.365248,0.634752,gallo_romance,French
scn,eng,0.428992,0.571008,english,English
scn,slv,0.442602,0.557398,slavic,Slovenian
scn,hrv,0.447392,0.552608,slavic,Croatian
scn,hun,0.483980,0.516020,uralic,Hungarian
scn,deu,0.489704,0.510296,germanic,German
slv,hrv,0.190113,0.809887,slavic,Croatian
slv,vec,0.341415,0.658585,north_dialects,Venetian
slv,lij,0.366831,0.633169,north_dialects,Ligurian
slv,lmo,0.382353,0.617647,north_dialects,Lombard
slv,sc,0.422871,0.577129,south_dialects,Sardinian
slv,fur,0.429745,0.570255,north_dialects,Friulian
slv,scn,0.442602,0.557398,south_dialects,Sicilian
slv,ita,0.458928,0.541072,tuscan,Italian
slv,spa,0.459034,0.540966,iberian_rom,Spanish
slv,por,0.459777,0.540223,iberian_rom,Portuguese
slv,eng,0.483288,0.516712,english,English
slv,cat,0.486390,0.513610,iberian_rom,Catalan
slv,fra,0.500891,0.499109,gallo_romance,French
slv,oci,0.532996,0.467004,gallo_romance,Occitan
slv,deu,0.550208,0.449792,germanic,German
slv,hun,0.567024,0.432976,uralic,Hungarian
spa,por,0.130742,0.869258,iberian_rom,Portuguese
spa,cat,0.133617,0.866383,iberian_rom,Catalan
spa,oci,0.135635,0.864365,gallo_romance,Occitan
spa,lmo,0.172392,0.827608,north_dialects,Lombard
spa,lij,0.200949,0.799051,north_dialects,Ligurian
spa,vec,0.203798,0.796202,north_dialects,Venetian
spa,sc,0.242770,0.757230,south_dialects,Sardinian
spa,fra,0.253973,0.746027,gallo_romance,French
spa,fur,0.258744,0.741256,north_dialects,Friulian
spa,ita,0.285102,0.714898,tuscan,Italian
spa,scn,0.331567,0.668433,south_dialects,Sicilian
spa,eng,0.405658,0.594342,english,English
spa,hun,0.439354,0.560646,uralic,Hungarian
spa,slv,0.459034,0.540966,slavic,Slovenian
spa,hrv,0.462538,0.537462,slavic,Croatian
spa,deu,0.497118,0.502882,germanic,German
vec,ita,0.093322,0.906678,tuscan,Italian
vec,lij,0.094628,0.905372,north_dialects,Ligurian
vec,lmo,0.102189,0.897811,north_dialects,Lombard
vec,fur,0.146083,0.853917,north_dialects,Friulian
vec,spa,0.203798,0.796202,iberian_rom,Spanish
vec,scn,0.211162,0.788838,south_dialects,Sicilian
vec,cat,0.218545,0.781455,iberian_rom,Catalan
vec,por,0.222824,0.777176,iberian_rom,Portuguese
vec,oci,0.246159,0.753841,gallo_romance,Occitan
vec,sc,0.248859,0.751141,south_dialects,Sardinian
vec,fra,0.285155,0.714845,gallo_romance,French
vec,slv,0.341415,0.658585,slavic,Slovenian
vec,hrv,0.360488,0.639512,slavic,Croatian
vec,eng,0.365809,0.634191,english,English
vec,deu,0.423849,0.576151,germanic,German
vec,hun,0.426520,0.573480,uralic,Hungarian
